symbol,open,close,volume,date
AA,20.62,20.76,3617833,"2019-11-18, 06-00-00"
AA,21.03,20.57,2341855,"2019-11-19, 06-00-00"
AA,20.4,20.37,2537931,"2019-11-20, 06-00-00"
AA,20.43,20.15,2489767,"2019-11-21, 06-00-00"
AA,20.39,20.56,4425447,"2019-11-22, 06-00-00"
AA,20.75,20.44,2797486,"2019-11-25, 06-00-00"
AA,20.41,20.26,2750986,"2019-11-26, 06-00-00"
AA,20.29,20.6,2293414,"2019-11-27, 06-00-00"
AA,20.43,20.35,1223254,"2019-11-29, 06-00-00"
AA,20.47,20.33,2592817,"2019-12-02, 06-00-00"
AA,19.97,19.79,3056912,"2019-12-03, 06-00-00"
AA,19.97,19.76,4574947,"2019-12-04, 06-00-00"
AA,19.86,19.87,4067640,"2019-12-05, 06-00-00"
AA,20.13,20.6,5272687,"2019-12-06, 06-00-00"
AA,20.67,20.25,5487755,"2019-12-09, 06-00-00"
AA,20.22,20.65,3177232,"2019-12-10, 06-00-00"
AA,20.55,20.65,2535426,"2019-12-11, 06-00-00"
AA,20.4,21.26,3444233,"2019-12-12, 06-00-00"
AA,21.42,20.69,4334076,"2019-12-13, 06-00-00"
AA,20.99,20.98,3211811,"2019-12-16, 06-00-00"
AA,20.82,20.71,3504025,"2019-12-17, 06-00-00"
AA,20.6,20.95,5129865,"2019-12-18, 06-00-00"
AA,21.1,21.47,4767363,"2019-12-19, 06-00-00"
AA,21.58,21.23,5139843,"2019-12-20, 06-00-00"
AA,21.3,21.48,2263301,"2019-12-23, 06-00-00"
AA,21.61,21.58,1092171,"2019-12-24, 06-00-00"
AA,21.5,21.45,4729679,"2019-12-26, 06-00-00"
AA,21.41,21.58,2454976,"2019-12-27, 06-00-00"
AA,21.7,21.34,2299382,"2019-12-30, 06-00-00"
AA,21.37,21.51,2288530,"2019-12-31, 06-00-00"
AA,21.86,21.42,3062541,"2020-01-02, 06-00-00"
AA,21.17,21.5,3011847,"2020-01-03, 06-00-00"
AA,21.34,21.0,3060430,"2020-01-06, 06-00-00"
AA,21.06,21.32,4988044,"2020-01-07, 06-00-00"
AA,21.3,20.46,3710929,"2020-01-08, 06-00-00"
AA,20.46,19.81,5701298,"2020-01-09, 06-00-00"
AA,19.9,19.45,5061663,"2020-01-10, 06-00-00"
AA,19.39,19.61,6207202,"2020-01-13, 06-00-00"
AA,19.73,20.37,4225186,"2020-01-14, 06-00-00"
AA,20.33,20.18,5699400,"2020-01-15, 06-00-00"
AA,19.42,17.78,22033253,"2020-01-16, 06-00-00"
AA,18.06,17.69,9067027,"2020-01-17, 06-00-00"
AA,17.58,17.12,6603348,"2020-01-21, 06-00-00"
AA,17.07,16.59,12843139,"2020-01-22, 06-00-00"
AA,16.37,16.29,7362856,"2020-01-23, 06-00-00"
AA,16.3,15.51,7815114,"2020-01-24, 06-00-00"
AA,15.01,14.87,6596079,"2020-01-27, 06-00-00"
AA,15.1,14.71,7371948,"2020-01-28, 06-00-00"
AA,14.83,14.5,5281370,"2020-01-29, 06-00-00"
AA,14.28,14.29,10570747,"2020-01-30, 06-00-00"
AA,14.01,13.95,9964128,"2020-01-31, 06-00-00"
AA,14.01,14.24,7227874,"2020-02-03, 06-00-00"
AA,14.46,14.7,7443209,"2020-02-04, 06-00-00"
AA,15.31,15.81,8183030,"2020-02-05, 06-00-00"
AA,16.1,15.92,6281612,"2020-02-06, 06-00-00"
AA,15.63,15.55,5058736,"2020-02-07, 06-00-00"
AA,15.31,15.42,4009112,"2020-02-10, 06-00-00"
AA,15.57,15.74,4580466,"2020-02-11, 06-00-00"
AA,15.96,15.76,3894749,"2020-02-12, 06-00-00"
AA,15.56,15.75,2810355,"2020-02-13, 06-00-00"
AA,15.8,15.67,4292120,"2020-02-14, 06-00-00"
AA,15.54,15.98,3166404,"2020-02-18, 06-00-00"
AA,16.04,16.7,8725463,"2020-02-19, 06-00-00"
AA,16.65,16.1,7682007,"2020-02-20, 06-00-00"
AA,16.01,16.1,5528628,"2020-02-21, 06-00-00"
AA,15.21,15.36,5465689,"2020-02-24, 06-00-00"
AA,15.48,14.5,6280464,"2020-02-25, 06-00-00"
AA,14.64,14.12,4797497,"2020-02-26, 06-00-00"
AA,13.76,13.46,7007429,"2020-02-27, 06-00-00"
AA,12.84,13.87,6827178,"2020-02-28, 06-00-00"
AA,14.02,13.73,6784807,"2020-03-02, 06-00-00"
AA,13.67,12.94,10024705,"2020-03-03, 06-00-00"
AA,13.17,12.88,7371269,"2020-03-04, 06-00-00"
AA,12.47,11.89,12865882,"2020-03-05, 06-00-00"
AA,11.36,11.01,10566407,"2020-03-06, 06-00-00"
AA,9.62,8.69,10033959,"2020-03-09, 05-00-00"
AA,9.33,9.26,10358291,"2020-03-10, 05-00-00"
AA,8.85,9.2,9451032,"2020-03-11, 05-00-00"
AA,8.35,7.51,12676874,"2020-03-12, 05-00-00"
AA,8.08,8.0,7316234,"2020-03-13, 05-00-00"
AA,6.94,6.82,7319004,"2020-03-16, 05-00-00"
AA,7.12,7.0,8065675,"2020-03-17, 05-00-00"
AA,6.53,5.75,9287137,"2020-03-18, 05-00-00"
AA,5.76,5.83,6174466,"2020-03-19, 05-00-00"
AA,6.07,5.48,9957204,"2020-03-20, 05-00-00"
AA,5.5,5.67,7018502,"2020-03-23, 05-00-00"
AA,6.24,7.27,15142976,"2020-03-24, 05-00-00"
AA,7.93,7.09,12619262,"2020-03-25, 05-00-00"
AA,7.27,6.84,11935680,"2020-03-26, 05-00-00"
AA,6.51,6.55,10075437,"2020-03-27, 05-00-00"
AA,6.55,6.07,9615589,"2020-03-30, 05-00-00"
AA,6.16,6.16,12501980,"2020-03-31, 05-00-00"
AA,5.96,6.25,10452219,"2020-04-01, 05-00-00"
AA,6.29,6.08,10277718,"2020-04-02, 05-00-00"
AA,6.05,5.97,7951856,"2020-04-03, 05-00-00"
AA,6.37,6.55,9900312,"2020-04-06, 05-00-00"
AA,7.14,7.03,16045956,"2020-04-07, 05-00-00"
AA,7.17,7.26,7510393,"2020-04-08, 05-00-00"
AA,7.65,7.41,13298826,"2020-04-09, 05-00-00"
AA,7.48,7.55,9563893,"2020-04-13, 05-00-00"
AA,7.87,7.72,10641726,"2020-04-14, 05-00-00"
AA,7.23,7.26,8642557,"2020-04-15, 05-00-00"
AA,7.21,6.96,7963282,"2020-04-16, 05-00-00"
AA,7.25,7.59,10114431,"2020-04-17, 05-00-00"
AA,7.27,7.45,7393599,"2020-04-20, 05-00-00"
AA,7.1,7.32,6156406,"2020-04-21, 05-00-00"
AA,7.63,7.55,8457907,"2020-04-22, 05-00-00"
AA,7.91,7.29,20737032,"2020-04-23, 05-00-00"
AA,7.29,7.15,11296625,"2020-04-24, 05-00-00"
AA,7.21,7.37,9549425,"2020-04-27, 05-00-00"
AA,7.55,7.84,12227856,"2020-04-28, 05-00-00"
AA,8.15,8.67,12389233,"2020-04-29, 05-00-00"
AA,8.61,8.15,10728634,"2020-04-30, 05-00-00"
AA,7.86,7.69,9065295,"2020-05-01, 05-00-00"
AA,7.52,7.8,6870657,"2020-05-04, 05-00-00"
AA,8.02,7.81,8138913,"2020-05-05, 05-00-00"
AA,7.89,7.71,6236778,"2020-05-06, 05-00-00"
AA,7.84,7.49,10984191,"2020-05-07, 05-00-00"
AA,7.64,8.07,11312884,"2020-05-08, 05-00-00"
AA,7.78,7.77,8314493,"2020-05-11, 05-00-00"
AA,7.81,7.29,8639747,"2020-05-12, 05-00-00"
AA,7.31,6.98,8751348,"2020-05-13, 05-00-00"
AA,6.74,6.81,8896376,"2020-05-14, 05-00-00"
AA,6.7,6.66,6718477,"2020-05-15, 05-00-00"
AA,7.07,7.8,12922291,"2020-05-18, 05-00-00"
AA,7.8,7.74,10589639,"2020-05-19, 05-00-00"
AA,8.06,8.35,10545711,"2020-05-20, 05-00-00"
AA,8.26,8.28,9117452,"2020-05-21, 05-00-00"
AA,8.3,8.21,4414816,"2020-05-22, 05-00-00"
AA,8.7,8.76,8563675,"2020-05-26, 05-00-00"
AA,9.12,9.76,11370364,"2020-05-27, 05-00-00"
AA,9.96,9.48,15644265,"2020-05-28, 05-00-00"
AA,9.28,9.21,7942378,"2020-05-29, 05-00-00"
AA,9.21,9.49,5525222,"2020-06-01, 05-00-00"
AA,9.62,9.92,6267115,"2020-06-02, 05-00-00"
AA,10.2,10.77,8568694,"2020-06-03, 05-00-00"
AA,10.85,11.64,11430613,"2020-06-04, 05-00-00"
AA,12.69,12.07,18677633,"2020-06-05, 05-00-00"
AA,12.7,12.98,11247246,"2020-06-08, 05-00-00"
AA,12.38,12.59,7781523,"2020-06-09, 05-00-00"
AA,12.51,12.17,8252125,"2020-06-10, 05-00-00"
AA,10.89,10.42,11959427,"2020-06-11, 05-00-00"
AA,11.2,11.53,10185645,"2020-06-12, 05-00-00"
AA,10.9,11.41,6956181,"2020-06-15, 05-00-00"
AA,12.02,11.55,9388165,"2020-06-16, 05-00-00"
AA,11.55,11.55,6532178,"2020-06-17, 05-00-00"
AA,11.26,11.65,6059734,"2020-06-18, 05-00-00"
AA,11.98,11.48,8894573,"2020-06-19, 05-00-00"
AA,11.42,11.83,7827434,"2020-06-22, 05-00-00"
AA,12.12,12.2,7237304,"2020-06-23, 05-00-00"
AA,11.96,11.14,7562692,"2020-06-24, 05-00-00"
AA,11.01,11.83,6728553,"2020-06-25, 05-00-00"
AA,11.61,10.93,25817580,"2020-06-26, 05-00-00"
AA,11.04,10.99,7397605,"2020-06-29, 05-00-00"
AA,10.84,11.24,5798134,"2020-06-30, 05-00-00"
AA,11.18,10.95,7706527,"2020-07-01, 05-00-00"
AA,11.26,10.97,7515353,"2020-07-02, 05-00-00"
AA,11.35,11.47,7084253,"2020-07-06, 05-00-00"
AA,11.23,11.23,4613857,"2020-07-07, 05-00-00"
AA,12.07,11.09,12283996,"2020-07-08, 05-00-00"
AA,11.03,10.52,8074262,"2020-07-09, 05-00-00"
AA,10.49,11.41,7890349,"2020-07-10, 05-00-00"
AA,11.53,11.51,7871869,"2020-07-13, 05-00-00"
AA,11.38,12.61,11441062,"2020-07-14, 05-00-00"
AA,12.85,12.69,11807550,"2020-07-15, 05-00-00"
AA,12.81,13.49,16696892,"2020-07-16, 05-00-00"
AA,13.54,13.06,9757629,"2020-07-17, 05-00-00"
AA,12.9,12.72,4678559,"2020-07-20, 05-00-00"
AA,12.83,13.16,5734469,"2020-07-21, 05-00-00"
AA,13.05,13.07,4860872,"2020-07-22, 05-00-00"
AA,13.02,12.71,5684962,"2020-07-23, 05-00-00"
AA,12.59,12.75,4173960,"2020-07-24, 05-00-00"
AA,12.81,13.24,4692296,"2020-07-27, 05-00-00"
AA,12.97,12.91,3546374,"2020-07-28, 05-00-00"
AA,13.0,13.18,4758535,"2020-07-29, 05-00-00"
AA,12.83,13.18,6616336,"2020-07-30, 05-00-00"
AA,12.92,13.0,10357413,"2020-07-31, 05-00-00"
AA,13.08,13.68,5888115,"2020-08-03, 05-00-00"
AA,13.61,13.67,4871603,"2020-08-04, 05-00-00"
AA,14.0,14.68,9437501,"2020-08-05, 05-00-00"
AA,14.73,14.9,10031558,"2020-08-06, 05-00-00"
AA,14.64,14.67,6573588,"2020-08-07, 05-00-00"
AA,14.86,15.57,8087794,"2020-08-10, 05-00-00"
AA,16.02,14.89,7744457,"2020-08-11, 05-00-00"
AA,15.27,14.96,3987737,"2020-08-12, 05-00-00"
AA,14.75,14.48,4135694,"2020-08-13, 05-00-00"
AA,14.33,14.64,2991556,"2020-08-14, 05-00-00"
AA,14.75,14.5,2527740,"2020-08-17, 05-00-00"
AA,14.62,14.76,4571125,"2020-08-18, 05-00-00"
AA,14.8,15.31,7297256,"2020-08-19, 05-00-00"
AA,15.04,15.19,3140945,"2020-08-20, 05-00-00"
AA,14.91,14.6,4326712,"2020-08-21, 05-00-00"
AA,14.85,15.12,3171175,"2020-08-24, 05-00-00"
AA,15.12,15.05,2363258,"2020-08-25, 05-00-00"
AA,15.09,15.07,3158480,"2020-08-26, 05-00-00"
AA,15.22,14.84,3246941,"2020-08-27, 05-00-00"
AA,15.01,15.12,3144918,"2020-08-28, 05-00-00"
AA,15.23,14.62,4033212,"2020-08-31, 05-00-00"
AA,14.64,15.09,4123171,"2020-09-01, 05-00-00"
AA,14.73,14.67,5691182,"2020-09-02, 05-00-00"
AA,14.53,14.23,3930760,"2020-09-03, 05-00-00"
AA,14.52,14.4,3929632,"2020-09-04, 05-00-00"
AA,14.26,14.23,4901863,"2020-09-08, 05-00-00"
AA,14.32,14.1,3084124,"2020-09-09, 05-00-00"
