symbol,open,close,high,low,volume,date
AGM,83.04,83.03,83.7,82.295,38548,"2019-11-18, 06-00-00"
AGM,83.26,82.94,83.746,82.39,37692,"2019-11-19, 06-00-00"
AGM,82.59,81.06,83.38,81.04,47804,"2019-11-20, 06-00-00"
AGM,81.25,80.86,81.71,80.46,54321,"2019-11-21, 06-00-00"
AGM,81.02,81.17,81.51,80.8,33530,"2019-11-22, 06-00-00"
AGM,81.5,83.57,83.93,81.46,38079,"2019-11-25, 06-00-00"
AGM,83.63,82.54,83.96,82.54,21888,"2019-11-26, 06-00-00"
AGM,82.8,82.29,83.1,82.13,32089,"2019-11-27, 06-00-00"
AGM,82.2,83.05,83.48,81.76,15016,"2019-11-29, 06-00-00"
AGM,83.11,81.4,83.11,81.35,41493,"2019-12-02, 06-00-00"
AGM,80.69,81.09,81.31,80.12,41726,"2019-12-03, 06-00-00"
AGM,81.53,82.13,82.91,80.921,34454,"2019-12-04, 06-00-00"
AGM,82.41,82.77,83.2,81.6,82587,"2019-12-05, 06-00-00"
AGM,83.84,82.58,84.12,82.32,63234,"2019-12-06, 06-00-00"
AGM,82.51,82.36,83.0,82.0,49485,"2019-12-09, 06-00-00"
AGM,81.89,82.27,82.93,81.6306,50876,"2019-12-10, 06-00-00"
AGM,82.41,83.1,83.5,81.86,75030,"2019-12-11, 06-00-00"
AGM,83.22,83.08,83.77,82.41,58207,"2019-12-12, 06-00-00"
AGM,82.34,81.28,82.44,80.68,47052,"2019-12-13, 06-00-00"
AGM,81.92,82.24,82.53,81.73,69556,"2019-12-16, 06-00-00"
AGM,82.47,83.85,83.95,82.2515,87125,"2019-12-17, 06-00-00"
AGM,84.15,84.83,85.58,83.99,46164,"2019-12-18, 06-00-00"
AGM,85.27,86.14,86.3,85.01,69352,"2019-12-19, 06-00-00"
AGM,86.5,86.38,86.64,85.85,112099,"2019-12-20, 06-00-00"
AGM,86.55,84.76,87.0,83.45,58570,"2019-12-23, 06-00-00"
AGM,84.92,84.2,85.02,84.2,33371,"2019-12-24, 06-00-00"
AGM,84.37,84.74,85.0,84.28,33620,"2019-12-26, 06-00-00"
AGM,85.0,84.23,85.0,83.73,27696,"2019-12-27, 06-00-00"
AGM,84.17,83.99,84.59,83.26,43736,"2019-12-30, 06-00-00"
AGM,83.83,83.5,84.57,83.45,27115,"2019-12-31, 06-00-00"
AGM,83.77,83.37,83.77,82.13,33586,"2020-01-02, 06-00-00"
AGM,82.29,83.32,83.52,82.29,30543,"2020-01-03, 06-00-00"
AGM,82.74,83.4,83.79,82.46,24649,"2020-01-06, 06-00-00"
AGM,83.13,83.09,83.4662,82.56,26273,"2020-01-07, 06-00-00"
AGM,82.95,82.96,83.62,82.56,60080,"2020-01-08, 06-00-00"
AGM,83.37,82.5,83.625,82.01,50555,"2020-01-09, 06-00-00"
AGM,82.33,82.12,82.6647,81.51,30944,"2020-01-10, 06-00-00"
AGM,82.06,82.22,82.34,81.57,23830,"2020-01-13, 06-00-00"
AGM,82.06,81.81,82.5275,81.6275,25150,"2020-01-14, 06-00-00"
AGM,81.58,82.13,82.22,81.27,30140,"2020-01-15, 06-00-00"
AGM,82.73,83.55,83.73,82.4664,26205,"2020-01-16, 06-00-00"
AGM,84.13,82.7,84.13,82.37,24315,"2020-01-17, 06-00-00"
AGM,82.43,81.85,82.445,81.51,40649,"2020-01-21, 06-00-00"
AGM,82.2,82.72,82.86,81.79,32423,"2020-01-22, 06-00-00"
AGM,82.42,81.86,82.83,81.51,38691,"2020-01-23, 06-00-00"
AGM,81.88,81.09,81.92,80.3602,23777,"2020-01-24, 06-00-00"
AGM,79.95,80.05,80.45,79.93,37367,"2020-01-27, 06-00-00"
AGM,80.8,80.62,81.17,80.26,56189,"2020-01-28, 06-00-00"
AGM,80.88,78.56,80.88,78.5,47461,"2020-01-29, 06-00-00"
AGM,77.95,77.32,78.44,75.96,45196,"2020-01-30, 06-00-00"
AGM,76.96,76.3,76.96,75.85,40428,"2020-01-31, 06-00-00"
AGM,76.65,75.44,76.6548,75.03,49938,"2020-02-03, 06-00-00"
AGM,76.27,73.09,76.3476,72.98,81541,"2020-02-04, 06-00-00"
AGM,73.85,74.52,74.8,73.775,63027,"2020-02-05, 06-00-00"
AGM,74.95,73.28,75.26,73.12,36693,"2020-02-06, 06-00-00"
AGM,73.0,72.4,73.16,71.97,51293,"2020-02-07, 06-00-00"
AGM,72.42,73.29,73.335,71.3,51367,"2020-02-10, 06-00-00"
AGM,73.49,72.97,74.28,72.5,42333,"2020-02-11, 06-00-00"
AGM,73.47,72.4,73.47,72.19,29822,"2020-02-12, 06-00-00"
AGM,72.18,72.79,73.257,71.9775,38613,"2020-02-13, 06-00-00"
AGM,72.92,72.26,72.92,71.48,43787,"2020-02-14, 06-00-00"
AGM,73.83,75.24,75.54,73.3591,51585,"2020-02-18, 06-00-00"
AGM,75.99,72.78,75.99,72.545,52666,"2020-02-19, 06-00-00"
AGM,72.53,72.31,73.54,72.23,30977,"2020-02-20, 06-00-00"
AGM,72.3,71.98,72.533,71.69,30924,"2020-02-21, 06-00-00"
AGM,70.59,71.4,71.71,70.0,48948,"2020-02-24, 06-00-00"
AGM,71.66,69.31,72.1485,68.5,46182,"2020-02-25, 06-00-00"
AGM,71.31,74.87,76.555,71.31,74079,"2020-02-26, 06-00-00"
AGM,73.53,73.0,74.34,72.1,58977,"2020-02-27, 06-00-00"
AGM,71.27,75.06,75.06,70.87,112736,"2020-02-28, 06-00-00"
AGM,75.01,75.2,77.1,73.79,69873,"2020-03-02, 06-00-00"
AGM,75.13,75.16,77.5,74.23,84947,"2020-03-03, 06-00-00"
AGM,76.19,75.01,76.19,73.8,42291,"2020-03-04, 06-00-00"
AGM,73.88,72.44,74.25,71.11,53465,"2020-03-05, 06-00-00"
AGM,71.27,72.6,73.22,70.66,60139,"2020-03-06, 06-00-00"
AGM,70.6,70.25,72.26,68.22,98290,"2020-03-09, 05-00-00"
AGM,72.16,70.86,72.81,68.67,106525,"2020-03-10, 05-00-00"
AGM,69.18,66.04,69.74,65.78,77206,"2020-03-11, 05-00-00"
AGM,55.0,56.12,60.325,55.0,126284,"2020-03-12, 05-00-00"
AGM,58.34,56.32,59.02,54.035,101938,"2020-03-13, 05-00-00"
AGM,51.19,50.83,53.85,50.01,86566,"2020-03-16, 05-00-00"
AGM,51.93,55.82,55.9,49.71,84430,"2020-03-17, 05-00-00"
AGM,52.05,49.8,53.54,49.01,72161,"2020-03-18, 05-00-00"
AGM,49.96,51.92,52.86,48.5167,95889,"2020-03-19, 05-00-00"
AGM,52.12,43.02,52.58,42.79,161023,"2020-03-20, 05-00-00"
AGM,44.02,45.92,47.5,40.05,89374,"2020-03-23, 05-00-00"
AGM,46.92,49.83,50.32,46.27,101073,"2020-03-24, 05-00-00"
AGM,50.83,50.47,53.25,49.0,96217,"2020-03-25, 05-00-00"
