symbol,open,close,high,low,volume,date
AU,47.93,47.74,48.33,47.61,1440665,2010-11-18
AU,47.56,47.58,48.13,47.29,1226268,2010-11-19
AU,47.66,48.0,48.15,46.82,1218933,2010-11-22
AU,47.72,46.96,48.04,46.83,1290264,2010-11-23
AU,47.44,46.97,47.54,46.67,807206,2010-11-24
AU,46.23,46.56,46.69,46.11,942649,2010-11-26
AU,46.5,46.87,46.95,45.88,973039,2010-11-29
AU,46.25,46.83,47.0399,46.06,1580907,2010-11-30
AU,47.07,47.32,47.32,46.57,1216227,2010-12-01
AU,47.84,48.44,48.81,47.78,1221070,2010-12-02
AU,48.79,49.87,49.94,48.63,2115571,2010-12-03
AU,49.52,49.58,49.9,49.05,2013480,2010-12-06
AU,50.06,48.78,50.15,48.78,1445908,2010-12-07
AU,48.69,48.06,49.04,47.77,1328004,2010-12-08
AU,48.51,48.37,48.59,47.78,888783,2010-12-09
AU,48.52,48.79,49.0725,47.96,1284931,2010-12-10
AU,49.55,49.53,49.99,49.33,913303,2010-12-13
AU,50.21,50.54,50.76,50.0,1305232,2010-12-14
AU,50.22,49.23,50.75,49.01,2034048,2010-12-15
AU,49.05,47.92,49.06,47.255,2899839,2010-12-16
AU,48.47,48.23,48.47,47.77,1908443,2010-12-17
AU,49.02,48.25,49.09,47.97,1691080,2010-12-20
AU,48.33,47.88,48.565,47.68,1193049,2010-12-21
AU,47.65,47.57,48.12,47.47,1008718,2010-12-22
AU,47.6,48.01,48.26,47.55,921785,2010-12-23
AU,48.29,48.03,48.37,47.29,546272,2010-12-27
AU,48.73,49.54,49.665,48.48,1101737,2010-12-28
AU,49.68,49.36,49.7,48.99,830404,2010-12-29
AU,49.56,48.77,49.635,48.18,965429,2010-12-30
AU,49.01,49.23,49.469,48.98,551883,2010-12-31
AU,49.49,48.55,49.59,48.19,1608853,2011-01-03
AU,47.62,46.88,47.73,46.39,2181027,2011-01-04
AU,46.43,46.88,47.03,46.16,1456600,2011-01-05
AU,46.405,44.8,46.63,44.53,5969131,2011-01-06
AU,44.66,44.82,45.52,44.17,3117818,2011-01-07
AU,44.82,44.82,44.8691,43.98,2718915,2011-01-10
AU,45.31,45.18,45.57,44.895,3087428,2011-01-11
AU,45.18,45.56,45.72,44.94,1663344,2011-01-12
AU,45.8,44.37,45.82,44.26,3813226,2011-01-13
AU,43.95,44.67,44.68,43.83,3410527,2011-01-14
AU,44.58,45.1,45.21,44.52,3097147,2011-01-18
AU,45.09,44.7,45.29,44.35,1662546,2011-01-19
AU,43.73,44.61,44.93,43.66,3233745,2011-01-20
AU,44.39,44.44,44.96,43.97,3446855,2011-01-21
AU,44.48,44.36,44.86,44.11,3540389,2011-01-24
AU,43.42,43.36,43.98,42.94,3323949,2011-01-25
AU,43.33,44.67,44.7,43.22,2889006,2011-01-26
AU,44.2,43.72,44.36,43.15,2264203,2011-01-27
AU,43.09,43.13,44.24,42.99,2925381,2011-01-28
AU,42.75,43.04,43.19,42.47,2260025,2011-01-31
AU,43.46,44.58,44.65,43.21,3283576,2011-02-01
AU,44.54,44.23,44.75,43.91,1628262,2011-02-02
AU,44.2,45.41,45.53,43.89,1910865,2011-02-03
AU,45.37,44.73,45.55,44.54,1302862,2011-02-04
AU,45.15,44.98,45.5,44.69,1267680,2011-02-07
AU,45.44,46.37,46.58,45.13,3087072,2011-02-08
AU,45.97,45.47,46.18,45.1727,1452423,2011-02-09
AU,44.89,44.73,45.07,44.36,2157914,2011-02-10
AU,44.85,44.78,45.29,44.49,1492981,2011-02-11
AU,44.97,45.07,45.5,44.9105,1044582,2011-02-14
AU,45.48,45.91,46.15,45.47,1411235,2011-02-15
AU,46.13,46.26,46.46,45.7,1365198,2011-02-16
AU,46.71,47.3,47.53,46.25,1599940,2011-02-17
AU,47.3,47.55,48.13,47.17,1606784,2011-02-18
AU,48.64,47.88,48.97,47.84,2421799,2011-02-22
AU,48.67,48.58,49.31,48.2,1723443,2011-02-23
AU,49.2,48.24,49.2,48.16,1753510,2011-02-24
AU,48.42,48.5,48.7,48.1,1155349,2011-02-25
AU,48.62,48.84,49.17,48.55,1654378,2011-02-28
AU,49.09,49.05,49.29,48.86,1768801,2011-03-01
AU,49.39,49.8,49.85,48.82,1439289,2011-03-02
AU,49.45,49.3,49.99,48.86,1476057,2011-03-03
AU,48.48,47.85,48.77,47.45,3054224,2011-03-04
AU,48.52,47.62,48.52,47.45,2606481,2011-03-07
AU,47.31,47.62,47.88,47.13,1097611,2011-03-08
AU,47.87,47.5,47.87,47.0,1206464,2011-03-09
AU,45.79,45.48,46.2893,45.16,1734494,2011-03-10
AU,46.11,47.04,47.37,45.9,1121158,2011-03-11
AU,46.74,47.04,47.07,46.41,796579,2011-03-14
AU,44.45,46.06,46.31,44.26,1718605,2011-03-15
AU,45.54,43.78,45.8392,43.52,2505256,2011-03-16
AU,44.21,44.04,44.31,43.4,1648499,2011-03-17
AU,44.71,44.24,45.04,44.12,1942456,2011-03-18
AU,45.03,45.01,45.49,44.7,827668,2011-03-21
AU,44.94,45.23,45.49,44.61,945266,2011-03-22
AU,45.39,46.45,46.66,45.29,1125129,2011-03-23
AU,47.05,46.51,47.43,46.24,1523355,2011-03-24
AU,46.44,46.65,47.09,46.03,1039372,2011-03-25
AU,46.33,46.06,46.61,45.99,1171451,2011-03-28
AU,46.38,46.02,46.75,45.94,1362712,2011-03-29
AU,46.89,47.33,47.63,46.77,1557137,2011-03-30
AU,47.6,47.95,48.2,47.41,1665775,2011-03-31
AU,48.78,48.85,49.2701,48.27,2001084,2011-04-01
AU,49.11,48.66,49.28,48.41,763666,2011-04-04
AU,48.73,50.32,50.57,48.58,3444659,2011-04-05
AU,50.51,50.54,50.77,50.0,2579915,2011-04-06
AU,49.97,49.48,50.39,48.99,1683098,2011-04-07
AU,50.66,51.09,51.15,50.23,1664711,2011-04-08
AU,50.18,49.25,50.6,48.81,1828183,2011-04-11
AU,49.08,48.93,49.47,48.53,1706708,2011-04-12
AU,49.38,48.91,49.47,48.4,1039845,2011-04-13
AU,48.62,49.26,49.67,48.54,1209986,2011-04-14
AU,48.79,49.3,49.33,48.43,1060385,2011-04-15
AU,49.03,48.5,49.21,47.67,1708543,2011-04-18
AU,48.45,49.02,49.02,48.09,1002910,2011-04-19
AU,49.61,49.74,50.31,49.53,981760,2011-04-20
AU,49.93,49.98,50.34,49.72,1015826,2011-04-21
AU,50.41,49.63,50.42,49.3,926934,2011-04-25
AU,49.97,49.38,49.98,49.17,1011193,2011-04-26
AU,49.84,49.87,49.89,48.85,2220719,2011-04-27
AU,49.34,49.37,50.2,49.18,1388791,2011-04-28
AU,49.98,50.98,51.275,49.73,1214725,2011-04-29
AU,50.66,50.39,51.69,49.93,1413450,2011-05-02
AU,49.89,48.18,50.3199,47.51,2204345,2011-05-03
AU,48.05,47.99,48.27,46.68,2719638,2011-05-04
AU,46.72,45.77,47.09,45.05,3126112,2011-05-05
AU,46.34,45.65,46.89,45.51,1612936,2011-05-06
AU,45.84,46.41,46.46,45.37,1674986,2011-05-09
AU,45.68,45.48,46.11,45.47,1839240,2011-05-10
AU,46.42,44.84,46.43,44.55,3885662,2011-05-11
AU,44.17,44.46,44.92,43.77,3577925,2011-05-12
AU,44.2,43.61,44.83,43.29,2799986,2011-05-13
AU,44.02,44.34,44.66,43.74,3902064,2011-05-16
AU,44.2,45.13,45.32,44.01,3139682,2011-05-17
AU,45.22,45.21,45.75,45.08,1185105,2011-05-18
AU,45.13,45.61,45.85,45.05,1774108,2011-05-19
AU,45.54,45.8,46.41,44.97,1684406,2011-05-20
AU,44.56,44.5,45.04,44.23,2108833,2011-05-23
AU,44.81,45.22,45.43,44.68,1355291,2011-05-24
AU,44.8,45.01,45.29,44.52,2680497,2011-05-25
AU,44.93,44.55,45.0,44.19,1918985,2011-05-26
AU,45.27,45.5,45.57,44.98,1284733,2011-05-27
AU,46.29,45.96,46.3,45.38,1357556,2011-05-31
AU,46.03,45.21,46.05,45.13,2132628,2011-06-01
AU,45.64,45.0,45.72,44.33,1318509,2011-06-02
AU,45.03,45.44,45.7,44.7801,2282611,2011-06-03
AU,45.18,43.73,45.36,43.44,2114451,2011-06-06
AU,44.57,43.87,44.66,43.82,2607815,2011-06-07
AU,43.26,43.08,43.62,42.56,2129916,2011-06-08
AU,43.42,43.84,44.32,43.2603,1279789,2011-06-09
AU,43.3,42.93,43.45,42.56,1249031,2011-06-10
AU,42.85,42.51,43.14,42.23,1027950,2011-06-13
AU,42.65,43.2,43.48,42.52,855782,2011-06-14
AU,42.75,42.79,43.52,42.26,1289128,2011-06-15
AU,42.8,41.97,43.07,41.5,1589464,2011-06-16
AU,41.99,42.1,42.59,41.62,2783015,2011-06-17
AU,42.48,42.12,43.02,42.05,1214973,2011-06-20
AU,42.29,42.85,43.1,42.29,980960,2011-06-21
AU,42.32,42.67,43.61,42.26,2046487,2011-06-22
AU,41.72,41.46,41.82,40.28,2432095,2011-06-23
AU,41.04,40.12,41.15,40.04,1977706,2011-06-24
AU,40.02,39.91,40.47,39.7,1817728,2011-06-27
AU,40.59,41.26,41.39,40.3,1364440,2011-06-28
AU,41.4,41.89,42.54,41.17,1501226,2011-06-29
AU,42.2,42.09,42.42,41.73,919246,2011-06-30
AU,41.64,41.18,41.67,40.785,1280660,2011-07-01
AU,41.57,41.82,42.01,41.38,1610583,2011-07-05
AU,42.33,42.48,42.92,41.97,1356896,2011-07-06
AU,42.91,42.79,43.11,42.71,2122779,2011-07-07
AU,42.81,42.36,43.0,42.12,903701,2011-07-08
AU,42.29,41.52,42.5398,41.44,1281583,2011-07-11
AU,41.53,42.71,43.01,41.44,2332681,2011-07-12
AU,43.17,43.78,44.25,42.83,2742844,2011-07-13
AU,44.48,43.77,44.48,43.46,2574827,2011-07-14
AU,43.98,43.86,44.28,43.72,1653389,2011-07-15
AU,44.8,45.24,45.33,44.66,2619825,2011-07-18
AU,45.58,44.41,45.63,44.2006,1900389,2011-07-19
AU,43.9,44.26,44.69,43.86,1619843,2011-07-20
AU,44.45,44.35,44.52,43.89,1359834,2011-07-21
AU,44.32,44.47,44.64,44.04,1159304,2011-07-22
AU,45.1101,43.83,45.28,43.69,2089289,2011-07-25
AU,44.01,43.62,44.03,43.55,1989296,2011-07-26
AU,44.18,42.8,44.23,42.58,1993896,2011-07-27
AU,42.21,42.16,42.35,41.645,1933762,2011-07-28
AU,42.04,41.94,42.11,41.51,1749354,2011-07-29
AU,41.88,42.27,42.62,41.78,1402570,2011-08-01
AU,42.57,43.29,43.68,42.46,2720040,2011-08-02
AU,43.72,43.83,44.55,43.64,2813933,2011-08-03
AU,44.19,42.07,44.19,41.63,2851898,2011-08-04
AU,43.1101,41.81,43.66,40.58,2384218,2011-08-05
AU,43.47,42.01,43.73,41.81,3897819,2011-08-08
AU,42.49,42.86,42.98,41.02,3103273,2011-08-09
AU,43.84,44.33,45.26,43.64,5454405,2011-08-10
AU,44.24,45.8,46.24,43.84,3345805,2011-08-11
AU,44.48,43.82,44.84,43.61,1893292,2011-08-12
AU,43.93,45.47,45.56,43.61,1457787,2011-08-15
AU,45.38,45.44,45.9161,45.11,1127495,2011-08-16
AU,45.96,46.19,46.635,45.7929,2412408,2011-08-17
AU,46.1,44.76,46.21,44.38,1303340,2011-08-18
AU,45.03,45.84,46.0,45.03,2152036,2011-08-19
AU,45.81,46.18,47.25,45.75,3189148,2011-08-22
