symbol,open,close,high,low,volume,date
BGIO,9.63,9.67,9.67,9.6,46304,"2019-11-18, 06-00-00"
BGIO,9.67,9.6,9.67,9.59,49604,"2019-11-19, 06-00-00"
BGIO,9.63,9.59,9.63,9.57,60260,"2019-11-20, 06-00-00"
BGIO,9.61,9.62,9.66,9.55,47140,"2019-11-21, 06-00-00"
BGIO,9.67,9.62,9.74,9.62,18826,"2019-11-22, 06-00-00"
BGIO,9.6238,9.56,9.65,9.55,39889,"2019-11-25, 06-00-00"
BGIO,9.55,9.5,9.58,9.47,77424,"2019-11-26, 06-00-00"
BGIO,9.5209,9.54,9.56,9.48,18141,"2019-11-27, 06-00-00"
BGIO,9.58,9.53,9.58,9.5254,10550,"2019-11-29, 06-00-00"
BGIO,9.55,9.65,9.65,9.5026,86831,"2019-12-02, 06-00-00"
BGIO,9.58,9.66,9.73,9.5524,36074,"2019-12-03, 06-00-00"
BGIO,9.75,9.69,9.79,9.6,63295,"2019-12-04, 06-00-00"
BGIO,9.6846,9.5,9.6846,9.5,83540,"2019-12-05, 06-00-00"
BGIO,9.5,9.62,9.62,9.5,31769,"2019-12-06, 06-00-00"
BGIO,9.61,9.61,9.63,9.57,23365,"2019-12-09, 06-00-00"
BGIO,9.6,9.612,9.62,9.51,37092,"2019-12-10, 06-00-00"
BGIO,9.6,9.6,9.68,9.56,38857,"2019-12-11, 06-00-00"
BGIO,9.63,9.67,9.68,9.57,65293,"2019-12-12, 06-00-00"
BGIO,9.66,9.69,9.7,9.6,44609,"2019-12-13, 06-00-00"
BGIO,9.74,9.75,9.75,9.6626,35226,"2019-12-16, 06-00-00"
BGIO,9.73,9.65,9.74,9.62,47673,"2019-12-17, 06-00-00"
BGIO,9.74,9.67,9.75,9.64,66130,"2019-12-18, 06-00-00"
BGIO,9.74,9.839,9.93,9.7,109991,"2019-12-19, 06-00-00"
BGIO,9.84,9.63,9.84,9.63,100882,"2019-12-20, 06-00-00"
BGIO,9.63,9.63,9.68,9.622,39019,"2019-12-23, 06-00-00"
BGIO,9.62,9.67,9.75,9.62,22086,"2019-12-24, 06-00-00"
BGIO,9.65,9.65,9.749,9.64,26159,"2019-12-26, 06-00-00"
BGIO,9.64,9.83,9.83,9.64,29630,"2019-12-27, 06-00-00"
BGIO,9.75,9.86,9.86,9.75,32763,"2019-12-30, 06-00-00"
BGIO,9.79,9.86,9.86,9.79,8146,"2019-12-31, 06-00-00"
BGIO,9.85,9.79,9.86,9.77,24217,"2020-01-02, 06-00-00"
BGIO,9.85,9.814,9.85,9.79,13761,"2020-01-03, 06-00-00"
BGIO,9.75,9.83,9.83,9.72,17631,"2020-01-06, 06-00-00"
BGIO,9.8,9.92,9.92,9.73,90446,"2020-01-07, 06-00-00"
BGIO,9.79,9.82,9.88,9.77,24453,"2020-01-08, 06-00-00"
BGIO,9.9,9.75,9.93,9.75,46598,"2020-01-09, 06-00-00"
BGIO,9.775,9.79,9.8,9.75,22329,"2020-01-10, 06-00-00"
BGIO,9.79,9.83,9.83,9.76,27227,"2020-01-13, 06-00-00"
BGIO,9.78,9.8,9.83,9.76,42863,"2020-01-14, 06-00-00"
BGIO,9.76,9.8,9.83,9.76,56950,"2020-01-15, 06-00-00"
BGIO,9.79,9.79,9.85,9.78,42892,"2020-01-16, 06-00-00"
BGIO,9.77,9.77,9.84,9.77,50993,"2020-01-17, 06-00-00"
BGIO,9.76,9.82,9.82,9.73,26170,"2020-01-21, 06-00-00"
BGIO,9.8,9.78,9.87,9.76,78547,"2020-01-22, 06-00-00"
BGIO,9.78,9.84,9.88,9.78,12689,"2020-01-23, 06-00-00"
BGIO,9.81,9.85,9.8668,9.8,12349,"2020-01-24, 06-00-00"
