symbol,open,close,volume,date
BKH,75.62,76.13,204001,"2019-11-18, 06-00-00"
BKH,75.94,76.3,163509,"2019-11-19, 06-00-00"
BKH,76.02,76.78,287121,"2019-11-20, 06-00-00"
BKH,76.81,77.01,268238,"2019-11-21, 06-00-00"
BKH,77.8,77.55,215990,"2019-11-22, 06-00-00"
BKH,77.49,77.78,275399,"2019-11-25, 06-00-00"
BKH,77.78,76.71,414933,"2019-11-26, 06-00-00"
BKH,76.73,76.86,242245,"2019-11-27, 06-00-00"
BKH,76.99,76.57,120733,"2019-11-29, 06-00-00"
BKH,76.29,75.51,321470,"2019-12-02, 06-00-00"
BKH,75.66,75.79,223116,"2019-12-03, 06-00-00"
BKH,75.75,76.68,245160,"2019-12-04, 06-00-00"
BKH,76.56,76.69,203870,"2019-12-05, 06-00-00"
BKH,76.63,76.72,251085,"2019-12-06, 06-00-00"
BKH,76.77,76.22,167893,"2019-12-09, 06-00-00"
BKH,76.22,76.67,169722,"2019-12-10, 06-00-00"
BKH,76.84,77.19,156793,"2019-12-11, 06-00-00"
BKH,77.04,77.04,200584,"2019-12-12, 06-00-00"
BKH,76.88,77.15,168019,"2019-12-13, 06-00-00"
BKH,77.25,78.42,291766,"2019-12-16, 06-00-00"
BKH,78.32,78.04,410037,"2019-12-17, 06-00-00"
BKH,78.22,78.47,348995,"2019-12-18, 06-00-00"
BKH,78.81,78.24,325729,"2019-12-19, 06-00-00"
BKH,78.17,78.43,1312630,"2019-12-20, 06-00-00"
BKH,78.6,77.3,287468,"2019-12-23, 06-00-00"
BKH,77.46,77.33,135863,"2019-12-24, 06-00-00"
BKH,77.48,77.72,186110,"2019-12-26, 06-00-00"
BKH,77.71,77.99,220049,"2019-12-27, 06-00-00"
BKH,77.86,78.14,256860,"2019-12-30, 06-00-00"
BKH,78.05,78.54,301947,"2019-12-31, 06-00-00"
BKH,78.65,76.65,282124,"2020-01-02, 06-00-00"
BKH,76.27,76.36,269384,"2020-01-03, 06-00-00"
BKH,76.28,76.39,370630,"2020-01-06, 06-00-00"
BKH,76.0,76.2,333786,"2020-01-07, 06-00-00"
BKH,76.2,76.09,298718,"2020-01-08, 06-00-00"
BKH,76.11,76.86,267687,"2020-01-09, 06-00-00"
BKH,76.9,77.46,210515,"2020-01-10, 06-00-00"
BKH,77.35,78.6,190655,"2020-01-13, 06-00-00"
BKH,78.65,78.69,166922,"2020-01-14, 06-00-00"
BKH,78.83,80.02,291353,"2020-01-15, 06-00-00"
BKH,80.51,81.1,297773,"2020-01-16, 06-00-00"
BKH,81.18,81.03,237630,"2020-01-17, 06-00-00"
BKH,80.99,81.45,253501,"2020-01-21, 06-00-00"
BKH,81.76,82.06,189067,"2020-01-22, 06-00-00"
BKH,81.99,82.59,303237,"2020-01-23, 06-00-00"
BKH,82.68,82.47,223512,"2020-01-24, 06-00-00"
BKH,82.37,82.47,344436,"2020-01-27, 06-00-00"
BKH,82.66,82.85,316492,"2020-01-28, 06-00-00"
BKH,82.77,83.22,346559,"2020-01-29, 06-00-00"
BKH,83.03,83.79,315429,"2020-01-30, 06-00-00"
BKH,83.46,83.03,538764,"2020-01-31, 06-00-00"
BKH,83.04,83.56,401952,"2020-02-03, 06-00-00"
BKH,83.5,83.03,309625,"2020-02-04, 06-00-00"
BKH,83.03,84.05,287736,"2020-02-05, 06-00-00"
BKH,84.2,84.23,463408,"2020-02-06, 06-00-00"
BKH,84.75,83.91,476106,"2020-02-07, 06-00-00"
BKH,84.25,84.47,361959,"2020-02-10, 06-00-00"
BKH,84.72,84.56,288232,"2020-02-11, 06-00-00"
BKH,84.71,83.88,330945,"2020-02-12, 06-00-00"
BKH,83.33,84.86,231486,"2020-02-13, 06-00-00"
BKH,85.17,85.35,199192,"2020-02-14, 06-00-00"
BKH,85.52,85.53,300162,"2020-02-18, 06-00-00"
BKH,85.39,84.84,252978,"2020-02-19, 06-00-00"
BKH,84.69,84.78,216652,"2020-02-20, 06-00-00"
BKH,84.96,84.73,371790,"2020-02-21, 06-00-00"
BKH,83.96,83.02,265280,"2020-02-24, 06-00-00"
BKH,83.47,80.97,513746,"2020-02-25, 06-00-00"
BKH,81.14,79.95,478743,"2020-02-26, 06-00-00"
BKH,79.32,76.07,403572,"2020-02-27, 06-00-00"
BKH,73.66,72.2,882892,"2020-02-28, 06-00-00"
BKH,72.64,76.43,484914,"2020-03-02, 06-00-00"
BKH,76.2,76.33,488792,"2020-03-03, 06-00-00"
BKH,77.33,80.88,455306,"2020-03-04, 06-00-00"
BKH,79.32,79.28,338622,"2020-03-05, 06-00-00"
BKH,76.99,80.68,590532,"2020-03-06, 06-00-00"
BKH,75.23,74.5,527958,"2020-03-09, 05-00-00"
BKH,75.82,75.98,601747,"2020-03-10, 05-00-00"
BKH,73.93,70.28,545093,"2020-03-11, 05-00-00"
BKH,65.7,62.19,785265,"2020-03-12, 05-00-00"
BKH,66.17,65.89,628883,"2020-03-13, 05-00-00"
BKH,55.35,54.07,658820,"2020-03-16, 05-00-00"
BKH,55.12,59.89,789434,"2020-03-17, 05-00-00"
BKH,57.13,50.93,730170,"2020-03-18, 05-00-00"
BKH,51.32,51.4,900571,"2020-03-19, 05-00-00"
BKH,52.03,51.72,1119697,"2020-03-20, 05-00-00"
BKH,51.46,51.14,757135,"2020-03-23, 05-00-00"
BKH,53.78,56.81,505595,"2020-03-24, 05-00-00"
BKH,56.39,58.56,653361,"2020-03-25, 05-00-00"
BKH,58.91,63.48,464455,"2020-03-26, 05-00-00"
BKH,60.95,63.1,452201,"2020-03-27, 05-00-00"
BKH,63.72,68.18,598947,"2020-03-30, 05-00-00"
BKH,67.06,64.03,646723,"2020-03-31, 05-00-00"
BKH,61.52,58.48,453539,"2020-04-01, 05-00-00"
BKH,57.49,61.08,347039,"2020-04-02, 05-00-00"
BKH,60.16,58.37,508038,"2020-04-03, 05-00-00"
BKH,61.14,65.33,357229,"2020-04-06, 05-00-00"
BKH,67.09,63.1,347953,"2020-04-07, 05-00-00"
BKH,64.29,68.03,426307,"2020-04-08, 05-00-00"
BKH,69.33,70.66,590413,"2020-04-09, 05-00-00"
BKH,69.03,67.69,308836,"2020-04-13, 05-00-00"
BKH,69.32,69.35,299592,"2020-04-14, 05-00-00"
BKH,66.94,66.14,297719,"2020-04-15, 05-00-00"
BKH,66.06,65.65,336732,"2020-04-16, 05-00-00"
BKH,67.14,67.63,288554,"2020-04-17, 05-00-00"
BKH,66.28,63.5,281802,"2020-04-20, 05-00-00"
BKH,61.25,63.11,233759,"2020-04-21, 05-00-00"
BKH,64.99,63.89,275659,"2020-04-22, 05-00-00"
BKH,63.71,62.3,246378,"2020-04-23, 05-00-00"
BKH,62.48,62.52,334578,"2020-04-24, 05-00-00"
BKH,63.4,65.43,484465,"2020-04-27, 05-00-00"
BKH,67.12,67.17,426396,"2020-04-28, 05-00-00"
BKH,67.67,65.68,472670,"2020-04-29, 05-00-00"
BKH,64.36,61.94,661030,"2020-04-30, 05-00-00"
BKH,60.62,59.73,457330,"2020-05-01, 05-00-00"
BKH,58.98,59.92,429486,"2020-05-04, 05-00-00"
BKH,61.37,60.05,421037,"2020-05-05, 05-00-00"
BKH,61.21,58.28,427981,"2020-05-06, 05-00-00"
BKH,59.32,58.21,395915,"2020-05-07, 05-00-00"
BKH,59.43,60.74,376751,"2020-05-08, 05-00-00"
BKH,59.76,59.38,551899,"2020-05-11, 05-00-00"
BKH,59.53,58.04,409270,"2020-05-12, 05-00-00"
BKH,57.69,57.51,416644,"2020-05-13, 05-00-00"
BKH,56.27,56.84,493326,"2020-05-14, 05-00-00"
BKH,56.3,55.91,1232620,"2020-05-15, 05-00-00"
BKH,58.47,59.26,426339,"2020-05-18, 05-00-00"
BKH,60.0,58.26,474111,"2020-05-19, 05-00-00"
BKH,59.03,58.38,455027,"2020-05-20, 05-00-00"
BKH,58.75,58.57,439653,"2020-05-21, 05-00-00"
BKH,58.75,59.03,481797,"2020-05-22, 05-00-00"
BKH,60.51,60.75,507644,"2020-05-26, 05-00-00"
BKH,61.87,60.86,463197,"2020-05-27, 05-00-00"
BKH,61.75,61.53,487851,"2020-05-28, 05-00-00"
BKH,60.84,61.71,419285,"2020-05-29, 05-00-00"
BKH,61.71,60.59,374634,"2020-06-01, 05-00-00"
BKH,61.19,60.97,264934,"2020-06-02, 05-00-00"
BKH,61.7,61.58,274026,"2020-06-03, 05-00-00"
BKH,60.99,59.87,241126,"2020-06-04, 05-00-00"
BKH,61.36,61.99,380342,"2020-06-05, 05-00-00"
BKH,62.42,62.89,507260,"2020-06-08, 05-00-00"
BKH,62.26,61.48,332680,"2020-06-09, 05-00-00"
BKH,61.21,60.27,343735,"2020-06-10, 05-00-00"
BKH,58.87,56.1,419189,"2020-06-11, 05-00-00"
BKH,57.89,56.81,512457,"2020-06-12, 05-00-00"
BKH,55.37,57.43,339440,"2020-06-15, 05-00-00"
BKH,59.41,58.22,329718,"2020-06-16, 05-00-00"
BKH,58.61,56.65,255376,"2020-06-17, 05-00-00"
BKH,55.79,56.55,313966,"2020-06-18, 05-00-00"
BKH,56.87,54.39,925605,"2020-06-19, 05-00-00"
BKH,54.03,55.75,422504,"2020-06-22, 05-00-00"
BKH,56.61,55.35,372884,"2020-06-23, 05-00-00"
BKH,54.65,54.16,427229,"2020-06-24, 05-00-00"
BKH,53.89,53.69,409337,"2020-06-25, 05-00-00"
BKH,53.38,53.03,633999,"2020-06-26, 05-00-00"
BKH,53.55,55.8,414787,"2020-06-29, 05-00-00"
BKH,55.68,56.66,537285,"2020-06-30, 05-00-00"
BKH,56.5,57.81,493829,"2020-07-01, 05-00-00"
BKH,58.57,58.54,554960,"2020-07-02, 05-00-00"
BKH,59.02,58.66,614649,"2020-07-06, 05-00-00"
BKH,57.75,57.56,431423,"2020-07-07, 05-00-00"
BKH,57.45,57.9,299794,"2020-07-08, 05-00-00"
BKH,57.37,56.72,421190,"2020-07-09, 05-00-00"
BKH,56.96,59.92,694055,"2020-07-10, 05-00-00"
BKH,60.08,60.02,568858,"2020-07-13, 05-00-00"
BKH,60.04,60.4,520975,"2020-07-14, 05-00-00"
BKH,61.5,60.26,356350,"2020-07-15, 05-00-00"
BKH,60.07,59.37,357959,"2020-07-16, 05-00-00"
BKH,59.68,60.8,268898,"2020-07-17, 05-00-00"
BKH,60.46,59.17,286726,"2020-07-20, 05-00-00"
BKH,59.68,60.04,228907,"2020-07-21, 05-00-00"
BKH,59.63,61.44,315108,"2020-07-22, 05-00-00"
BKH,61.09,61.9,350562,"2020-07-23, 05-00-00"
BKH,62.06,60.58,411909,"2020-07-24, 05-00-00"
BKH,60.53,59.41,535595,"2020-07-27, 05-00-00"
BKH,59.1,59.84,517351,"2020-07-28, 05-00-00"
BKH,60.17,60.13,436197,"2020-07-29, 05-00-00"
BKH,59.16,59.44,414457,"2020-07-30, 05-00-00"
BKH,59.04,57.86,2168320,"2020-07-31, 05-00-00"
BKH,58.08,56.99,695429,"2020-08-03, 05-00-00"
BKH,56.26,57.82,671864,"2020-08-04, 05-00-00"
BKH,58.08,56.66,429858,"2020-08-05, 05-00-00"
BKH,56.55,57.22,374470,"2020-08-06, 05-00-00"
BKH,56.85,59.04,505051,"2020-08-07, 05-00-00"
BKH,59.48,59.88,630760,"2020-08-10, 05-00-00"
BKH,60.5,58.77,428943,"2020-08-11, 05-00-00"
BKH,59.49,59.96,252779,"2020-08-12, 05-00-00"
BKH,59.53,58.96,229838,"2020-08-13, 05-00-00"
