symbol,open,close,high,low,volume,date
BNED,4.62,4.72,4.76,4.56,426951,"2019-11-18, 06-00-00"
BNED,4.76,4.72,5.03,4.69,640285,"2019-11-19, 06-00-00"
BNED,4.66,4.44,4.7,4.43,532796,"2019-11-20, 06-00-00"
BNED,4.4,4.39,4.455,4.32,295982,"2019-11-21, 06-00-00"
BNED,4.45,4.4,4.45,4.34,290788,"2019-11-22, 06-00-00"
BNED,4.5,4.91,4.93,4.45,392971,"2019-11-25, 06-00-00"
BNED,4.9,5.0,5.07,4.8874,331883,"2019-11-26, 06-00-00"
BNED,4.99,4.9,5.06,4.82,150189,"2019-11-27, 06-00-00"
BNED,4.95,5.04,5.1,4.91,127082,"2019-11-29, 06-00-00"
BNED,5.06,4.86,5.06,4.85,334263,"2019-12-02, 06-00-00"
BNED,4.84,4.8,4.89,4.675,412878,"2019-12-03, 06-00-00"
BNED,4.03,3.8,4.16,3.6501,1293607,"2019-12-04, 06-00-00"
BNED,3.93,3.88,4.1,3.82,593945,"2019-12-05, 06-00-00"
BNED,3.79,4.07,4.08,3.79,604151,"2019-12-06, 06-00-00"
BNED,4.11,4.34,4.34,4.08,461537,"2019-12-09, 06-00-00"
BNED,4.26,4.37,4.48,4.26,400343,"2019-12-10, 06-00-00"
BNED,4.3,4.37,4.435,4.29,390117,"2019-12-11, 06-00-00"
BNED,4.32,4.47,4.49,4.29,281477,"2019-12-12, 06-00-00"
BNED,4.5,4.24,4.5,4.185,346806,"2019-12-13, 06-00-00"
BNED,4.3,4.35,4.57,4.28,534645,"2019-12-16, 06-00-00"
BNED,4.37,4.65,4.79,4.36,656199,"2019-12-17, 06-00-00"
BNED,4.72,4.61,4.86,4.6,945723,"2019-12-18, 06-00-00"
BNED,4.69,4.4,4.76,4.3915,464924,"2019-12-19, 06-00-00"
BNED,4.42,4.28,4.47,4.28,1289472,"2019-12-20, 06-00-00"
BNED,4.28,4.18,4.3,4.03,375998,"2019-12-23, 06-00-00"
BNED,4.23,4.17,4.285,4.15,95824,"2019-12-24, 06-00-00"
BNED,4.17,4.19,4.28,4.12,169268,"2019-12-26, 06-00-00"
BNED,4.15,4.17,4.25,4.124,177851,"2019-12-27, 06-00-00"
BNED,4.19,4.2,4.31,4.07,292567,"2019-12-30, 06-00-00"
BNED,4.17,4.27,4.32,4.15,372074,"2019-12-31, 06-00-00"
BNED,4.32,4.05,4.35,4.03,240681,"2020-01-02, 06-00-00"
BNED,4.06,3.89,4.1,3.82,425724,"2020-01-03, 06-00-00"
BNED,3.9,4.35,4.51,3.87,499857,"2020-01-06, 06-00-00"
BNED,4.32,4.12,4.32,4.09,280191,"2020-01-07, 06-00-00"
BNED,3.98,3.9,4.16,3.89,387658,"2020-01-08, 06-00-00"
BNED,3.9,3.83,3.94,3.815,236835,"2020-01-09, 06-00-00"
BNED,3.83,3.72,3.84,3.69,226599,"2020-01-10, 06-00-00"
BNED,3.73,3.72,3.84,3.62,249304,"2020-01-13, 06-00-00"
BNED,3.7,3.76,3.85,3.66,228719,"2020-01-14, 06-00-00"
BNED,3.76,3.73,3.88,3.68,253553,"2020-01-15, 06-00-00"
BNED,3.76,3.91,4.035,3.76,462081,"2020-01-16, 06-00-00"
BNED,4.01,3.92,4.03,3.86,224475,"2020-01-17, 06-00-00"
BNED,3.96,3.86,3.96,3.82,213696,"2020-01-21, 06-00-00"
BNED,3.84,3.78,4.01,3.78,348904,"2020-01-22, 06-00-00"
BNED,3.79,3.85,3.91,3.6,368690,"2020-01-23, 06-00-00"
BNED,3.86,3.69,3.86,3.65,315451,"2020-01-24, 06-00-00"
BNED,3.61,3.58,3.68,3.5,404038,"2020-01-27, 06-00-00"
BNED,3.61,3.58,3.67,3.56,136623,"2020-01-28, 06-00-00"
BNED,3.58,3.28,3.5924,3.28,441229,"2020-01-29, 06-00-00"
BNED,3.26,3.39,3.4275,3.07,490232,"2020-01-30, 06-00-00"
BNED,3.39,3.44,3.59,3.36,421033,"2020-01-31, 06-00-00"
BNED,3.44,3.35,3.49,3.33,271312,"2020-02-03, 06-00-00"
BNED,3.42,3.29,3.45,3.26,224528,"2020-02-04, 06-00-00"
BNED,3.31,3.43,3.45,3.28,251463,"2020-02-05, 06-00-00"
BNED,3.43,3.59,3.97,3.39,560273,"2020-02-06, 06-00-00"
BNED,3.58,3.39,3.58,3.3,267093,"2020-02-07, 06-00-00"
BNED,3.43,3.73,4.0,3.36,947326,"2020-02-10, 06-00-00"
BNED,3.79,3.94,4.05,3.68,629452,"2020-02-11, 06-00-00"
BNED,3.95,3.63,3.99,3.58,568970,"2020-02-12, 06-00-00"
BNED,3.64,3.71,3.73,3.53,256878,"2020-02-13, 06-00-00"
BNED,3.72,3.79,3.79,3.686,224929,"2020-02-14, 06-00-00"
BNED,3.76,3.75,3.785,3.56,354532,"2020-02-18, 06-00-00"
BNED,3.75,3.77,3.82,3.66,176955,"2020-02-19, 06-00-00"
BNED,3.75,3.85,3.88,3.72,180063,"2020-02-20, 06-00-00"
BNED,3.85,3.68,3.85,3.6,401573,"2020-02-21, 06-00-00"
BNED,3.56,3.76,3.82,3.51,571827,"2020-02-24, 06-00-00"
BNED,3.75,3.74,3.83,3.7199,506906,"2020-02-25, 06-00-00"
BNED,3.75,3.5,3.79,3.46,425891,"2020-02-26, 06-00-00"
BNED,3.38,3.29,3.53,3.22,401576,"2020-02-27, 06-00-00"
BNED,3.24,3.31,4.0,3.21,990391,"2020-02-28, 06-00-00"
BNED,3.31,3.39,3.39,3.05,775657,"2020-03-02, 06-00-00"
BNED,3.05,3.15,3.39,3.05,484558,"2020-03-03, 06-00-00"
BNED,3.16,3.67,3.68,3.1552,421054,"2020-03-04, 06-00-00"
BNED,3.53,3.67,3.81,3.52,398069,"2020-03-05, 06-00-00"
BNED,3.53,3.36,3.64,3.29,433958,"2020-03-06, 06-00-00"
BNED,3.23,3.01,3.24,3.0,350629,"2020-03-09, 05-00-00"
BNED,3.11,3.15,3.2093,3.07,449939,"2020-03-10, 05-00-00"
BNED,3.08,2.76,3.08,2.74,451643,"2020-03-11, 05-00-00"
BNED,2.6,2.51,2.66,2.5,346074,"2020-03-12, 05-00-00"
BNED,2.5,2.3,2.59,2.21,432281,"2020-03-13, 05-00-00"
BNED,2.16,1.62,2.2,1.595,642663,"2020-03-16, 05-00-00"
BNED,1.73,1.79,1.825,1.5,612799,"2020-03-17, 05-00-00"
BNED,1.7,1.52,1.79,1.5,400937,"2020-03-18, 05-00-00"
BNED,1.52,1.55,1.61,1.49,497525,"2020-03-19, 05-00-00"
BNED,1.56,1.39,1.654,1.38,1741880,"2020-03-20, 05-00-00"
BNED,1.43,1.55,1.59,1.365,363642,"2020-03-23, 05-00-00"
BNED,1.7,1.62,1.7499,1.59,358841,"2020-03-24, 05-00-00"
BNED,1.64,1.53,1.7,1.51,488824,"2020-03-25, 05-00-00"
BNED,1.61,1.73,1.73,1.53,441373,"2020-03-26, 05-00-00"
BNED,1.7,1.53,1.7,1.52,213806,"2020-03-27, 05-00-00"
BNED,1.56,1.38,1.5814,1.38,318762,"2020-03-30, 05-00-00"
BNED,1.46,1.36,1.55,1.34,454203,"2020-03-31, 05-00-00"
