symbol,open,close,volume,date
BX,52.5,52.36,3381420,"2019-11-18, 06-00-00"
BX,52.39,51.97,3897149,"2019-11-19, 06-00-00"
BX,51.79,51.62,3959643,"2019-11-20, 06-00-00"
BX,51.56,51.66,3087483,"2019-11-21, 06-00-00"
BX,51.7,51.26,4101526,"2019-11-22, 06-00-00"
BX,51.3,52.47,4636728,"2019-11-25, 06-00-00"
BX,53.0,53.36,31376524,"2019-11-26, 06-00-00"
BX,53.35,54.24,5285816,"2019-11-27, 06-00-00"
BX,54.05,54.22,1951533,"2019-11-29, 06-00-00"
BX,54.41,52.9,5672435,"2019-12-02, 06-00-00"
BX,52.35,53.0,4173699,"2019-12-03, 06-00-00"
BX,53.1,53.1,2701812,"2019-12-04, 06-00-00"
BX,53.46,53.52,3924790,"2019-12-05, 06-00-00"
BX,54.0,53.92,2834905,"2019-12-06, 06-00-00"
BX,54.23,54.14,4031584,"2019-12-09, 06-00-00"
BX,54.24,54.41,3971149,"2019-12-10, 06-00-00"
BX,54.5,54.92,2454934,"2019-12-11, 06-00-00"
BX,54.97,54.17,3567210,"2019-12-12, 06-00-00"
BX,54.0,53.63,2680251,"2019-12-13, 06-00-00"
BX,53.95,54.53,3572462,"2019-12-16, 06-00-00"
BX,54.72,54.58,3521469,"2019-12-17, 06-00-00"
BX,54.49,54.62,3390680,"2019-12-18, 06-00-00"
BX,54.6,55.75,4067217,"2019-12-19, 06-00-00"
BX,55.66,55.8,3898517,"2019-12-20, 06-00-00"
BX,55.88,55.29,2387694,"2019-12-23, 06-00-00"
BX,55.25,55.4,1238129,"2019-12-24, 06-00-00"
BX,55.46,56.3,2150755,"2019-12-26, 06-00-00"
BX,56.4,56.14,1731669,"2019-12-27, 06-00-00"
BX,56.17,56.0,1923724,"2019-12-30, 06-00-00"
BX,56.0,55.94,1641926,"2019-12-31, 06-00-00"
BX,56.2,55.8,3372651,"2020-01-02, 06-00-00"
BX,55.23,56.0,2411111,"2020-01-03, 06-00-00"
BX,55.21,55.9,2504172,"2020-01-06, 06-00-00"
BX,55.93,55.9,2680925,"2020-01-07, 06-00-00"
BX,55.9,56.74,2915243,"2020-01-08, 06-00-00"
BX,57.15,57.85,4386298,"2020-01-09, 06-00-00"
BX,58.02,57.72,4975988,"2020-01-10, 06-00-00"
BX,57.88,58.43,3273903,"2020-01-13, 06-00-00"
BX,58.56,58.11,2611571,"2020-01-14, 06-00-00"
BX,57.67,58.23,3557825,"2020-01-15, 06-00-00"
BX,58.71,60.15,5922613,"2020-01-16, 06-00-00"
BX,60.77,60.76,4276631,"2020-01-17, 06-00-00"
BX,60.5,61.17,4923673,"2020-01-21, 06-00-00"
BX,61.38,62.87,4677967,"2020-01-22, 06-00-00"
BX,62.87,63.73,4800720,"2020-01-23, 06-00-00"
BX,64.1,62.21,7476533,"2020-01-24, 06-00-00"
BX,59.84,61.19,3726997,"2020-01-27, 06-00-00"
BX,61.38,61.62,3725941,"2020-01-28, 06-00-00"
BX,62.16,62.65,4280808,"2020-01-29, 06-00-00"
BX,62.48,61.11,8556136,"2020-01-30, 06-00-00"
BX,61.0,61.07,6128602,"2020-01-31, 06-00-00"
BX,61.6,60.52,3201501,"2020-02-03, 06-00-00"
BX,61.33,63.27,4175591,"2020-02-04, 06-00-00"
BX,63.84,63.73,3266457,"2020-02-05, 06-00-00"
BX,63.76,64.21,2877317,"2020-02-06, 06-00-00"
BX,63.1,62.76,4359794,"2020-02-07, 06-00-00"
BX,62.52,64.11,3379774,"2020-02-10, 06-00-00"
BX,64.47,64.41,3082830,"2020-02-11, 06-00-00"
BX,64.08,62.85,4537871,"2020-02-12, 06-00-00"
BX,62.8,62.94,3845908,"2020-02-13, 06-00-00"
BX,63.07,62.95,2821863,"2020-02-14, 06-00-00"
BX,62.91,61.97,4544550,"2020-02-18, 06-00-00"
BX,62.41,62.76,3394559,"2020-02-19, 06-00-00"
BX,62.75,62.45,3363179,"2020-02-20, 06-00-00"
BX,62.01,61.25,4198484,"2020-02-21, 06-00-00"
BX,58.37,58.56,7371954,"2020-02-24, 06-00-00"
BX,59.09,56.47,6361867,"2020-02-25, 06-00-00"
BX,56.02,56.0,5733128,"2020-02-26, 06-00-00"
BX,54.2,53.29,10451415,"2020-02-27, 06-00-00"
BX,49.72,53.84,12955926,"2020-02-28, 06-00-00"
BX,54.5,56.03,8285158,"2020-03-02, 06-00-00"
BX,56.18,56.09,6414793,"2020-03-03, 06-00-00"
BX,57.42,58.1,4747503,"2020-03-04, 06-00-00"
BX,57.34,57.79,5009509,"2020-03-05, 06-00-00"
BX,55.13,54.06,10219721,"2020-03-06, 06-00-00"
BX,47.54,46.98,11938134,"2020-03-09, 05-00-00"
BX,49.86,50.64,7672731,"2020-03-10, 05-00-00"
BX,48.54,47.35,7452250,"2020-03-11, 05-00-00"
BX,40.13,40.06,17469242,"2020-03-12, 05-00-00"
BX,43.94,46.72,11798039,"2020-03-13, 05-00-00"
BX,38.0,40.53,14338636,"2020-03-16, 05-00-00"
BX,40.72,41.44,18713644,"2020-03-17, 05-00-00"
BX,37.5,40.76,16652000,"2020-03-18, 05-00-00"
BX,38.82,41.99,10468968,"2020-03-19, 05-00-00"
BX,42.06,37.67,10999062,"2020-03-20, 05-00-00"
BX,36.07,36.04,12461552,"2020-03-23, 05-00-00"
BX,39.0,39.92,10436176,"2020-03-24, 05-00-00"
BX,40.53,42.82,12176989,"2020-03-25, 05-00-00"
BX,43.95,48.0,12233713,"2020-03-26, 05-00-00"
BX,45.47,46.09,7467833,"2020-03-27, 05-00-00"
BX,46.06,47.28,5128834,"2020-03-30, 05-00-00"
BX,46.9,45.57,7005645,"2020-03-31, 05-00-00"
BX,42.54,40.8,9616813,"2020-04-01, 05-00-00"
BX,40.41,41.19,7443294,"2020-04-02, 05-00-00"
BX,41.25,41.74,7238589,"2020-04-03, 05-00-00"
BX,43.69,46.57,9093440,"2020-04-06, 05-00-00"
BX,50.0,45.63,8906466,"2020-04-07, 05-00-00"
BX,46.49,46.97,5547397,"2020-04-08, 05-00-00"
BX,49.01,49.17,9419929,"2020-04-09, 05-00-00"
BX,49.15,47.58,6844051,"2020-04-13, 05-00-00"
BX,49.12,47.96,7166507,"2020-04-14, 05-00-00"
BX,46.45,45.5,8482329,"2020-04-15, 05-00-00"
BX,46.19,47.96,5456633,"2020-04-16, 05-00-00"
BX,49.45,50.01,8384420,"2020-04-17, 05-00-00"
BX,48.58,48.18,5052456,"2020-04-20, 05-00-00"
BX,45.84,45.5,6509044,"2020-04-21, 05-00-00"
BX,46.67,46.33,3355843,"2020-04-22, 05-00-00"
BX,47.22,48.43,6846947,"2020-04-23, 05-00-00"
BX,49.46,48.43,4757921,"2020-04-24, 05-00-00"
BX,48.92,51.39,5761758,"2020-04-27, 05-00-00"
BX,52.5,51.4,4277784,"2020-04-28, 05-00-00"
BX,52.53,54.12,6621049,"2020-04-29, 05-00-00"
BX,53.18,52.24,4710705,"2020-04-30, 05-00-00"
BX,50.3,50.42,3921309,"2020-05-01, 05-00-00"
BX,48.8,49.45,4106283,"2020-05-04, 05-00-00"
BX,50.25,50.66,3753010,"2020-05-05, 05-00-00"
BX,51.0,51.19,7279817,"2020-05-06, 05-00-00"
BX,52.1,52.79,4845064,"2020-05-07, 05-00-00"
BX,53.12,52.87,3788190,"2020-05-08, 05-00-00"
BX,52.5,53.16,5513262,"2020-05-11, 05-00-00"
BX,53.5,52.47,5022033,"2020-05-12, 05-00-00"
BX,52.15,50.12,5878188,"2020-05-13, 05-00-00"
BX,49.06,50.6,5316418,"2020-05-14, 05-00-00"
BX,50.15,51.07,3422158,"2020-05-15, 05-00-00"
BX,53.0,53.57,4491271,"2020-05-18, 05-00-00"
BX,53.4,52.86,3689962,"2020-05-19, 05-00-00"
BX,54.0,54.26,3487404,"2020-05-20, 05-00-00"
BX,53.97,53.61,3417387,"2020-05-21, 05-00-00"
BX,53.6,53.95,3064261,"2020-05-22, 05-00-00"
BX,55.5,56.21,4745302,"2020-05-26, 05-00-00"
BX,57.66,56.46,4929281,"2020-05-27, 05-00-00"
BX,56.99,56.66,3969219,"2020-05-28, 05-00-00"
BX,56.43,56.8,3728132,"2020-05-29, 05-00-00"
BX,56.65,57.21,2416490,"2020-06-01, 05-00-00"
BX,57.57,57.84,2767533,"2020-06-02, 05-00-00"
BX,58.5,59.2,4025397,"2020-06-03, 05-00-00"
BX,58.71,58.49,3748208,"2020-06-04, 05-00-00"
BX,59.9,58.95,3989068,"2020-06-05, 05-00-00"
BX,59.29,59.45,3683233,"2020-06-08, 05-00-00"
BX,58.12,58.35,3013873,"2020-06-09, 05-00-00"
BX,58.6,58.32,2683320,"2020-06-10, 05-00-00"
BX,56.0,55.0,4566084,"2020-06-11, 05-00-00"
BX,56.66,55.73,2797333,"2020-06-12, 05-00-00"
BX,54.12,56.65,2856482,"2020-06-15, 05-00-00"
BX,58.45,57.5,3014336,"2020-06-16, 05-00-00"
BX,58.0,57.09,2275426,"2020-06-17, 05-00-00"
BX,56.69,57.65,2784230,"2020-06-18, 05-00-00"
BX,58.5,59.0,5635549,"2020-06-19, 05-00-00"
BX,57.85,56.81,4276116,"2020-06-22, 05-00-00"
BX,57.65,57.07,3045090,"2020-06-23, 05-00-00"
BX,56.52,55.19,3917401,"2020-06-24, 05-00-00"
BX,54.95,57.23,3541763,"2020-06-25, 05-00-00"
BX,56.67,54.35,3510014,"2020-06-26, 05-00-00"
BX,54.58,55.81,2659251,"2020-06-29, 05-00-00"
BX,55.87,56.66,2501566,"2020-06-30, 05-00-00"
BX,56.78,56.14,1781607,"2020-07-01, 05-00-00"
BX,57.03,55.39,2647753,"2020-07-02, 05-00-00"
BX,56.23,55.36,3271587,"2020-07-06, 05-00-00"
BX,55.0,53.6,3720507,"2020-07-07, 05-00-00"
BX,53.86,54.47,2714932,"2020-07-08, 05-00-00"
BX,54.22,53.37,3417082,"2020-07-09, 05-00-00"
BX,53.59,53.73,1998074,"2020-07-10, 05-00-00"
BX,54.03,53.52,3278749,"2020-07-13, 05-00-00"
BX,53.35,54.53,2914238,"2020-07-14, 05-00-00"
BX,55.69,56.01,2422556,"2020-07-15, 05-00-00"
BX,55.54,55.4,2131648,"2020-07-16, 05-00-00"
BX,55.74,55.97,1784218,"2020-07-17, 05-00-00"
BX,55.84,56.14,2449129,"2020-07-20, 05-00-00"
BX,56.28,57.62,3098690,"2020-07-21, 05-00-00"
BX,57.21,58.0,2593398,"2020-07-22, 05-00-00"
BX,58.04,56.67,4274897,"2020-07-23, 05-00-00"
BX,56.34,55.7,4064047,"2020-07-24, 05-00-00"
BX,55.43,55.25,2393078,"2020-07-27, 05-00-00"
