symbol,open,close,high,low,volume,date
CCU,18.88,18.37,18.88,18.21,439036,"2019-11-18, 06-00-00"
CCU,18.42,18.62,18.65,18.2,430313,"2019-11-19, 06-00-00"
CCU,18.46,18.74,18.75,18.36,375992,"2019-11-20, 06-00-00"
CCU,18.64,18.49,18.76,18.24,381930,"2019-11-21, 06-00-00"
CCU,18.58,18.36,18.58,18.205,422843,"2019-11-22, 06-00-00"
CCU,18.3,18.6,18.615,18.21,515608,"2019-11-25, 06-00-00"
CCU,18.61,18.35,18.6157,18.295,423479,"2019-11-26, 06-00-00"
CCU,18.24,18.56,18.58,18.135,747701,"2019-11-27, 06-00-00"
CCU,18.53,18.51,18.65,18.27,334985,"2019-11-29, 06-00-00"
CCU,18.6,18.51,18.72,18.46,614381,"2019-12-02, 06-00-00"
CCU,18.37,17.98,18.58,17.81,598786,"2019-12-03, 06-00-00"
CCU,18.0765,18.35,18.4,17.94,376410,"2019-12-04, 06-00-00"
CCU,18.32,18.75,18.75,18.32,457827,"2019-12-05, 06-00-00"
CCU,18.8,18.99,19.05,18.8,236214,"2019-12-06, 06-00-00"
CCU,18.99,18.99,19.19,18.95,215175,"2019-12-09, 06-00-00"
CCU,18.92,18.5,19.11,18.5,375405,"2019-12-10, 06-00-00"
CCU,18.6,18.84,19.16,18.6,176857,"2019-12-11, 06-00-00"
CCU,18.87,18.88,19.04,18.77,134802,"2019-12-12, 06-00-00"
CCU,18.95,19.25,19.425,18.95,366358,"2019-12-13, 06-00-00"
CCU,19.36,19.42,19.61,19.36,240435,"2019-12-16, 06-00-00"
CCU,19.56,19.58,19.79,19.48,482774,"2019-12-17, 06-00-00"
CCU,19.44,19.45,19.61,19.07,379800,"2019-12-18, 06-00-00"
CCU,19.47,19.78,19.84,19.365,248824,"2019-12-19, 06-00-00"
CCU,19.75,19.45,19.75,19.31,395812,"2019-12-20, 06-00-00"
CCU,19.37,19.51,19.61,19.24,229064,"2019-12-23, 06-00-00"
CCU,19.5,19.23,19.52,19.21,72529,"2019-12-24, 06-00-00"
CCU,19.22,19.46,19.49,19.22,135278,"2019-12-26, 06-00-00"
CCU,19.47,19.36,19.59,19.25,116567,"2019-12-27, 06-00-00"
CCU,19.31,19.16,19.48,19.07,137617,"2019-12-30, 06-00-00"
CCU,19.17,18.97,19.17,18.95,105350,"2019-12-31, 06-00-00"
CCU,19.05,19.41,19.46,18.91,251021,"2020-01-02, 06-00-00"
CCU,19.34,19.36,19.5,19.215,196300,"2020-01-03, 06-00-00"
CCU,19.34,19.0,19.43,18.89,181395,"2020-01-06, 06-00-00"
CCU,19.0,18.96,19.16,18.9,227061,"2020-01-07, 06-00-00"
CCU,18.97,19.35,19.36,18.81,241251,"2020-01-08, 06-00-00"
CCU,19.36,19.39,19.5,19.01,226668,"2020-01-09, 06-00-00"
CCU,19.41,20.06,20.22,19.41,212233,"2020-01-10, 06-00-00"
CCU,20.06,19.85,20.2,19.78,285503,"2020-01-13, 06-00-00"
CCU,19.87,19.48,19.95,19.31,371562,"2020-01-14, 06-00-00"
CCU,19.5,19.22,19.5,19.02,582067,"2020-01-15, 06-00-00"
CCU,19.24,19.22,19.46,19.09,148250,"2020-01-16, 06-00-00"
CCU,19.26,19.34,19.38,19.18,76658,"2020-01-17, 06-00-00"
