symbol,open,close,high,low,volume,date
DEO,160.76,160.53,161.31,160.3,203113,"2019-11-18, 06-00-00"
DEO,161.28,161.61,161.61,161.081,222495,"2019-11-19, 06-00-00"
DEO,161.48,161.0,161.68,160.82,245954,"2019-11-20, 06-00-00"
DEO,160.54,160.08,160.68,159.51,222577,"2019-11-21, 06-00-00"
DEO,160.57,160.03,160.57,159.75,172310,"2019-11-22, 06-00-00"
DEO,162.98,162.51,163.0,162.02,439594,"2019-11-25, 06-00-00"
DEO,163.93,163.78,164.49,163.325,434655,"2019-11-26, 06-00-00"
DEO,164.15,164.07,164.46,163.55,338524,"2019-11-27, 06-00-00"
DEO,163.81,163.44,164.22,163.26,169171,"2019-11-29, 06-00-00"
DEO,162.93,162.77,163.08,161.39,322398,"2019-12-02, 06-00-00"
DEO,162.4,162.21,162.71,161.67,293395,"2019-12-03, 06-00-00"
DEO,161.39,161.77,162.12,161.12,318762,"2019-12-04, 06-00-00"
DEO,161.37,161.34,161.495,160.85,310900,"2019-12-05, 06-00-00"
DEO,162.51,162.05,162.86,161.65,269719,"2019-12-06, 06-00-00"
DEO,162.24,161.79,162.56,161.71,203911,"2019-12-09, 06-00-00"
DEO,161.94,161.5,162.05,161.45,206979,"2019-12-10, 06-00-00"
DEO,161.3,162.18,162.6299,161.29,194507,"2019-12-11, 06-00-00"
DEO,161.41,160.7,161.9574,160.08,322062,"2019-12-12, 06-00-00"
DEO,162.72,162.63,163.45,162.14,494271,"2019-12-13, 06-00-00"
DEO,166.94,165.91,167.21,165.575,607215,"2019-12-16, 06-00-00"
DEO,164.64,164.93,165.76,164.25,449792,"2019-12-17, 06-00-00"
DEO,165.88,165.24,165.89,164.2,332000,"2019-12-18, 06-00-00"
DEO,164.76,164.35,165.03,164.15,248541,"2019-12-19, 06-00-00"
DEO,166.01,166.31,166.83,165.54,534167,"2019-12-20, 06-00-00"
DEO,167.12,166.54,167.17,166.3,271888,"2019-12-23, 06-00-00"
DEO,166.96,166.23,166.96,165.8,107956,"2019-12-24, 06-00-00"
DEO,166.24,166.99,167.03,166.24,131185,"2019-12-26, 06-00-00"
DEO,169.21,169.01,169.25,168.57,242868,"2019-12-27, 06-00-00"
DEO,169.21,168.42,169.25,167.795,203170,"2019-12-30, 06-00-00"
DEO,168.04,168.42,168.73,167.24,240505,"2019-12-31, 06-00-00"
DEO,167.68,166.75,168.315,166.6676,369881,"2020-01-02, 06-00-00"
DEO,165.84,166.41,167.08,165.82,376274,"2020-01-03, 06-00-00"
DEO,167.48,167.72,167.8594,167.15,342787,"2020-01-06, 06-00-00"
DEO,167.33,166.28,167.33,166.0761,366146,"2020-01-07, 06-00-00"
DEO,168.18,168.5,168.99,167.82,366060,"2020-01-08, 06-00-00"
DEO,169.66,169.85,170.43,169.25,318418,"2020-01-09, 06-00-00"
DEO,169.83,169.14,170.1493,168.91,309127,"2020-01-10, 06-00-00"
DEO,167.31,167.93,168.49,167.18,456890,"2020-01-13, 06-00-00"
DEO,168.13,168.15,168.33,167.6,311510,"2020-01-14, 06-00-00"
DEO,169.29,170.3,170.73,169.12,336074,"2020-01-15, 06-00-00"
DEO,170.11,170.21,170.21,169.29,299039,"2020-01-16, 06-00-00"
DEO,170.8,170.7,171.29,170.39,291598,"2020-01-17, 06-00-00"
DEO,169.45,169.79,170.27,169.39,390516,"2020-01-21, 06-00-00"
DEO,169.66,168.98,169.8,168.98,251242,"2020-01-22, 06-00-00"
DEO,169.49,169.06,169.52,168.545,263722,"2020-01-23, 06-00-00"
DEO,170.3,169.19,170.54,168.74,299187,"2020-01-24, 06-00-00"
DEO,166.91,166.4,167.61,166.13,249496,"2020-01-27, 06-00-00"
DEO,162.58,162.95,163.71,162.54,426898,"2020-01-28, 06-00-00"
DEO,161.35,160.83,162.1349,160.5854,352773,"2020-01-29, 06-00-00"
DEO,158.47,158.4,158.81,156.86,719509,"2020-01-30, 06-00-00"
DEO,158.89,157.95,159.23,157.56,531168,"2020-01-31, 06-00-00"
DEO,161.48,160.32,161.59,160.32,434459,"2020-02-03, 06-00-00"
DEO,163.18,162.66,163.71,162.66,540372,"2020-02-04, 06-00-00"
DEO,163.45,163.28,163.92,162.59,480384,"2020-02-05, 06-00-00"
DEO,165.3,165.57,165.95,165.02,412721,"2020-02-06, 06-00-00"
DEO,164.7,163.19,164.82,162.9101,351155,"2020-02-07, 06-00-00"
DEO,162.35,162.25,162.65,161.88,248033,"2020-02-10, 06-00-00"
DEO,162.26,161.69,162.62,161.17,325605,"2020-02-11, 06-00-00"
DEO,161.58,160.36,161.6,160.32,413969,"2020-02-12, 06-00-00"
DEO,159.67,160.46,161.02,159.34,346991,"2020-02-13, 06-00-00"
DEO,160.23,160.86,160.97,159.52,272318,"2020-02-14, 06-00-00"
DEO,162.01,161.77,162.4363,161.72,311621,"2020-02-18, 06-00-00"
DEO,163.19,162.28,163.2,162.12,222309,"2020-02-19, 06-00-00"
DEO,160.88,161.43,161.745,160.58,320164,"2020-02-20, 06-00-00"
DEO,161.47,161.4,161.67,160.52,241105,"2020-02-21, 06-00-00"
DEO,155.07,155.41,156.4,155.07,622885,"2020-02-24, 06-00-00"
DEO,154.84,152.6,155.5,152.31,445336,"2020-02-25, 06-00-00"
DEO,149.94,149.67,151.8765,149.66,597111,"2020-02-26, 06-00-00"
DEO,146.93,144.04,147.28,143.91,850508,"2020-02-27, 06-00-00"
DEO,140.61,141.91,142.86,138.91,1178558,"2020-02-28, 06-00-00"
DEO,142.62,145.64,145.64,142.29,723674,"2020-03-02, 06-00-00"
DEO,145.04,143.92,146.5,143.175,914763,"2020-03-03, 06-00-00"
DEO,145.0,147.79,147.8,144.24,573477,"2020-03-04, 06-00-00"
DEO,143.79,144.01,145.33,143.11,582364,"2020-03-05, 06-00-00"
DEO,141.21,144.04,144.5,140.71,645801,"2020-03-06, 06-00-00"
DEO,135.76,134.65,139.29,134.62,1554116,"2020-03-09, 05-00-00"
DEO,137.77,138.78,139.33,134.06,881241,"2020-03-10, 05-00-00"
DEO,135.65,131.36,136.19,129.41,1192802,"2020-03-11, 05-00-00"
DEO,121.43,125.54,128.49,118.0,1923521,"2020-03-12, 05-00-00"
DEO,125.79,127.72,128.04,120.81,1854826,"2020-03-13, 05-00-00"
DEO,112.92,114.32,118.56,112.0,1186081,"2020-03-16, 05-00-00"
DEO,110.55,113.41,113.61,107.4361,1602432,"2020-03-17, 05-00-00"
DEO,104.75,104.04,106.43,101.43,1868449,"2020-03-18, 05-00-00"
DEO,103.45,111.58,114.93,102.32,1365046,"2020-03-19, 05-00-00"
DEO,113.32,109.56,116.005,109.27,1088321,"2020-03-20, 05-00-00"
DEO,107.56,102.59,108.64,100.5179,1502308,"2020-03-23, 05-00-00"
DEO,109.53,114.39,114.51,109.26,1198904,"2020-03-24, 05-00-00"
DEO,112.8,118.34,120.68,112.42,1007319,"2020-03-25, 05-00-00"
DEO,121.52,130.37,130.82,121.39,1339886,"2020-03-26, 05-00-00"
DEO,121.75,125.71,128.0699,121.52,747247,"2020-03-27, 05-00-00"
DEO,126.92,128.8,129.47,125.64,715410,"2020-03-30, 05-00-00"
DEO,125.93,127.12,129.61,125.57,628208,"2020-03-31, 05-00-00"
DEO,122.25,121.51,123.67,121.17,675106,"2020-04-01, 05-00-00"
DEO,121.78,123.69,123.95,121.35,565437,"2020-04-02, 05-00-00"
DEO,120.62,121.24,122.005,120.12,628307,"2020-04-03, 05-00-00"
DEO,123.75,126.41,127.45,123.53,548710,"2020-04-06, 05-00-00"
DEO,128.77,126.47,129.42,126.39,594889,"2020-04-07, 05-00-00"
DEO,126.11,127.66,128.2,124.7418,724934,"2020-04-08, 05-00-00"
DEO,131.38,133.55,134.73,130.21,744331,"2020-04-09, 05-00-00"
DEO,133.01,130.62,133.15,130.02,433790,"2020-04-13, 05-00-00"
DEO,130.99,133.81,134.11,130.8,606562,"2020-04-14, 05-00-00"
DEO,131.82,132.69,134.31,131.41,1121441,"2020-04-15, 05-00-00"
DEO,133.88,133.21,134.22,131.67,389700,"2020-04-16, 05-00-00"
DEO,138.91,137.33,139.07,136.07,611206,"2020-04-17, 05-00-00"
DEO,134.44,134.05,136.853,134.01,617186,"2020-04-20, 05-00-00"
DEO,129.62,129.21,130.91,127.892,938070,"2020-04-21, 05-00-00"
DEO,131.31,132.36,132.74,130.91,528501,"2020-04-22, 05-00-00"
DEO,132.63,131.98,134.26,131.69,367166,"2020-04-23, 05-00-00"
DEO,132.43,133.06,133.37,131.53,345739,"2020-04-24, 05-00-00"
DEO,135.54,136.45,136.75,134.86,466484,"2020-04-27, 05-00-00"
DEO,138.84,137.69,138.98,137.34,528037,"2020-04-28, 05-00-00"
DEO,138.04,137.74,139.19,137.6,403883,"2020-04-29, 05-00-00"
DEO,139.66,138.65,139.66,137.86,659413,"2020-04-30, 05-00-00"
DEO,138.65,137.13,139.09,136.56,564534,"2020-05-01, 05-00-00"
DEO,136.11,137.4,137.4,135.51,442221,"2020-05-04, 05-00-00"
DEO,136.0,134.78,136.9355,134.49,443097,"2020-05-05, 05-00-00"
DEO,136.24,136.78,137.4045,135.73,546365,"2020-05-06, 05-00-00"
DEO,137.28,137.14,138.0,136.89,652255,"2020-05-07, 05-00-00"
DEO,139.31,139.11,139.42,138.0,314546,"2020-05-08, 05-00-00"
DEO,139.29,140.12,141.03,138.87,431354,"2020-05-11, 05-00-00"
DEO,142.93,140.3,142.99,140.15,438186,"2020-05-12, 05-00-00"
DEO,139.92,137.7,139.93,136.69,684721,"2020-05-13, 05-00-00"
DEO,131.94,134.6,134.74,131.86,882203,"2020-05-14, 05-00-00"
DEO,133.86,134.62,135.53,133.85,472500,"2020-05-15, 05-00-00"
DEO,137.89,140.1,140.37,137.77,389165,"2020-05-18, 05-00-00"
DEO,139.2,139.2,140.71,138.79,602093,"2020-05-19, 05-00-00"
DEO,140.0,139.85,140.62,139.0179,485993,"2020-05-20, 05-00-00"
DEO,140.2,139.35,140.74,138.66,316764,"2020-05-21, 05-00-00"
DEO,137.77,138.67,139.04,137.35,384429,"2020-05-22, 05-00-00"
DEO,140.9,141.33,142.27,140.25,333652,"2020-05-26, 05-00-00"
DEO,142.94,144.09,144.1,142.0955,346790,"2020-05-27, 05-00-00"
DEO,145.85,144.75,147.23,144.54,564535,"2020-05-28, 05-00-00"
DEO,141.37,140.61,141.6,138.27,1527404,"2020-05-29, 05-00-00"
DEO,141.81,143.04,143.6,141.71,418366,"2020-06-01, 05-00-00"
DEO,142.9,142.34,143.3699,141.76,333356,"2020-06-02, 05-00-00"
DEO,144.91,145.88,146.87,144.63,456618,"2020-06-03, 05-00-00"
DEO,146.24,145.81,147.04,145.18,493757,"2020-06-04, 05-00-00"
DEO,146.78,147.51,149.07,146.62,460437,"2020-06-05, 05-00-00"
DEO,147.13,147.82,148.21,146.7,395843,"2020-06-08, 05-00-00"
DEO,144.23,145.52,146.29,144.18,383075,"2020-06-09, 05-00-00"
DEO,147.39,146.49,147.785,146.3,343436,"2020-06-10, 05-00-00"
DEO,142.85,138.09,142.89,137.79,441421,"2020-06-11, 05-00-00"
DEO,141.32,141.04,142.27,138.81,489861,"2020-06-12, 05-00-00"
DEO,137.87,140.13,140.71,137.44,371474,"2020-06-15, 05-00-00"
DEO,145.85,143.66,145.9,142.5,380521,"2020-06-16, 05-00-00"
DEO,143.98,142.62,144.02,142.27,365820,"2020-06-17, 05-00-00"
DEO,139.4,140.8,141.1,139.4,434629,"2020-06-18, 05-00-00"
DEO,144.8,142.39,145.5,142.218,440747,"2020-06-19, 05-00-00"
DEO,140.38,140.75,140.77,139.93,382013,"2020-06-22, 05-00-00"
DEO,140.62,140.5,141.76,140.48,347413,"2020-06-23, 05-00-00"
DEO,137.45,135.59,137.64,135.13,456075,"2020-06-24, 05-00-00"
DEO,135.1,135.59,135.605,134.22,461991,"2020-06-25, 05-00-00"
DEO,136.09,133.46,136.14,133.18,350404,"2020-06-26, 05-00-00"
DEO,133.6,134.05,134.59,133.05,386639,"2020-06-29, 05-00-00"
DEO,132.83,134.39,134.74,132.83,383222,"2020-06-30, 05-00-00"
DEO,134.59,135.93,136.605,134.46,387124,"2020-07-01, 05-00-00"
DEO,138.0,137.2,138.5,137.18,323348,"2020-07-02, 05-00-00"
DEO,137.31,138.72,138.96,137.31,265800,"2020-07-06, 05-00-00"
DEO,136.67,137.49,138.63,136.6393,316462,"2020-07-07, 05-00-00"
DEO,140.25,139.58,140.31,138.7,477021,"2020-07-08, 05-00-00"
DEO,138.59,137.33,138.9,136.4,338018,"2020-07-09, 05-00-00"
DEO,139.22,141.63,141.63,138.98,364531,"2020-07-10, 05-00-00"
DEO,141.48,138.9,142.02,138.53,348228,"2020-07-13, 05-00-00"
DEO,138.08,140.66,140.75,137.91,351220,"2020-07-14, 05-00-00"
DEO,143.74,143.27,145.19,142.9645,367392,"2020-07-15, 05-00-00"
DEO,142.34,141.92,142.88,141.62,241514,"2020-07-16, 05-00-00"
DEO,142.0,142.5,142.88,141.1,203420,"2020-07-17, 05-00-00"
DEO,142.75,141.99,142.91,141.63,273471,"2020-07-20, 05-00-00"
DEO,143.88,143.33,144.62,143.06,320139,"2020-07-21, 05-00-00"
DEO,142.04,142.34,142.66,141.7214,205625,"2020-07-22, 05-00-00"
DEO,146.0,144.87,146.35,144.5474,401943,"2020-07-23, 05-00-00"
DEO,143.38,143.55,144.14,142.5,259711,"2020-07-24, 05-00-00"
DEO,144.25,145.11,145.24,143.58,323252,"2020-07-27, 05-00-00"
DEO,146.12,146.47,147.92,145.91,297710,"2020-07-28, 05-00-00"
DEO,150.0,149.32,150.3,148.5818,468923,"2020-07-29, 05-00-00"
DEO,149.46,149.93,150.4,147.84,435677,"2020-07-30, 05-00-00"
DEO,149.54,147.24,149.66,145.5,425236,"2020-07-31, 05-00-00"
DEO,150.57,148.0,150.64,147.895,622899,"2020-08-03, 05-00-00"
DEO,141.81,141.1,143.14,140.5407,824620,"2020-08-04, 05-00-00"
DEO,140.39,136.85,140.55,136.66,797562,"2020-08-05, 05-00-00"
DEO,135.99,135.87,136.59,135.19,529884,"2020-08-06, 05-00-00"
DEO,133.91,135.31,135.33,133.59,427813,"2020-08-07, 05-00-00"
DEO,133.9,135.14,135.81,133.89,515991,"2020-08-10, 05-00-00"
DEO,136.31,135.75,136.57,134.63,706106,"2020-08-11, 05-00-00"
DEO,138.07,139.37,140.37,137.98,391552,"2020-08-12, 05-00-00"
DEO,138.7,139.47,139.85,138.23,468977,"2020-08-13, 05-00-00"
DEO,137.4,136.29,137.8688,135.86,358007,"2020-08-14, 05-00-00"
DEO,138.12,137.85,139.06,137.57,377196,"2020-08-17, 05-00-00"
