symbol,open,close,high,low,volume,date
DM,9.7,9.7,9.7,9.7,5000,2019-05-03
DM,9.7,9.7,9.7,9.7,17100,2019-05-06
DM,9.75,9.75,9.75,9.75,5010,2019-05-08
DM,9.73,9.73,9.73,9.73,730,2019-05-09
DM,9.75,9.7299,9.75,9.7299,1400,2019-05-10
DM,9.73,9.73,9.73,9.73,25000,2019-05-13
DM,9.7175,9.73,9.73,9.7175,206000,2019-05-14
DM,9.73,9.73,9.73,9.73,1502,2019-05-16
DM,9.73,9.72,9.73,9.72,20300,2019-05-23
DM,9.7,9.7,9.73,9.7,549300,2019-05-29
DM,9.72,9.7,9.72,9.7,2250,2019-05-30
DM,9.61,9.73,9.73,9.61,394800,2019-05-31
DM,9.73,9.7,9.73,9.68,59421,2019-06-03
DM,9.7,9.7,9.7,9.7,6208,2019-06-04
DM,9.71,9.72,9.72,9.71,6311,2019-06-06
DM,9.73,9.73,9.73,9.73,201,2019-06-07
DM,9.72,9.71,9.72,9.71,1108,2019-06-10
DM,9.72,9.72,9.72,9.72,100002,2019-06-11
DM,9.7,9.7,9.71,9.69,696184,2019-06-12
DM,9.75,9.71,9.76,9.69,309907,2019-06-13
DM,9.73,9.7,9.73,9.69,963600,2019-06-14
DM,9.74,9.71,9.75,9.67,175700,2019-06-17
DM,9.69,9.7325,9.75,9.69,29910,2019-06-18
DM,9.75,9.73,9.76,9.73,2210,2019-06-19
DM,9.72,9.72,9.73,9.72,32000,2019-06-20
DM,9.75,9.75,9.75,9.75,202,2019-06-24
DM,9.77,9.73,9.78,9.73,206852,2019-06-25
DM,9.71,9.74,9.74,9.71,257181,2019-06-26
DM,9.68,9.73,9.75,9.68,539657,2019-06-27
DM,9.75,9.78,9.78,9.75,5701,2019-07-02
DM,9.72,9.78,9.78,9.72,2611,2019-07-08
DM,9.75,9.7399,9.75,9.7,2900,2019-07-10
DM,9.75,9.75,9.75,9.75,3200,2019-07-12
DM,9.75,9.74,9.75,9.74,245010,2019-07-15
DM,9.75,9.75,9.75,9.75,50000,2019-07-16
DM,9.75,9.75,9.81,9.75,16581,2019-07-18
DM,9.76,9.76,9.85,9.75,16398,2019-07-19
DM,9.82,9.8,9.82,9.8,11010,2019-07-22
DM,9.81,9.85,9.85,9.76,4675,2019-07-23
DM,9.9,9.8,9.9,9.75,32200,2019-07-24
DM,9.7979,9.77,9.7979,9.77,600450,2019-07-26
DM,9.77,9.77,9.77,9.76,226000,2019-07-29
DM,9.77,9.77,9.77,9.77,100,2019-07-30
DM,9.76,9.8999,9.8999,9.76,100500,2019-07-31
DM,9.89,9.88,9.89,9.84,600,2019-08-01
DM,10.05,9.83,10.05,9.82,14882,2019-08-02
DM,9.78,9.78,9.78,9.78,1305,2019-08-05
DM,9.71,9.77,9.85,9.71,206295,2019-08-06
DM,9.77,9.75,9.77,9.75,225100,2019-08-07
DM,9.81,9.76,9.81,9.76,1900,2019-08-08
DM,9.88,9.76,9.88,9.76,12005,2019-08-09
DM,9.76,9.78,9.78,9.76,92508,2019-08-13
DM,9.76,9.81,9.81,9.75,8332,2019-08-15
DM,9.77,9.77,9.77,9.77,5010,2019-08-16
DM,9.77,9.81,9.81,9.75,20432,2019-08-19
DM,9.85,9.89,9.89,9.85,2427,2019-08-20
DM,9.77,9.8,9.8,9.77,1528,2019-08-21
DM,9.77,9.8,9.8,9.77,636,2019-08-22
DM,9.77,9.84,9.84,9.77,206,2019-08-29
DM,9.77,9.84,9.84,9.77,89910,2019-09-03
DM,9.8,9.84,9.84,9.8,16309,2019-09-04
DM,9.83,9.83,9.83,9.83,1000,2019-09-10
DM,9.83,9.82,9.89,9.82,414466,2019-09-11
DM,9.82,9.82,9.82,9.82,3500,2019-09-13
DM,9.82,9.85,9.85,9.82,50373,2019-09-17
DM,9.86,9.86,9.86,9.86,4837,2019-09-19
DM,9.86,9.86,9.86,9.86,100,2019-09-23
DM,9.83,9.86,9.86,9.83,15218,2019-09-24
DM,9.88,9.88,9.88,9.88,1000,2019-09-25
DM,9.87,9.86,9.87,9.86,5202,2019-09-26
DM,9.87,9.87,9.87,9.87,100,2019-09-30
DM,9.87,9.88,9.88,9.87,36917,2019-10-01
DM,9.88,9.88,9.88,9.88,1201,2019-10-02
DM,9.88,9.88,9.88,9.88,100,2019-10-03
DM,9.88,9.88,9.88,9.88,100,2019-10-04
DM,9.88,9.88,9.88,9.88,504,2019-10-07
DM,9.9,9.9,9.9,9.87,418590,2019-10-09
DM,9.889,9.89,9.89,9.86,401300,2019-10-10
DM,9.89,9.889,9.89,9.889,400,2019-10-11
DM,9.89,9.86,9.89,9.86,536,2019-10-16
DM,9.89,9.89,9.89,9.89,200,2019-10-17
DM,9.9,9.9,9.9,9.87,2700,2019-10-18
DM,9.9,9.9,9.9,9.9,200,2019-10-23
DM,9.86,9.87,9.9,9.86,485355,2019-10-24
DM,9.88,9.86,9.88,9.85,56000,2019-10-25
DM,9.86,9.86,9.86,9.86,100000,2019-10-28
DM,9.88,9.88,9.88,9.88,645,2019-10-30
DM,9.88,9.86,9.9,9.86,100100,2019-10-31
DM,9.9,9.88,9.9,9.88,31163,2019-11-01
DM,9.88,9.88,9.88,9.88,100000,2019-11-04
DM,9.89,9.9,9.9,9.88,173742,2019-11-05
DM,9.9,9.9,9.9,9.89,385500,2019-11-06
DM,9.92,9.89,9.92,9.87,271591,2019-11-07
DM,9.9,9.89,9.91,9.89,832500,2019-11-08
DM,9.89,9.89,9.89,9.89,101804,2019-11-11
DM,9.88,9.88,9.88,9.88,3000,2019-11-12
DM,9.92,9.89,9.92,9.89,100600,2019-11-13
DM,9.89,9.92,9.92,9.89,1536,2019-11-14
DM,9.88,9.9,9.93,9.88,20454,2019-11-18
DM,9.89,9.9,9.9,9.89,650000,2019-11-19
DM,9.89,9.9,9.91,9.89,122902,2019-11-21
DM,9.93,9.9,9.93,9.9,442539,2019-11-22
DM,9.91,9.91,9.91,9.91,1057,2019-11-25
DM,9.92,9.92,9.95,9.92,554229,2019-11-26
DM,9.95,9.92,9.95,9.92,99300,2019-11-27
DM,9.92,9.92,9.92,9.92,100,2019-12-02
DM,9.935,9.935,9.935,9.935,4592,2019-12-03
