symbol,open,close,high,low,volume,date
FIX,50.2,50.51,50.87,49.82,157684,"2019-11-18, 06-00-00"
FIX,50.64,50.4,51.19,50.37,252204,"2019-11-19, 06-00-00"
FIX,50.91,51.09,51.61,50.39,289788,"2019-11-20, 06-00-00"
FIX,51.16,50.05,51.69,49.51,201674,"2019-11-21, 06-00-00"
FIX,50.22,50.4,50.56,49.88,116851,"2019-11-22, 06-00-00"
FIX,50.54,51.33,51.93,50.255,198532,"2019-11-25, 06-00-00"
FIX,51.34,51.0,51.85,50.855,234465,"2019-11-26, 06-00-00"
FIX,51.09,51.22,51.61,50.66,139972,"2019-11-27, 06-00-00"
FIX,50.97,51.1,51.6,50.38,122573,"2019-11-29, 06-00-00"
FIX,51.13,50.36,51.55,50.01,185274,"2019-12-02, 06-00-00"
FIX,49.74,49.51,49.8,49.01,170580,"2019-12-03, 06-00-00"
FIX,49.83,49.32,50.42,49.3,317847,"2019-12-04, 06-00-00"
FIX,49.81,49.35,49.94,49.205,332874,"2019-12-05, 06-00-00"
FIX,49.96,49.65,50.36,49.58,253414,"2019-12-06, 06-00-00"
FIX,49.28,49.57,49.85,49.04,268898,"2019-12-09, 06-00-00"
FIX,49.55,48.89,49.575,48.73,246868,"2019-12-10, 06-00-00"
FIX,48.78,48.77,49.215,48.685,139771,"2019-12-11, 06-00-00"
FIX,49.23,49.83,50.44,48.975,206128,"2019-12-12, 06-00-00"
FIX,49.75,49.63,50.03,49.5,261603,"2019-12-13, 06-00-00"
FIX,50.01,50.06,50.6,50.01,242877,"2019-12-16, 06-00-00"
FIX,49.99,50.64,50.68,49.82,218861,"2019-12-17, 06-00-00"
FIX,50.61,49.88,50.65,49.79,365947,"2019-12-18, 06-00-00"
FIX,49.75,49.98,50.33,49.48,150831,"2019-12-19, 06-00-00"
FIX,50.1,50.29,50.51,49.86,506982,"2019-12-20, 06-00-00"
FIX,50.3,51.08,51.57,50.3,213480,"2019-12-23, 06-00-00"
FIX,51.06,50.95,51.08,50.72,90977,"2019-12-24, 06-00-00"
FIX,50.96,50.99,51.01,50.49,185802,"2019-12-26, 06-00-00"
FIX,51.06,50.13,51.236,50.045,199490,"2019-12-27, 06-00-00"
FIX,50.12,50.07,50.49,49.82,181095,"2019-12-30, 06-00-00"
FIX,49.89,49.85,50.41,49.61,242652,"2019-12-31, 06-00-00"
FIX,50.18,49.22,50.354,48.895,170910,"2020-01-02, 06-00-00"
FIX,48.54,49.18,49.2,48.54,201414,"2020-01-03, 06-00-00"
FIX,48.7,49.4,49.85,48.63,200140,"2020-01-06, 06-00-00"
FIX,49.57,48.91,49.57,48.73,141888,"2020-01-07, 06-00-00"
FIX,48.85,48.72,49.23,48.56,145980,"2020-01-08, 06-00-00"
FIX,48.87,48.37,49.14,48.3,178306,"2020-01-09, 06-00-00"
FIX,48.32,48.21,48.92,48.16,321296,"2020-01-10, 06-00-00"
FIX,48.29,48.65,48.825,47.77,205748,"2020-01-13, 06-00-00"
FIX,48.62,48.81,49.49,48.57,243109,"2020-01-14, 06-00-00"
FIX,48.55,48.79,48.895,48.34,152789,"2020-01-15, 06-00-00"
FIX,49.2,49.71,49.92,49.11,173934,"2020-01-16, 06-00-00"
FIX,49.8,49.46,49.905,49.11,136147,"2020-01-17, 06-00-00"
FIX,49.29,49.62,49.7,49.1,147860,"2020-01-21, 06-00-00"
FIX,49.76,49.97,50.27,49.59,186472,"2020-01-22, 06-00-00"
FIX,49.84,50.25,50.33,49.22,198894,"2020-01-23, 06-00-00"
FIX,50.16,49.41,50.16,49.225,139831,"2020-01-24, 06-00-00"
FIX,48.66,48.76,49.13,48.44,218226,"2020-01-27, 06-00-00"
FIX,48.98,49.0,49.27,48.59,118721,"2020-01-28, 06-00-00"
FIX,49.04,48.05,49.12,47.89,130008,"2020-01-29, 06-00-00"
FIX,47.52,47.91,48.15,47.41,160289,"2020-01-30, 06-00-00"
FIX,47.59,46.4,47.83,46.04,264391,"2020-01-31, 06-00-00"
FIX,46.66,46.97,47.53,46.57,311189,"2020-02-03, 06-00-00"
FIX,47.54,47.24,47.93,47.21,164467,"2020-02-04, 06-00-00"
FIX,47.83,49.16,49.25,47.7498,162925,"2020-02-05, 06-00-00"
FIX,49.16,49.11,49.44,48.68,189140,"2020-02-06, 06-00-00"
FIX,48.86,47.72,48.86,47.67,120047,"2020-02-07, 06-00-00"
FIX,47.65,48.61,48.61,47.4,235192,"2020-02-10, 06-00-00"
FIX,49.1,49.32,50.34,49.08,198772,"2020-02-11, 06-00-00"
FIX,49.72,49.61,49.87,49.125,188341,"2020-02-12, 06-00-00"
FIX,49.29,50.1,50.24,49.14,136434,"2020-02-13, 06-00-00"
FIX,50.1,49.15,50.25,49.02,256675,"2020-02-14, 06-00-00"
FIX,49.03,48.44,49.05,48.28,152982,"2020-02-18, 06-00-00"
FIX,48.64,48.34,48.89,48.19,234877,"2020-02-19, 06-00-00"
FIX,48.07,49.08,49.18,48.02,244420,"2020-02-20, 06-00-00"
FIX,48.85,48.85,49.29,48.21,227209,"2020-02-21, 06-00-00"
FIX,47.3,48.01,48.1,46.8,202920,"2020-02-24, 06-00-00"
FIX,48.07,46.13,48.07,45.595,363111,"2020-02-25, 06-00-00"
FIX,46.3,45.45,46.97,45.04,192447,"2020-02-26, 06-00-00"
FIX,45.64,43.27,46.91,43.23,447500,"2020-02-27, 06-00-00"
FIX,41.92,42.22,43.1,41.55,292318,"2020-02-28, 06-00-00"
FIX,42.18,43.17,43.27,41.49,192662,"2020-03-02, 06-00-00"
FIX,43.12,43.42,44.88,42.51,277741,"2020-03-03, 06-00-00"
FIX,44.29,44.25,44.42,43.32,244188,"2020-03-04, 06-00-00"
FIX,42.82,42.24,43.69,41.74,238220,"2020-03-05, 06-00-00"
FIX,40.65,42.16,42.4,40.65,268223,"2020-03-06, 06-00-00"
FIX,38.87,39.32,40.74,38.35,431105,"2020-03-09, 05-00-00"
FIX,40.72,40.79,41.08,38.34,749875,"2020-03-10, 05-00-00"
FIX,39.5,40.72,41.43,39.27,511918,"2020-03-11, 05-00-00"
FIX,37.57,33.89,38.91,33.86,445458,"2020-03-12, 05-00-00"
FIX,35.64,37.86,37.86,34.43,340082,"2020-03-13, 05-00-00"
FIX,33.0,31.46,34.65,30.87,387414,"2020-03-16, 05-00-00"
FIX,32.02,36.03,36.04,30.1,602085,"2020-03-17, 05-00-00"
FIX,33.59,33.53,35.56,31.97,497113,"2020-03-18, 05-00-00"
FIX,33.11,33.03,36.46,29.76,512414,"2020-03-19, 05-00-00"
FIX,33.17,32.75,34.485,32.25,491951,"2020-03-20, 05-00-00"
FIX,33.12,29.95,33.72,29.43,413436,"2020-03-23, 05-00-00"
FIX,31.5,33.71,34.44,31.5,291118,"2020-03-24, 05-00-00"
FIX,33.46,33.04,36.53,32.68,409859,"2020-03-25, 05-00-00"
FIX,33.82,36.79,37.19,33.415,307651,"2020-03-26, 05-00-00"
FIX,35.34,32.94,35.5,32.4701,326332,"2020-03-27, 05-00-00"
FIX,32.98,35.39,35.73,32.295,383335,"2020-03-30, 05-00-00"
FIX,35.23,36.55,36.55,34.29,430865,"2020-03-31, 05-00-00"
FIX,34.73,34.75,35.96,33.91,338009,"2020-04-01, 05-00-00"
FIX,34.47,34.3,36.55,33.85,348187,"2020-04-02, 05-00-00"
FIX,34.0,31.33,34.3,30.58,384898,"2020-04-03, 05-00-00"
FIX,32.48,32.97,34.63,31.915,326896,"2020-04-06, 05-00-00"
FIX,33.61,33.34,34.49,32.17,425440,"2020-04-07, 05-00-00"
FIX,34.0,34.81,35.24,33.33,319115,"2020-04-08, 05-00-00"
FIX,35.85,37.83,37.97,34.9265,260180,"2020-04-09, 05-00-00"
FIX,37.37,36.68,37.37,36.19,193332,"2020-04-13, 05-00-00"
FIX,37.78,36.96,38.15,36.55,252830,"2020-04-14, 05-00-00"
FIX,35.48,33.04,36.2036,32.82,270642,"2020-04-15, 05-00-00"
FIX,32.85,31.53,33.38,31.28,388602,"2020-04-16, 05-00-00"
FIX,32.91,33.53,34.29,32.31,476878,"2020-04-17, 05-00-00"
FIX,31.59,30.84,31.73,30.61,474299,"2020-04-20, 05-00-00"
FIX,30.01,29.47,30.61,29.13,395261,"2020-04-21, 05-00-00"
FIX,30.19,30.17,30.63,29.61,398132,"2020-04-22, 05-00-00"
FIX,30.26,29.97,31.6595,29.7,452064,"2020-04-23, 05-00-00"
FIX,30.12,31.07,31.3,29.0,347392,"2020-04-24, 05-00-00"
FIX,31.54,33.2,33.335,30.86,470164,"2020-04-27, 05-00-00"
FIX,35.89,35.49,36.6,34.67,829922,"2020-04-28, 05-00-00"
FIX,34.99,35.85,36.55,33.4113,580079,"2020-04-29, 05-00-00"
FIX,34.99,33.3,35.22,33.28,397211,"2020-04-30, 05-00-00"
FIX,32.42,32.6,32.6,31.3895,351963,"2020-05-01, 05-00-00"
FIX,32.43,31.75,32.43,31.23,526170,"2020-05-04, 05-00-00"
FIX,32.66,33.36,34.165,32.525,318959,"2020-05-05, 05-00-00"
FIX,34.02,32.46,34.42,32.31,178633,"2020-05-06, 05-00-00"
FIX,32.85,32.61,33.35,32.52,141417,"2020-05-07, 05-00-00"
FIX,33.35,33.19,33.68,32.94,266702,"2020-05-08, 05-00-00"
FIX,32.8,32.55,33.12,32.0,260325,"2020-05-11, 05-00-00"
FIX,32.55,30.67,32.72,30.65,211395,"2020-05-12, 05-00-00"
FIX,30.32,29.66,30.32,28.74,273706,"2020-05-13, 05-00-00"
FIX,28.83,29.75,29.77,27.54,310307,"2020-05-14, 05-00-00"
FIX,29.61,30.61,30.82,29.17,316254,"2020-05-15, 05-00-00"
FIX,32.08,34.42,34.58,30.945,433232,"2020-05-18, 05-00-00"
FIX,34.01,32.56,34.28,32.54,181971,"2020-05-19, 05-00-00"
FIX,33.42,33.91,33.94,32.97,219571,"2020-05-20, 05-00-00"
FIX,33.97,33.82,34.38,33.7,136912,"2020-05-21, 05-00-00"
FIX,33.95,33.8,34.27,33.49,167154,"2020-05-22, 05-00-00"
FIX,35.54,37.01,37.14,35.38,463691,"2020-05-26, 05-00-00"
FIX,38.02,40.0,40.07,37.63,453528,"2020-05-27, 05-00-00"
FIX,40.49,37.99,40.49,37.83,417627,"2020-05-28, 05-00-00"
FIX,37.17,37.0,37.65,36.75,437264,"2020-05-29, 05-00-00"
FIX,37.29,38.05,38.5,37.29,302022,"2020-06-01, 05-00-00"
FIX,38.77,38.92,39.86,38.42,280123,"2020-06-02, 05-00-00"
FIX,39.99,40.74,41.64,39.96,270035,"2020-06-03, 05-00-00"
FIX,40.3,41.07,41.12,39.85,261477,"2020-06-04, 05-00-00"
FIX,42.93,42.48,43.18,42.115,250086,"2020-06-05, 05-00-00"
FIX,43.2,42.74,43.62,42.44,163625,"2020-06-08, 05-00-00"
FIX,41.53,41.78,42.7,40.0105,172282,"2020-06-09, 05-00-00"
FIX,41.51,40.08,41.51,39.9,164735,"2020-06-10, 05-00-00"
FIX,37.88,36.83,38.5,36.8,277075,"2020-06-11, 05-00-00"
FIX,38.71,37.73,39.13,36.93,309755,"2020-06-12, 05-00-00"
FIX,36.83,39.17,39.6,36.83,201046,"2020-06-15, 05-00-00"
FIX,41.12,40.23,41.22,39.58,159542,"2020-06-16, 05-00-00"
FIX,40.14,39.16,40.428,39.09,123325,"2020-06-17, 05-00-00"
FIX,38.59,38.56,39.25,38.23,210900,"2020-06-18, 05-00-00"
FIX,38.99,38.25,39.1275,37.9322,349889,"2020-06-19, 05-00-00"
FIX,37.84,38.86,38.96,37.25,142590,"2020-06-22, 05-00-00"
FIX,39.51,39.14,39.54,38.7,237655,"2020-06-23, 05-00-00"
FIX,38.33,37.44,38.71,37.25,139456,"2020-06-24, 05-00-00"
FIX,37.11,38.02,38.07,37.05,201065,"2020-06-25, 05-00-00"
FIX,37.49,38.16,38.53,37.33,734885,"2020-06-26, 05-00-00"
FIX,39.05,40.02,40.37,38.2957,316840,"2020-06-29, 05-00-00"
FIX,39.52,40.75,40.78,39.52,282602,"2020-06-30, 05-00-00"
FIX,40.75,39.7,41.02,39.645,202879,"2020-07-01, 05-00-00"
FIX,40.83,40.01,41.18,39.86,180926,"2020-07-02, 05-00-00"
FIX,41.07,40.8,41.1229,40.0,245049,"2020-07-06, 05-00-00"
FIX,40.28,39.39,40.33,39.14,263629,"2020-07-07, 05-00-00"
FIX,39.15,39.08,40.04,38.4,166201,"2020-07-08, 05-00-00"
FIX,38.86,37.75,38.96,37.365,241550,"2020-07-09, 05-00-00"
FIX,37.7,38.88,39.08,37.7,125266,"2020-07-10, 05-00-00"
FIX,39.53,38.98,39.92,38.8,185703,"2020-07-13, 05-00-00"
FIX,39.09,40.56,40.65,38.86,241159,"2020-07-14, 05-00-00"
FIX,41.59,42.44,42.77,41.59,227113,"2020-07-15, 05-00-00"
FIX,42.44,42.01,42.92,41.705,182098,"2020-07-16, 05-00-00"
FIX,42.03,41.89,42.78,41.74,160336,"2020-07-17, 05-00-00"
FIX,41.3,40.77,41.65,40.32,143371,"2020-07-20, 05-00-00"
FIX,41.34,41.56,42.12,41.17,161248,"2020-07-21, 05-00-00"
FIX,41.23,41.89,42.16,41.15,149884,"2020-07-22, 05-00-00"
FIX,41.97,42.02,42.3,41.765,207496,"2020-07-23, 05-00-00"
FIX,42.02,41.08,42.02,41.01,134402,"2020-07-24, 05-00-00"
FIX,40.88,43.01,43.31,40.32,274190,"2020-07-27, 05-00-00"
FIX,47.64,48.0,52.4037,47.08,1023987,"2020-07-28, 05-00-00"
FIX,48.59,48.8,49.41,48.59,583253,"2020-07-29, 05-00-00"
FIX,48.03,48.93,49.264,47.8515,494120,"2020-07-30, 05-00-00"
FIX,48.57,49.71,49.88,47.2,410488,"2020-07-31, 05-00-00"
FIX,50.0,50.8,51.13,49.63,326715,"2020-08-03, 05-00-00"
FIX,50.61,50.72,51.215,50.0312,294137,"2020-08-04, 05-00-00"
FIX,51.35,51.93,52.84,50.24,700442,"2020-08-05, 05-00-00"
FIX,51.96,51.5,52.17,50.91,328415,"2020-08-06, 05-00-00"
FIX,51.51,52.43,52.53,51.15,342536,"2020-08-07, 05-00-00"
FIX,52.8,53.5,54.69,52.51,335326,"2020-08-10, 05-00-00"
FIX,54.31,54.3,55.57,53.855,286998,"2020-08-11, 05-00-00"
FIX,55.03,54.88,55.589,54.54,203603,"2020-08-12, 05-00-00"
FIX,54.24,53.27,55.21,53.26,240059,"2020-08-13, 05-00-00"
FIX,52.75,53.03,53.6732,52.29,163011,"2020-08-14, 05-00-00"
FIX,55.17,55.13,55.35,53.8,349056,"2020-08-17, 05-00-00"
FIX,55.0,53.44,55.01,53.3,311326,"2020-08-18, 05-00-00"
FIX,53.54,53.1,54.02,52.94,253944,"2020-08-19, 05-00-00"
FIX,52.85,52.28,53.7399,52.1,225579,"2020-08-20, 05-00-00"
FIX,51.93,52.34,52.71,51.6,269671,"2020-08-21, 05-00-00"
FIX,52.93,52.15,52.99,51.645,243922,"2020-08-24, 05-00-00"
FIX,52.44,51.55,52.64,51.23,237273,"2020-08-25, 05-00-00"
FIX,51.55,51.32,51.796,51.065,241173,"2020-08-26, 05-00-00"
FIX,51.73,51.11,52.09,50.56,248293,"2020-08-27, 05-00-00"
FIX,51.64,51.2,52.08,50.78,174379,"2020-08-28, 05-00-00"
FIX,51.15,50.67,51.55,50.67,211830,"2020-08-31, 05-00-00"
FIX,50.49,52.47,52.79,50.0,416923,"2020-09-01, 05-00-00"
FIX,52.62,53.48,53.6286,52.2,321426,"2020-09-02, 05-00-00"
FIX,53.44,51.81,53.4511,50.9,320391,"2020-09-03, 05-00-00"
FIX,52.62,51.3,53.029,50.6185,311728,"2020-09-04, 05-00-00"
FIX,51.25,50.27,51.32,50.11,194867,"2020-09-08, 05-00-00"
FIX,50.9,49.88,50.945,49.19,238067,"2020-09-09, 05-00-00"
FIX,50.0,50.86,51.06,49.57,318666,"2020-09-10, 05-00-00"
FIX,51.3,50.52,51.49,50.48,141537,"2020-09-11, 05-00-00"
FIX,51.01,51.57,51.79,50.225,195413,"2020-09-14, 05-00-00"
FIX,51.87,50.96,52.14,50.81,134205,"2020-09-15, 05-00-00"
FIX,51.23,52.55,53.09,51.0,327290,"2020-09-16, 05-00-00"
FIX,51.71,52.36,52.92,51.35,197097,"2020-09-17, 05-00-00"
FIX,52.6,52.66,53.36,51.72,600646,"2020-09-18, 05-00-00"
FIX,51.22,50.14,51.73,49.47,264123,"2020-09-21, 05-00-00"
FIX,50.39,51.47,51.7,49.88,303831,"2020-09-22, 05-00-00"
FIX,51.35,49.93,52.38,49.92,279111,"2020-09-23, 05-00-00"
FIX,50.17,50.32,51.0,49.55,211579,"2020-09-24, 05-00-00"
FIX,49.76,50.39,50.7,49.76,161693,"2020-09-25, 05-00-00"
FIX,51.02,51.84,52.08,50.98,152612,"2020-09-28, 05-00-00"
FIX,51.84,51.51,52.13,51.2,358786,"2020-09-29, 05-00-00"
FIX,51.77,51.51,52.955,51.2,201260,"2020-09-30, 05-00-00"
FIX,51.5,52.0,52.24,51.11,188057,"2020-10-01, 05-00-00"
FIX,51.24,52.59,52.97,51.24,112942,"2020-10-02, 05-00-00"
FIX,53.0,54.05,54.4,52.87,240627,"2020-10-05, 05-00-00"
FIX,54.83,55.19,56.37,54.57,357623,"2020-10-06, 05-00-00"
FIX,55.84,56.2,56.4618,55.38,341455,"2020-10-07, 05-00-00"
FIX,56.9,57.62,57.79,56.65,210175,"2020-10-08, 05-00-00"
FIX,57.74,57.64,58.11,56.78,136197,"2020-10-09, 05-00-00"
FIX,57.82,57.98,58.14,57.1916,194839,"2020-10-12, 05-00-00"
FIX,57.3,56.42,57.455,56.04,248957,"2020-10-13, 05-00-00"
FIX,56.73,55.77,57.06,55.7,157867,"2020-10-14, 05-00-00"
FIX,55.0,56.49,56.54,54.84,213061,"2020-10-15, 05-00-00"
