symbol,open,close,volume,date
GS,219.73,219.73,1603539,"2019-11-18, 06-00-00"
GS,220.56,220.04,1817120,"2019-11-19, 06-00-00"
GS,218.36,217.91,2177738,"2019-11-20, 06-00-00"
GS,218.6,218.23,1677745,"2019-11-21, 06-00-00"
GS,218.0,220.28,1529121,"2019-11-22, 06-00-00"
GS,220.89,222.75,2181836,"2019-11-25, 06-00-00"
GS,222.68,222.45,1926961,"2019-11-26, 06-00-00"
GS,223.45,222.95,1615085,"2019-11-27, 06-00-00"
GS,220.88,221.35,770438,"2019-11-29, 06-00-00"
GS,220.97,217.64,2119133,"2019-12-02, 06-00-00"
GS,215.43,212.24,3279762,"2019-12-03, 06-00-00"
GS,213.54,215.94,1583647,"2019-12-04, 06-00-00"
GS,217.15,217.14,1329572,"2019-12-05, 06-00-00"
GS,219.95,224.61,4229733,"2019-12-06, 06-00-00"
GS,224.61,221.81,2149451,"2019-12-09, 06-00-00"
GS,221.67,221.88,1854483,"2019-12-10, 06-00-00"
GS,222.25,221.19,1778596,"2019-12-11, 06-00-00"
GS,221.91,226.05,2975577,"2019-12-12, 06-00-00"
GS,226.72,225.0,1908510,"2019-12-13, 06-00-00"
GS,228.5,228.04,3219426,"2019-12-16, 06-00-00"
GS,230.0,231.15,3590439,"2019-12-17, 06-00-00"
GS,231.97,230.45,2280912,"2019-12-18, 06-00-00"
GS,230.95,229.94,2420063,"2019-12-19, 06-00-00"
GS,230.96,228.93,3716158,"2019-12-20, 06-00-00"
GS,229.66,229.09,1671705,"2019-12-23, 06-00-00"
GS,228.98,229.91,467722,"2019-12-24, 06-00-00"
GS,230.26,231.21,1704161,"2019-12-26, 06-00-00"
GS,231.81,230.66,1343887,"2019-12-27, 06-00-00"
GS,231.68,229.8,1494667,"2019-12-30, 06-00-00"
GS,229.71,229.93,1447336,"2019-12-31, 06-00-00"
GS,231.0,234.32,3737791,"2020-01-02, 06-00-00"
GS,231.6,231.58,2276089,"2020-01-03, 06-00-00"
GS,229.93,233.95,3329354,"2020-01-06, 06-00-00"
GS,235.0,235.49,5393171,"2020-01-07, 06-00-00"
GS,235.68,237.76,3564884,"2020-01-08, 06-00-00"
GS,241.34,242.6,3982130,"2020-01-09, 06-00-00"
