symbol,open,close,high,low,volume,date
HTGC,10.25,10.2,10.4,10.0901,327172,2010-11-18
HTGC,10.21,10.18,10.21,9.97,170068,2010-11-19
HTGC,10.12,10.04,10.17,9.98,377694,2010-11-22
HTGC,9.95,9.9,10.0,9.82,191716,2010-11-23
HTGC,10.01,9.99,10.14,9.92,224506,2010-11-24
HTGC,9.96,10.06,10.11,9.96,126469,2010-11-26
HTGC,9.98,10.09,10.11,9.93,263847,2010-11-29
HTGC,10.01,9.98,10.08,9.93,256845,2010-11-30
HTGC,10.1,10.14,10.2,10.0,313086,2010-12-01
HTGC,10.16,10.07,10.19,10.03,316038,2010-12-02
HTGC,10.03,9.99,10.11,9.94,296549,2010-12-03
HTGC,10.0,10.14,10.15,9.97,241165,2010-12-06
HTGC,10.2,10.28,10.3,10.16,305426,2010-12-07
HTGC,10.33,10.42,10.42,10.23,212589,2010-12-08
HTGC,10.44,10.35,10.44,10.31,233224,2010-12-09
HTGC,10.38,10.51,10.51,10.25,247726,2010-12-10
HTGC,10.51,10.41,10.55,10.41,161842,2010-12-13
HTGC,10.4,10.29,10.49,10.27,252912,2010-12-14
HTGC,10.29,10.11,10.38,10.0,247549,2010-12-15
HTGC,10.15,10.14,10.28,10.0,184747,2010-12-16
HTGC,10.18,10.1,10.278,10.01,372674,2010-12-17
HTGC,10.09,10.29,10.35,10.08,275839,2010-12-20
HTGC,10.36,10.38,10.48,10.3,156032,2010-12-21
HTGC,10.48,10.61,10.75,10.43,307642,2010-12-22
HTGC,10.59,10.52,10.75,10.5,134935,2010-12-23
HTGC,10.53,10.3,10.68,10.18,157475,2010-12-27
HTGC,10.33,10.45,10.51,10.27,180898,2010-12-28
HTGC,10.45,10.54,10.59,10.42,135225,2010-12-29
HTGC,10.55,10.5,10.7,10.39,346826,2010-12-30
HTGC,10.44,10.36,10.7,10.32,272277,2010-12-31
HTGC,10.5,10.69,10.73,10.5,252219,2011-01-03
HTGC,10.74,10.775,10.78,10.46,384579,2011-01-04
HTGC,10.78,10.86,10.9,10.69,265852,2011-01-05
HTGC,10.81,10.84,10.93,10.73,238712,2011-01-06
HTGC,10.88,10.81,10.9,10.67,180537,2011-01-07
HTGC,10.72,10.81,10.9,10.6801,423904,2011-01-10
HTGC,10.82,10.59,10.82,10.49,451348,2011-01-11
HTGC,10.64,10.77,10.83,10.59,329802,2011-01-12
HTGC,10.74,10.75,10.84,10.67,219551,2011-01-13
HTGC,10.75,10.79,10.86,10.62,200149,2011-01-14
HTGC,10.74,10.71,10.8,10.65,197851,2011-01-18
HTGC,10.65,10.47,10.67,10.35,243505,2011-01-19
HTGC,10.4,10.42,10.5,10.3801,325493,2011-01-20
HTGC,10.46,10.5,10.54,10.42,233849,2011-01-21
