symbol,open,close,volume,date
HZO,16.57,16.67,74795,"2019-11-18, 06-00-00"
HZO,16.61,16.37,120336,"2019-11-19, 06-00-00"
HZO,16.2,15.93,164365,"2019-11-20, 06-00-00"
HZO,16.03,16.02,129719,"2019-11-21, 06-00-00"
HZO,16.15,15.95,88113,"2019-11-22, 06-00-00"
HZO,16.16,16.53,143567,"2019-11-25, 06-00-00"
HZO,16.57,16.36,145623,"2019-11-26, 06-00-00"
HZO,16.55,16.37,139633,"2019-11-27, 06-00-00"
HZO,16.33,16.56,91805,"2019-11-29, 06-00-00"
HZO,16.72,16.53,165123,"2019-12-02, 06-00-00"
HZO,16.35,16.57,126346,"2019-12-03, 06-00-00"
HZO,16.6,16.34,190055,"2019-12-04, 06-00-00"
HZO,16.34,16.09,329809,"2019-12-05, 06-00-00"
HZO,16.18,16.12,241999,"2019-12-06, 06-00-00"
HZO,16.18,16.14,214152,"2019-12-09, 06-00-00"
HZO,16.13,16.15,108284,"2019-12-10, 06-00-00"
HZO,16.1,16.28,115421,"2019-12-11, 06-00-00"
HZO,16.25,16.9,166794,"2019-12-12, 06-00-00"
HZO,16.73,16.7,150159,"2019-12-13, 06-00-00"
HZO,16.72,16.32,361109,"2019-12-16, 06-00-00"
HZO,16.26,16.53,221758,"2019-12-17, 06-00-00"
HZO,16.5,16.61,193030,"2019-12-18, 06-00-00"
HZO,16.58,16.58,259502,"2019-12-19, 06-00-00"
HZO,16.54,16.41,792863,"2019-12-20, 06-00-00"
HZO,16.6,16.6,184764,"2019-12-23, 06-00-00"
HZO,16.63,16.77,56296,"2019-12-24, 06-00-00"
HZO,16.77,16.68,68238,"2019-12-26, 06-00-00"
HZO,16.75,16.67,97279,"2019-12-27, 06-00-00"
HZO,16.7,16.67,126251,"2019-12-30, 06-00-00"
HZO,16.59,16.69,148185,"2019-12-31, 06-00-00"
HZO,16.8,16.8,130212,"2020-01-02, 06-00-00"
HZO,16.56,16.54,169019,"2020-01-03, 06-00-00"
HZO,16.36,16.67,148999,"2020-01-06, 06-00-00"
HZO,16.58,16.49,156645,"2020-01-07, 06-00-00"
HZO,16.45,16.42,188201,"2020-01-08, 06-00-00"
HZO,16.42,16.17,123699,"2020-01-09, 06-00-00"
HZO,16.11,16.02,162369,"2020-01-10, 06-00-00"
HZO,15.98,16.44,198535,"2020-01-13, 06-00-00"
HZO,16.35,17.13,217395,"2020-01-14, 06-00-00"
HZO,17.12,17.44,214481,"2020-01-15, 06-00-00"
HZO,17.55,17.77,182325,"2020-01-16, 06-00-00"
HZO,17.84,17.85,130087,"2020-01-17, 06-00-00"
HZO,17.79,17.48,182514,"2020-01-21, 06-00-00"
HZO,17.48,17.43,236999,"2020-01-22, 06-00-00"
HZO,22.11,21.61,1707258,"2020-01-23, 06-00-00"
HZO,22.15,21.88,652377,"2020-01-24, 06-00-00"
HZO,21.85,21.44,399083,"2020-01-27, 06-00-00"
HZO,21.78,21.18,300323,"2020-01-28, 06-00-00"
HZO,21.09,20.89,239948,"2020-01-29, 06-00-00"
HZO,20.67,19.94,368148,"2020-01-30, 06-00-00"
HZO,19.77,19.93,256756,"2020-01-31, 06-00-00"
HZO,20.32,20.05,381087,"2020-02-03, 06-00-00"
HZO,20.25,19.94,290465,"2020-02-04, 06-00-00"
HZO,20.07,20.34,192793,"2020-02-05, 06-00-00"
HZO,20.41,20.02,228369,"2020-02-06, 06-00-00"
HZO,19.85,20.17,355470,"2020-02-07, 06-00-00"
HZO,20.27,20.62,238566,"2020-02-10, 06-00-00"
HZO,20.56,20.52,167478,"2020-02-11, 06-00-00"
HZO,20.58,20.79,243043,"2020-02-12, 06-00-00"
HZO,20.75,20.81,131718,"2020-02-13, 06-00-00"
HZO,20.75,20.11,165418,"2020-02-14, 06-00-00"
HZO,20.95,21.1,198187,"2020-02-18, 06-00-00"
HZO,21.11,21.36,231762,"2020-02-19, 06-00-00"
HZO,21.33,21.45,183033,"2020-02-20, 06-00-00"
HZO,21.35,20.93,172205,"2020-02-21, 06-00-00"
HZO,20.32,19.67,129817,"2020-02-24, 06-00-00"
HZO,19.74,18.45,232171,"2020-02-25, 06-00-00"
HZO,18.41,17.94,165959,"2020-02-26, 06-00-00"
HZO,17.53,17.18,320984,"2020-02-27, 06-00-00"
HZO,16.47,16.93,300268,"2020-02-28, 06-00-00"
HZO,17.11,16.4,272497,"2020-03-02, 06-00-00"
HZO,16.46,15.67,326610,"2020-03-03, 06-00-00"
HZO,15.92,16.36,268291,"2020-03-04, 06-00-00"
HZO,16.0,15.49,299924,"2020-03-05, 06-00-00"
HZO,14.98,14.94,226454,"2020-03-06, 06-00-00"
HZO,14.25,12.92,384159,"2020-03-09, 05-00-00"
HZO,13.3,12.76,174087,"2020-03-10, 05-00-00"
HZO,12.36,12.08,222972,"2020-03-11, 05-00-00"
HZO,11.4,9.57,242063,"2020-03-12, 05-00-00"
HZO,10.02,10.52,299202,"2020-03-13, 05-00-00"
HZO,9.57,10.16,384188,"2020-03-16, 05-00-00"
HZO,10.4,9.2,583845,"2020-03-17, 05-00-00"
HZO,9.0,8.19,313001,"2020-03-18, 05-00-00"
HZO,8.02,9.37,429900,"2020-03-19, 05-00-00"
HZO,9.43,8.64,645415,"2020-03-20, 05-00-00"
HZO,8.51,7.87,257356,"2020-03-23, 05-00-00"
HZO,8.33,8.93,212230,"2020-03-24, 05-00-00"
HZO,8.98,9.48,248400,"2020-03-25, 05-00-00"
HZO,9.58,10.11,250421,"2020-03-26, 05-00-00"
HZO,9.94,9.2,206774,"2020-03-27, 05-00-00"
HZO,9.21,9.66,273208,"2020-03-30, 05-00-00"
HZO,9.56,10.42,354179,"2020-03-31, 05-00-00"
HZO,9.83,9.02,282990,"2020-04-01, 05-00-00"
HZO,8.71,8.61,219273,"2020-04-02, 05-00-00"
HZO,8.56,7.97,232649,"2020-04-03, 05-00-00"
HZO,8.37,9.34,235150,"2020-04-06, 05-00-00"
HZO,9.84,9.3,253098,"2020-04-07, 05-00-00"
HZO,9.52,10.15,186573,"2020-04-08, 05-00-00"
HZO,10.57,12.07,322785,"2020-04-09, 05-00-00"
HZO,11.87,11.22,343725,"2020-04-13, 05-00-00"
HZO,11.58,11.47,340250,"2020-04-14, 05-00-00"
HZO,10.86,10.9,222087,"2020-04-15, 05-00-00"
HZO,11.0,10.96,267901,"2020-04-16, 05-00-00"
HZO,11.49,11.48,380290,"2020-04-17, 05-00-00"
HZO,11.93,11.82,413077,"2020-04-20, 05-00-00"
HZO,11.43,11.52,141925,"2020-04-21, 05-00-00"
HZO,11.84,12.12,205452,"2020-04-22, 05-00-00"
HZO,12.52,12.98,727367,"2020-04-23, 05-00-00"
HZO,13.34,13.83,453375,"2020-04-24, 05-00-00"
HZO,14.03,13.98,383734,"2020-04-27, 05-00-00"
HZO,14.53,14.44,477385,"2020-04-28, 05-00-00"
HZO,15.03,14.09,466156,"2020-04-29, 05-00-00"
HZO,13.78,14.41,420750,"2020-04-30, 05-00-00"
HZO,13.87,13.69,355896,"2020-05-01, 05-00-00"
HZO,13.41,14.62,297087,"2020-05-04, 05-00-00"
HZO,14.56,14.11,206101,"2020-05-05, 05-00-00"
HZO,14.31,14.21,226889,"2020-05-06, 05-00-00"
HZO,14.48,14.57,195579,"2020-05-07, 05-00-00"
HZO,15.0,15.62,219145,"2020-05-08, 05-00-00"
HZO,15.35,15.6,196152,"2020-05-11, 05-00-00"
HZO,15.62,14.33,243852,"2020-05-12, 05-00-00"
HZO,14.25,13.76,252004,"2020-05-13, 05-00-00"
HZO,13.47,14.14,146837,"2020-05-14, 05-00-00"
HZO,14.04,16.16,438298,"2020-05-15, 05-00-00"
HZO,17.76,16.4,356930,"2020-05-18, 05-00-00"
HZO,16.15,16.24,389452,"2020-05-19, 05-00-00"
HZO,16.6,16.84,318715,"2020-05-20, 05-00-00"
HZO,17.83,18.5,526625,"2020-05-21, 05-00-00"
HZO,18.58,18.67,310660,"2020-05-22, 05-00-00"
HZO,19.94,19.71,251562,"2020-05-26, 05-00-00"
HZO,19.68,20.64,276898,"2020-05-27, 05-00-00"
HZO,20.99,19.49,226750,"2020-05-28, 05-00-00"
HZO,19.26,19.03,320455,"2020-05-29, 05-00-00"
HZO,18.91,19.19,361409,"2020-06-01, 05-00-00"
HZO,19.47,19.96,348078,"2020-06-02, 05-00-00"
HZO,21.0,22.02,518788,"2020-06-03, 05-00-00"
HZO,21.91,21.48,316181,"2020-06-04, 05-00-00"
HZO,22.49,21.67,397965,"2020-06-05, 05-00-00"
HZO,22.26,22.58,300347,"2020-06-08, 05-00-00"
HZO,21.9,22.0,261467,"2020-06-09, 05-00-00"
HZO,21.72,21.31,187811,"2020-06-10, 05-00-00"
HZO,19.98,19.67,238780,"2020-06-11, 05-00-00"
HZO,20.63,20.34,177942,"2020-06-12, 05-00-00"
HZO,19.49,20.72,210076,"2020-06-15, 05-00-00"
HZO,22.31,21.35,220146,"2020-06-16, 05-00-00"
HZO,21.56,22.03,220160,"2020-06-17, 05-00-00"
HZO,21.76,21.55,270562,"2020-06-18, 05-00-00"
HZO,21.79,20.86,505693,"2020-06-19, 05-00-00"
HZO,20.72,20.69,271718,"2020-06-22, 05-00-00"
HZO,21.06,20.95,323337,"2020-06-23, 05-00-00"
HZO,20.69,21.43,432848,"2020-06-24, 05-00-00"
HZO,21.13,21.64,256996,"2020-06-25, 05-00-00"
HZO,21.75,22.11,434467,"2020-06-26, 05-00-00"
HZO,22.56,22.15,405892,"2020-06-29, 05-00-00"
HZO,22.19,22.39,233127,"2020-06-30, 05-00-00"
HZO,22.92,22.68,268585,"2020-07-01, 05-00-00"
HZO,22.95,23.14,259062,"2020-07-02, 05-00-00"
HZO,23.5,23.96,737443,"2020-07-06, 05-00-00"
HZO,23.62,22.61,409962,"2020-07-07, 05-00-00"
HZO,22.74,23.17,179395,"2020-07-08, 05-00-00"
HZO,23.13,22.65,206964,"2020-07-09, 05-00-00"
HZO,22.78,23.58,243756,"2020-07-10, 05-00-00"
HZO,23.81,23.01,226512,"2020-07-13, 05-00-00"
HZO,22.87,23.98,180793,"2020-07-14, 05-00-00"
HZO,24.47,24.93,261097,"2020-07-15, 05-00-00"
HZO,24.7,24.72,184769,"2020-07-16, 05-00-00"
HZO,24.9,24.93,311156,"2020-07-17, 05-00-00"
HZO,24.71,24.36,250985,"2020-07-20, 05-00-00"
HZO,24.83,26.26,295260,"2020-07-21, 05-00-00"
HZO,26.56,27.79,504981,"2020-07-22, 05-00-00"
HZO,30.16,28.45,1034079,"2020-07-23, 05-00-00"
HZO,28.45,27.74,522931,"2020-07-24, 05-00-00"
HZO,27.79,28.27,443462,"2020-07-27, 05-00-00"
HZO,28.21,28.95,521768,"2020-07-28, 05-00-00"
HZO,29.22,29.55,573486,"2020-07-29, 05-00-00"
HZO,29.27,29.75,526291,"2020-07-30, 05-00-00"
