symbol,open,close,high,low,volume,date
IHG,62.01,61.84,62.03,61.64,88818,"2019-11-18, 06-00-00"
IHG,62.9,62.02,62.93,61.93,94662,"2019-11-19, 06-00-00"
IHG,60.51,60.08,60.53,59.88,117041,"2019-11-20, 06-00-00"
IHG,59.85,59.99,60.155,59.56,97386,"2019-11-21, 06-00-00"
IHG,60.99,61.11,61.16,60.78,70973,"2019-11-22, 06-00-00"
IHG,62.79,62.91,63.16,62.71,143117,"2019-11-25, 06-00-00"
IHG,63.27,64.0,64.0126,63.25,135008,"2019-11-26, 06-00-00"
IHG,65.03,65.36,65.46,64.86,101090,"2019-11-27, 06-00-00"
IHG,64.91,64.73,65.02,64.59,61355,"2019-11-29, 06-00-00"
IHG,64.49,64.36,64.6,63.9576,144025,"2019-12-02, 06-00-00"
IHG,62.36,62.12,62.69,61.9553,169189,"2019-12-03, 06-00-00"
IHG,62.08,62.47,62.47,62.07,94768,"2019-12-04, 06-00-00"
IHG,62.61,62.71,62.8,62.55,48176,"2019-12-05, 06-00-00"
IHG,63.35,63.49,63.5874,63.1,42418,"2019-12-06, 06-00-00"
IHG,63.02,63.15,63.36,62.99,47204,"2019-12-09, 06-00-00"
IHG,63.14,63.06,63.22,62.91,39061,"2019-12-10, 06-00-00"
IHG,63.21,63.34,63.48,63.2,71125,"2019-12-11, 06-00-00"
IHG,64.05,64.52,64.69,63.9,115177,"2019-12-12, 06-00-00"
IHG,65.97,65.47,65.97,64.97,130995,"2019-12-13, 06-00-00"
IHG,66.65,66.62,66.92,66.48,93838,"2019-12-16, 06-00-00"
IHG,66.2,66.72,67.02,65.98,137545,"2019-12-17, 06-00-00"
IHG,66.52,67.07,67.15,66.51,119216,"2019-12-18, 06-00-00"
IHG,66.33,66.88,66.96,66.31,102240,"2019-12-19, 06-00-00"
IHG,67.0,67.05,67.24,66.86,102559,"2019-12-20, 06-00-00"
IHG,67.35,67.72,67.81,67.21,74476,"2019-12-23, 06-00-00"
IHG,67.88,67.76,67.88,67.63,12499,"2019-12-24, 06-00-00"
IHG,68.01,68.12,68.18,67.85,29841,"2019-12-26, 06-00-00"
IHG,68.67,68.25,68.71,68.1224,52339,"2019-12-27, 06-00-00"
IHG,69.12,68.26,69.12,68.19,64122,"2019-12-30, 06-00-00"
IHG,68.26,68.67,68.67,68.26,57012,"2019-12-31, 06-00-00"
IHG,68.87,69.01,69.04,68.53,65905,"2020-01-02, 06-00-00"
IHG,68.07,67.73,68.35,67.68,78097,"2020-01-03, 06-00-00"
IHG,66.87,67.23,67.26,66.7,68212,"2020-01-06, 06-00-00"
IHG,66.29,66.5,66.69,66.28,124392,"2020-01-07, 06-00-00"
IHG,65.83,66.64,66.84,65.7708,80720,"2020-01-08, 06-00-00"
IHG,66.21,66.13,66.36,65.9,400838,"2020-01-09, 06-00-00"
IHG,65.94,65.65,66.11,65.54,210562,"2020-01-10, 06-00-00"
IHG,65.49,65.86,65.86,65.37,190739,"2020-01-13, 06-00-00"
IHG,65.49,65.8,65.87,65.39,131283,"2020-01-14, 06-00-00"
IHG,65.66,65.82,66.02,65.57,359381,"2020-01-15, 06-00-00"
IHG,65.72,66.58,66.59,65.61,94529,"2020-01-16, 06-00-00"
IHG,67.47,67.22,67.48,67.1537,59607,"2020-01-17, 06-00-00"
IHG,65.38,64.48,65.46,64.38,269012,"2020-01-21, 06-00-00"
IHG,65.19,65.15,65.67,65.05,161620,"2020-01-22, 06-00-00"
IHG,63.9,63.72,63.93,63.07,363976,"2020-01-23, 06-00-00"
IHG,63.49,62.42,63.68,62.06,325417,"2020-01-24, 06-00-00"
IHG,60.42,59.81,60.42,58.96,214560,"2020-01-27, 06-00-00"
IHG,60.4,61.38,61.495,60.35,183360,"2020-01-28, 06-00-00"
IHG,61.58,61.39,61.93,61.37,136769,"2020-01-29, 06-00-00"
IHG,60.79,61.61,61.63,60.65,103028,"2020-01-30, 06-00-00"
IHG,61.99,61.39,61.99,61.12,287983,"2020-01-31, 06-00-00"
IHG,61.0,60.95,61.49,60.94,128631,"2020-02-03, 06-00-00"
IHG,62.95,62.78,63.29,62.7,183064,"2020-02-04, 06-00-00"
IHG,63.83,64.13,64.32,63.65,819584,"2020-02-05, 06-00-00"
IHG,63.55,63.35,63.77,63.33,508312,"2020-02-06, 06-00-00"
IHG,62.09,61.48,62.14,61.4,278096,"2020-02-07, 06-00-00"
IHG,61.3,61.38,61.52,61.07,230766,"2020-02-10, 06-00-00"
IHG,61.95,63.04,63.66,61.85,983318,"2020-02-11, 06-00-00"
IHG,62.88,63.77,63.77,62.78,843374,"2020-02-12, 06-00-00"
IHG,62.68,62.76,63.0675,62.57,264355,"2020-02-13, 06-00-00"
IHG,63.0,62.57,63.0,62.29,252954,"2020-02-14, 06-00-00"
IHG,63.45,63.88,64.23,63.18,198121,"2020-02-18, 06-00-00"
IHG,64.8,65.45,65.72,64.53,267356,"2020-02-19, 06-00-00"
IHG,65.84,65.92,66.25,65.65,734661,"2020-02-20, 06-00-00"
IHG,65.45,65.14,65.5,64.75,626350,"2020-02-21, 06-00-00"
IHG,63.14,60.88,63.14,60.61,349131,"2020-02-24, 06-00-00"
IHG,61.0,58.02,61.12,57.98,316148,"2020-02-25, 06-00-00"
IHG,58.49,57.01,59.27,56.97,552528,"2020-02-26, 06-00-00"
IHG,56.59,55.64,57.89,55.64,607460,"2020-02-27, 06-00-00"
IHG,55.01,55.13,55.89,54.11,394386,"2020-02-28, 06-00-00"
IHG,55.03,55.49,55.52,53.61,705154,"2020-03-02, 06-00-00"
IHG,55.39,53.88,56.0,53.46,338994,"2020-03-03, 06-00-00"
IHG,54.77,55.45,55.47,53.75,305444,"2020-03-04, 06-00-00"
IHG,52.93,52.1,53.45,51.765,519259,"2020-03-05, 06-00-00"
IHG,49.26,50.99,52.9,49.1,838855,"2020-03-06, 06-00-00"
IHG,50.09,49.1,51.61,48.76,1136968,"2020-03-09, 05-00-00"
IHG,51.5,51.21,51.85,48.78,607940,"2020-03-10, 05-00-00"
IHG,50.22,47.21,50.22,46.56,502201,"2020-03-11, 05-00-00"
IHG,42.74,42.49,43.82,40.0,1183322,"2020-03-12, 05-00-00"
IHG,44.14,44.62,44.62,41.075,447350,"2020-03-13, 05-00-00"
IHG,36.13,35.55,36.98,35.01,557128,"2020-03-16, 05-00-00"
IHG,34.35,35.73,35.75,33.6106,890500,"2020-03-17, 05-00-00"
IHG,33.21,30.83,33.92,28.52,667656,"2020-03-18, 05-00-00"
IHG,26.17,28.46,29.92,25.385,1202390,"2020-03-19, 05-00-00"
IHG,31.53,30.74,33.2658,30.585,973010,"2020-03-20, 05-00-00"
IHG,30.01,30.39,31.55,29.71,752155,"2020-03-23, 05-00-00"
IHG,32.78,35.85,36.22,32.65,584552,"2020-03-24, 05-00-00"
IHG,38.47,39.73,41.02,37.85,590990,"2020-03-25, 05-00-00"
IHG,41.95,43.77,46.22,41.63,1322153,"2020-03-26, 05-00-00"
IHG,43.6,42.23,43.61,41.03,786059,"2020-03-27, 05-00-00"
IHG,41.3,41.76,42.36,40.44,431690,"2020-03-30, 05-00-00"
