symbol,open,close,high,low,volume,date
INN,11.98,12.06,12.07,11.93,520092,"2019-11-18, 06-00-00"
INN,12.08,11.81,12.09,11.79,1257778,"2019-11-19, 06-00-00"
INN,11.77,11.78,11.87,11.7,1129448,"2019-11-20, 06-00-00"
INN,11.77,11.73,11.81,11.64,1035447,"2019-11-21, 06-00-00"
INN,11.81,11.76,11.87,11.72,791717,"2019-11-22, 06-00-00"
INN,11.81,12.06,12.09,11.79,863917,"2019-11-25, 06-00-00"
INN,12.07,12.11,12.185,12.04,583148,"2019-11-26, 06-00-00"
INN,12.12,12.22,12.22,12.06,246064,"2019-11-27, 06-00-00"
INN,12.15,12.12,12.22,12.11,238980,"2019-11-29, 06-00-00"
INN,12.12,12.11,12.16,12.04,796438,"2019-12-02, 06-00-00"
INN,12.01,12.09,12.12,11.99,361480,"2019-12-03, 06-00-00"
INN,12.11,12.05,12.2,12.01,542682,"2019-12-04, 06-00-00"
INN,12.07,12.08,12.135,12.01,689648,"2019-12-05, 06-00-00"
INN,12.16,12.24,12.35,12.145,527713,"2019-12-06, 06-00-00"
INN,12.24,12.26,12.34,12.16,719106,"2019-12-09, 06-00-00"
INN,12.26,12.21,12.305,12.16,388164,"2019-12-10, 06-00-00"
INN,12.22,12.07,12.22,12.025,587371,"2019-12-11, 06-00-00"
INN,12.06,12.05,12.15,11.94,744762,"2019-12-12, 06-00-00"
INN,12.07,11.95,12.1,11.8,622764,"2019-12-13, 06-00-00"
INN,12.02,11.96,12.07,11.845,1524353,"2019-12-16, 06-00-00"
INN,12.0,11.98,12.08,11.93,972545,"2019-12-17, 06-00-00"
INN,12.03,12.14,12.17,12.005,946052,"2019-12-18, 06-00-00"
INN,12.17,12.15,12.22,12.14,850528,"2019-12-19, 06-00-00"
INN,12.2,12.3,12.35,12.17,2213434,"2019-12-20, 06-00-00"
INN,12.31,12.17,12.35,12.14,1040127,"2019-12-23, 06-00-00"
INN,12.17,12.21,12.26,12.165,281854,"2019-12-24, 06-00-00"
INN,12.24,12.29,12.3,12.19,278829,"2019-12-26, 06-00-00"
INN,12.35,12.28,12.36,12.24,521248,"2019-12-27, 06-00-00"
INN,12.3,12.32,12.33,12.25,357225,"2019-12-30, 06-00-00"
INN,12.33,12.34,12.42,12.3,791964,"2019-12-31, 06-00-00"
INN,12.4,12.24,12.4,12.16,958397,"2020-01-02, 06-00-00"
INN,12.11,12.23,12.32,12.11,758805,"2020-01-03, 06-00-00"
INN,12.12,11.93,12.19,11.92,665549,"2020-01-06, 06-00-00"
INN,11.89,11.84,11.9,11.72,899422,"2020-01-07, 06-00-00"
INN,11.84,11.95,12.005,11.84,669603,"2020-01-08, 06-00-00"
INN,11.91,11.89,11.95,11.84,1761970,"2020-01-09, 06-00-00"
INN,11.86,11.76,11.89,11.745,744097,"2020-01-10, 06-00-00"
INN,12.03,12.11,12.18,11.94,1411164,"2020-01-13, 06-00-00"
INN,12.11,12.09,12.11,11.92,626257,"2020-01-14, 06-00-00"
INN,12.08,12.15,12.17,12.075,1496586,"2020-01-15, 06-00-00"
INN,12.2,12.16,12.22,12.09,654236,"2020-01-16, 06-00-00"
INN,12.21,12.11,12.235,12.09,453797,"2020-01-17, 06-00-00"
INN,12.1,12.08,12.17,11.94,872217,"2020-01-21, 06-00-00"
INN,12.13,11.99,12.14,11.94,721810,"2020-01-22, 06-00-00"
INN,11.99,11.95,11.99,11.85,692507,"2020-01-23, 06-00-00"
INN,11.96,11.67,11.96,11.63,646782,"2020-01-24, 06-00-00"
INN,11.51,11.54,11.6,11.465,732039,"2020-01-27, 06-00-00"
INN,11.57,11.62,11.675,11.54,391115,"2020-01-28, 06-00-00"
INN,11.63,11.52,11.66,11.49,360776,"2020-01-29, 06-00-00"
INN,11.52,11.4,11.52,11.305,404040,"2020-01-30, 06-00-00"
INN,11.36,11.09,11.38,11.02,761487,"2020-01-31, 06-00-00"
INN,11.14,11.23,11.24,11.1,873251,"2020-02-03, 06-00-00"
INN,11.34,11.41,11.4652,11.29,512742,"2020-02-04, 06-00-00"
INN,11.47,11.64,11.675,11.47,677587,"2020-02-05, 06-00-00"
INN,11.7,11.71,11.74,11.58,519677,"2020-02-06, 06-00-00"
INN,11.67,11.65,11.71,11.59,397729,"2020-02-07, 06-00-00"
INN,11.65,11.65,11.67,11.52,477814,"2020-02-10, 06-00-00"
INN,11.69,11.74,11.86,11.66,463621,"2020-02-11, 06-00-00"
INN,11.8,11.95,11.96,11.755,754824,"2020-02-12, 06-00-00"
INN,11.77,11.57,11.8,11.525,486899,"2020-02-13, 06-00-00"
INN,11.55,11.49,11.57,11.44,445454,"2020-02-14, 06-00-00"
INN,11.42,11.49,11.53,11.36,566485,"2020-02-18, 06-00-00"
INN,11.5,11.31,11.55,11.28,426781,"2020-02-19, 06-00-00"
INN,11.28,11.33,11.425,11.27,544311,"2020-02-20, 06-00-00"
INN,11.35,11.32,11.42,11.22,814643,"2020-02-21, 06-00-00"
INN,11.05,10.75,11.13,10.57,1196973,"2020-02-24, 06-00-00"
INN,10.72,10.1,10.73,10.0,1824154,"2020-02-25, 06-00-00"
INN,10.13,9.86,10.295,9.84,1287166,"2020-02-26, 06-00-00"
INN,9.63,9.27,9.74,9.27,2110559,"2020-02-27, 06-00-00"
INN,9.07,9.27,9.4,8.99,2208862,"2020-02-28, 06-00-00"
INN,9.32,9.35,9.38,8.855,1742026,"2020-03-02, 06-00-00"
INN,9.34,8.82,9.58,8.7,1517673,"2020-03-03, 06-00-00"
INN,8.96,8.95,9.0391,8.785,1308247,"2020-03-04, 06-00-00"
INN,8.7,8.28,8.755,8.22,1158196,"2020-03-05, 06-00-00"
INN,8.04,8.47,8.66,8.0,1908019,"2020-03-06, 06-00-00"
INN,7.77,7.17,7.9,7.1,1212011,"2020-03-09, 05-00-00"
INN,7.36,7.32,7.56,6.99,1539955,"2020-03-10, 05-00-00"
INN,7.12,6.52,7.12,6.44,1861303,"2020-03-11, 05-00-00"
INN,5.93,5.73,5.95,5.23,2233326,"2020-03-12, 05-00-00"
INN,6.0,6.0,6.17,5.3,1869041,"2020-03-13, 05-00-00"
INN,5.25,4.66,5.25,4.23,2160771,"2020-03-16, 05-00-00"
INN,4.77,4.56,4.93,4.5,1448382,"2020-03-17, 05-00-00"
INN,4.24,2.61,4.25,2.32,2200415,"2020-03-18, 05-00-00"
INN,2.74,3.1,3.35,2.65,2441555,"2020-03-19, 05-00-00"
INN,3.15,3.36,3.63,3.05,2646399,"2020-03-20, 05-00-00"
INN,3.48,3.62,3.87,3.24,2433788,"2020-03-23, 05-00-00"
INN,3.98,4.02,4.37,3.88,3496990,"2020-03-24, 05-00-00"
INN,4.14,4.16,4.36,3.7,3325986,"2020-03-25, 05-00-00"
INN,4.2,4.37,5.0,3.94,3300056,"2020-03-26, 05-00-00"
INN,4.25,4.24,5.43,4.0,2549037,"2020-03-27, 05-00-00"
INN,4.21,4.06,4.23,3.65,2206477,"2020-03-30, 05-00-00"
INN,4.19,4.22,4.26,3.8,3890883,"2020-03-31, 05-00-00"
INN,3.92,3.98,4.1,3.65,1627982,"2020-04-01, 05-00-00"
INN,3.93,3.71,4.0,3.64,1257396,"2020-04-02, 05-00-00"
INN,3.65,3.45,3.65,3.3837,1526506,"2020-04-03, 05-00-00"
INN,3.8,3.66,3.94,3.63,1967319,"2020-04-06, 05-00-00"
INN,3.92,3.55,3.975,3.45,2332908,"2020-04-07, 05-00-00"
INN,3.66,4.07,4.1,3.59,2630803,"2020-04-08, 05-00-00"
INN,4.3,4.63,4.7143,4.29,2333300,"2020-04-09, 05-00-00"
INN,5.0,4.57,5.0,4.27,2834491,"2020-04-13, 05-00-00"
INN,4.61,4.65,4.74,4.45,2321469,"2020-04-14, 05-00-00"
INN,4.48,4.64,4.76,4.29,1598463,"2020-04-15, 05-00-00"
INN,4.6,4.6,4.67,4.39,1238993,"2020-04-16, 05-00-00"
INN,4.8,4.9,5.05,4.79,2050564,"2020-04-17, 05-00-00"
INN,4.75,4.57,4.91,4.51,1181308,"2020-04-20, 05-00-00"
INN,4.47,4.61,4.71,4.37,1158770,"2020-04-21, 05-00-00"
INN,4.78,4.61,4.86,4.51,1027050,"2020-04-22, 05-00-00"
INN,4.63,4.7,4.84,4.56,1028560,"2020-04-23, 05-00-00"
INN,4.8,4.8,4.87,4.66,655086,"2020-04-24, 05-00-00"
INN,4.85,5.24,5.3,4.8,1005704,"2020-04-27, 05-00-00"
INN,5.46,5.54,5.66,5.17,1238526,"2020-04-28, 05-00-00"
INN,5.76,6.45,6.58,5.76,1552588,"2020-04-29, 05-00-00"
INN,6.3,6.06,6.3,5.75,1440404,"2020-04-30, 05-00-00"
INN,5.81,5.68,6.05,5.62,978765,"2020-05-01, 05-00-00"
INN,5.46,5.43,5.65,5.14,930112,"2020-05-04, 05-00-00"
INN,5.62,5.22,5.77,5.16,859062,"2020-05-05, 05-00-00"
INN,5.2,4.9,5.29,4.9,780578,"2020-05-06, 05-00-00"
INN,4.99,5.24,5.29,4.99,897336,"2020-05-07, 05-00-00"
INN,5.4,5.94,5.94,5.26,1316051,"2020-05-08, 05-00-00"
INN,5.96,5.27,5.99,5.26,1737091,"2020-05-11, 05-00-00"
INN,5.39,5.2,5.54,5.0,2403194,"2020-05-12, 05-00-00"
INN,5.05,4.74,5.06,4.6414,2405940,"2020-05-13, 05-00-00"
INN,4.56,4.77,5.02,4.35,1589608,"2020-05-14, 05-00-00"
INN,4.72,4.67,4.82,4.51,2793281,"2020-05-15, 05-00-00"
INN,5.09,5.29,5.39,5.06,2259281,"2020-05-18, 05-00-00"
INN,5.22,5.34,5.57,5.0,1353286,"2020-05-19, 05-00-00"
INN,5.45,5.48,5.58,5.305,990676,"2020-05-20, 05-00-00"
INN,5.51,5.65,5.74,5.47,829766,"2020-05-21, 05-00-00"
INN,5.65,5.46,5.7299,5.28,658393,"2020-05-22, 05-00-00"
INN,5.81,6.1,6.15,5.7,1724514,"2020-05-26, 05-00-00"
INN,6.37,6.47,6.5,5.64,2687151,"2020-05-27, 05-00-00"
INN,6.57,6.31,6.59,6.24,1287156,"2020-05-28, 05-00-00"
INN,6.16,6.25,6.355,6.0102,1755042,"2020-05-29, 05-00-00"
INN,6.45,6.5,6.9,6.35,1589792,"2020-06-01, 05-00-00"
INN,6.67,6.72,6.9401,6.66,996359,"2020-06-02, 05-00-00"
INN,6.95,7.22,7.25,6.91,1227709,"2020-06-03, 05-00-00"
INN,7.29,8.05,8.06,7.1501,1832299,"2020-06-04, 05-00-00"
INN,8.78,8.02,9.31,7.97,4231574,"2020-06-05, 05-00-00"
INN,8.45,8.59,8.855,8.41,1801157,"2020-06-08, 05-00-00"
INN,8.28,8.24,8.42,8.02,1458995,"2020-06-09, 05-00-00"
INN,8.04,7.02,8.07,6.74,3065094,"2020-06-10, 05-00-00"
INN,6.38,6.75,6.94,6.25,2630413,"2020-06-11, 05-00-00"
INN,7.27,7.27,7.5,6.94,1515550,"2020-06-12, 05-00-00"
INN,6.85,7.17,7.36,6.7,1281821,"2020-06-15, 05-00-00"
INN,7.58,7.24,7.63,7.05,1141701,"2020-06-16, 05-00-00"
INN,7.21,6.76,7.21,6.72,1269014,"2020-06-17, 05-00-00"
INN,6.54,6.42,6.71,6.39,988605,"2020-06-18, 05-00-00"
INN,6.34,6.09,6.5,6.01,3898602,"2020-06-19, 05-00-00"
INN,6.06,6.04,6.14,5.885,1789650,"2020-06-22, 05-00-00"
INN,6.14,5.78,6.1554,5.755,1885049,"2020-06-23, 05-00-00"
INN,5.65,5.51,5.7,5.35,2238057,"2020-06-24, 05-00-00"
INN,5.42,5.72,5.73,5.36,1461990,"2020-06-25, 05-00-00"
INN,5.65,5.66,5.8067,5.6,1601293,"2020-06-26, 05-00-00"
INN,5.68,6.07,6.08,5.6,1256082,"2020-06-29, 05-00-00"
INN,6.03,5.93,6.2,5.8,1185571,"2020-06-30, 05-00-00"
INN,5.94,5.81,6.32,5.78,1311025,"2020-07-01, 05-00-00"
INN,5.99,5.69,6.16,5.68,855501,"2020-07-02, 05-00-00"
