symbol,open,close,volume,date
KIM,21.56,21.77,2988818,"2019-11-18, 06-00-00"
KIM,21.77,21.67,2499825,"2019-11-19, 06-00-00"
KIM,21.61,21.44,4267569,"2019-11-20, 06-00-00"
KIM,21.45,21.34,4143590,"2019-11-21, 06-00-00"
KIM,21.33,21.3,3092121,"2019-11-22, 06-00-00"
KIM,21.49,21.43,3721345,"2019-11-25, 06-00-00"
KIM,21.52,21.58,4902136,"2019-11-26, 06-00-00"
KIM,21.61,21.66,4650186,"2019-11-27, 06-00-00"
KIM,21.7,21.62,2027348,"2019-11-29, 06-00-00"
KIM,21.58,21.04,3759050,"2019-12-02, 06-00-00"
KIM,21.13,21.16,4814931,"2019-12-03, 06-00-00"
KIM,21.13,21.27,5248728,"2019-12-04, 06-00-00"
KIM,21.21,21.19,2661682,"2019-12-05, 06-00-00"
KIM,21.17,21.18,3240048,"2019-12-06, 06-00-00"
KIM,21.22,21.23,2521287,"2019-12-09, 06-00-00"
KIM,21.25,21.17,3347209,"2019-12-10, 06-00-00"
KIM,21.13,20.83,3913544,"2019-12-11, 06-00-00"
KIM,20.83,20.42,4043954,"2019-12-12, 06-00-00"
KIM,20.44,20.31,4564561,"2019-12-13, 06-00-00"
KIM,20.35,20.4,4630541,"2019-12-16, 06-00-00"
KIM,20.51,20.4,5271641,"2019-12-17, 06-00-00"
KIM,20.17,20.58,4626595,"2019-12-18, 06-00-00"
KIM,20.6,20.54,4738492,"2019-12-19, 06-00-00"
KIM,20.56,20.53,5589133,"2019-12-20, 06-00-00"
KIM,20.58,20.32,2413472,"2019-12-23, 06-00-00"
KIM,20.33,20.36,1256226,"2019-12-24, 06-00-00"
KIM,20.43,20.46,1922100,"2019-12-26, 06-00-00"
KIM,20.5,20.76,1793314,"2019-12-27, 06-00-00"
KIM,20.67,20.77,1836232,"2019-12-30, 06-00-00"
KIM,20.36,20.71,2487172,"2019-12-31, 06-00-00"
KIM,20.78,19.6,7470354,"2020-01-02, 06-00-00"
KIM,19.5,19.81,4152350,"2020-01-03, 06-00-00"
KIM,19.79,20.07,3256421,"2020-01-06, 06-00-00"
KIM,19.97,19.83,2798033,"2020-01-07, 06-00-00"
KIM,19.82,19.75,3382865,"2020-01-08, 06-00-00"
KIM,19.73,19.33,4602164,"2020-01-09, 06-00-00"
KIM,19.41,19.4,3180224,"2020-01-10, 06-00-00"
KIM,19.4,19.75,4959114,"2020-01-13, 06-00-00"
KIM,19.74,20.04,5203016,"2020-01-14, 06-00-00"
KIM,20.05,20.23,3201585,"2020-01-15, 06-00-00"
KIM,20.22,20.34,2396451,"2020-01-16, 06-00-00"
KIM,20.38,20.27,3327482,"2020-01-17, 06-00-00"
KIM,20.3,20.41,3489989,"2020-01-21, 06-00-00"
KIM,20.5,20.34,2674717,"2020-01-22, 06-00-00"
KIM,20.34,20.45,2131279,"2020-01-23, 06-00-00"
KIM,20.46,20.35,1945786,"2020-01-24, 06-00-00"
KIM,20.26,20.13,2298351,"2020-01-27, 06-00-00"
KIM,20.17,20.2,1935034,"2020-01-28, 06-00-00"
KIM,20.27,20.06,3096609,"2020-01-29, 06-00-00"
KIM,19.9,19.35,9892203,"2020-01-30, 06-00-00"
KIM,19.3,19.05,9109778,"2020-01-31, 06-00-00"
KIM,19.11,19.18,5319474,"2020-02-03, 06-00-00"
KIM,19.27,19.43,3480735,"2020-02-04, 06-00-00"
KIM,19.43,19.72,3691069,"2020-02-05, 06-00-00"
KIM,19.82,19.67,2406296,"2020-02-06, 06-00-00"
KIM,19.67,19.62,4201260,"2020-02-07, 06-00-00"
KIM,19.83,19.7,3954162,"2020-02-10, 06-00-00"
KIM,19.75,19.12,4255559,"2020-02-11, 06-00-00"
KIM,19.05,18.77,6732565,"2020-02-12, 06-00-00"
KIM,18.76,18.93,3111142,"2020-02-13, 06-00-00"
KIM,18.99,19.26,3157305,"2020-02-14, 06-00-00"
KIM,19.25,19.07,2623597,"2020-02-18, 06-00-00"
KIM,19.08,18.56,3098887,"2020-02-19, 06-00-00"
KIM,18.55,18.96,3191453,"2020-02-20, 06-00-00"
KIM,18.92,19.07,3001554,"2020-02-21, 06-00-00"
KIM,18.91,18.97,3861590,"2020-02-24, 06-00-00"
KIM,19.07,18.58,3887799,"2020-02-25, 06-00-00"
KIM,18.59,18.28,3828594,"2020-02-26, 06-00-00"
KIM,18.05,17.68,6147054,"2020-02-27, 06-00-00"
KIM,17.32,17.35,9435911,"2020-02-28, 06-00-00"
KIM,17.39,17.82,5957077,"2020-03-02, 06-00-00"
KIM,17.83,17.76,8309071,"2020-03-03, 06-00-00"
KIM,17.96,18.28,4390306,"2020-03-04, 06-00-00"
KIM,17.97,17.87,5061628,"2020-03-05, 06-00-00"
KIM,17.45,17.33,3610943,"2020-03-06, 06-00-00"
KIM,16.42,15.57,6040270,"2020-03-09, 05-00-00"
KIM,16.0,16.18,4885675,"2020-03-10, 05-00-00"
KIM,15.78,14.85,7932823,"2020-03-11, 05-00-00"
KIM,13.86,12.72,9752779,"2020-03-12, 05-00-00"
KIM,13.45,13.22,9039197,"2020-03-13, 05-00-00"
KIM,12.31,10.6,10840527,"2020-03-16, 05-00-00"
KIM,10.85,10.86,10354776,"2020-03-17, 05-00-00"
KIM,10.15,9.76,7871780,"2020-03-18, 05-00-00"
KIM,9.63,10.25,5697230,"2020-03-19, 05-00-00"
KIM,10.47,10.63,13813737,"2020-03-20, 05-00-00"
KIM,10.52,9.41,9990679,"2020-03-23, 05-00-00"
KIM,10.05,10.49,8134160,"2020-03-24, 05-00-00"
KIM,10.68,11.19,6815770,"2020-03-25, 05-00-00"
KIM,11.39,11.32,7089012,"2020-03-26, 05-00-00"
KIM,10.84,10.4,7074682,"2020-03-27, 05-00-00"
KIM,10.36,10.1,9412982,"2020-03-30, 05-00-00"
KIM,9.94,9.67,11181133,"2020-03-31, 05-00-00"
KIM,8.72,8.3,9015276,"2020-04-01, 05-00-00"
KIM,8.3,7.75,8732886,"2020-04-02, 05-00-00"
KIM,7.69,7.77,8405060,"2020-04-03, 05-00-00"
KIM,8.55,8.66,9092847,"2020-04-06, 05-00-00"
KIM,9.48,9.15,12017137,"2020-04-07, 05-00-00"
KIM,9.36,9.63,6226448,"2020-04-08, 05-00-00"
KIM,10.18,10.82,10279076,"2020-04-09, 05-00-00"
KIM,10.8,10.55,6093824,"2020-04-13, 05-00-00"
KIM,10.77,10.73,5605293,"2020-04-14, 05-00-00"
KIM,10.03,9.71,5323898,"2020-04-15, 05-00-00"
KIM,9.58,8.48,7247115,"2020-04-16, 05-00-00"
KIM,9.13,8.92,7354389,"2020-04-17, 05-00-00"
KIM,8.56,8.56,11069495,"2020-04-20, 05-00-00"
KIM,8.15,8.3,6075051,"2020-04-21, 05-00-00"
KIM,8.69,8.33,6526520,"2020-04-22, 05-00-00"
KIM,8.41,8.64,7400146,"2020-04-23, 05-00-00"
KIM,8.75,8.6,9553123,"2020-04-24, 05-00-00"
KIM,8.66,9.3,10851272,"2020-04-27, 05-00-00"
KIM,9.81,10.15,9221761,"2020-04-28, 05-00-00"
KIM,10.67,11.19,7488235,"2020-04-29, 05-00-00"
KIM,10.8,10.91,9007327,"2020-04-30, 05-00-00"
KIM,10.44,10.6,7635798,"2020-05-01, 05-00-00"
KIM,10.1,10.4,5524473,"2020-05-04, 05-00-00"
KIM,10.8,10.38,3661518,"2020-05-05, 05-00-00"
KIM,10.4,9.82,6161837,"2020-05-06, 05-00-00"
KIM,10.0,10.05,6184161,"2020-05-07, 05-00-00"
KIM,10.3,10.9,7995353,"2020-05-08, 05-00-00"
KIM,10.58,10.09,12131357,"2020-05-11, 05-00-00"
KIM,10.17,9.38,9376119,"2020-05-12, 05-00-00"
KIM,9.26,8.76,13396518,"2020-05-13, 05-00-00"
KIM,8.54,9.22,9649728,"2020-05-14, 05-00-00"
KIM,8.9,9.15,9746139,"2020-05-15, 05-00-00"
KIM,9.73,10.41,7103335,"2020-05-18, 05-00-00"
KIM,10.23,10.46,8218381,"2020-05-19, 05-00-00"
KIM,10.59,10.96,12312674,"2020-05-20, 05-00-00"
KIM,10.92,11.26,10145307,"2020-05-21, 05-00-00"
KIM,11.26,11.33,9396420,"2020-05-22, 05-00-00"
KIM,12.03,12.24,7553993,"2020-05-26, 05-00-00"
KIM,12.8,12.43,9095390,"2020-05-27, 05-00-00"
KIM,12.6,11.71,14658986,"2020-05-28, 05-00-00"
KIM,11.49,11.11,38668615,"2020-05-29, 05-00-00"
KIM,11.15,11.98,8213111,"2020-06-01, 05-00-00"
KIM,12.24,12.48,7177642,"2020-06-02, 05-00-00"
KIM,12.9,13.9,10540383,"2020-06-03, 05-00-00"
KIM,13.8,14.31,7499097,"2020-06-04, 05-00-00"
KIM,15.32,15.22,8813226,"2020-06-05, 05-00-00"
KIM,15.82,15.69,7750003,"2020-06-08, 05-00-00"
KIM,14.44,14.92,7228732,"2020-06-09, 05-00-00"
KIM,14.71,14.06,8064825,"2020-06-10, 05-00-00"
KIM,12.67,12.55,9753028,"2020-06-11, 05-00-00"
KIM,13.48,13.76,6724512,"2020-06-12, 05-00-00"
KIM,12.62,13.62,6630289,"2020-06-15, 05-00-00"
KIM,14.62,14.13,6376894,"2020-06-16, 05-00-00"
KIM,14.15,13.33,4260289,"2020-06-17, 05-00-00"
KIM,13.11,13.33,4610963,"2020-06-18, 05-00-00"
KIM,13.61,12.72,12156841,"2020-06-19, 05-00-00"
KIM,12.63,13.06,4770182,"2020-06-22, 05-00-00"
KIM,13.32,13.05,4625366,"2020-06-23, 05-00-00"
KIM,12.77,12.81,5392397,"2020-06-24, 05-00-00"
KIM,12.5,12.75,5812198,"2020-06-25, 05-00-00"
KIM,12.7,12.52,7351761,"2020-06-26, 05-00-00"
KIM,12.7,12.72,6410454,"2020-06-29, 05-00-00"
