symbol,open,close,volume,date
LCI,9.15,9.03,1006471,"2019-11-18, 06-00-00"
LCI,9.08,9.0,1015603,"2019-11-19, 06-00-00"
LCI,8.96,8.91,677470,"2019-11-20, 06-00-00"
LCI,8.85,8.84,739256,"2019-11-21, 06-00-00"
LCI,8.88,8.55,755742,"2019-11-22, 06-00-00"
LCI,8.64,9.16,989811,"2019-11-25, 06-00-00"
LCI,9.07,8.89,1232412,"2019-11-26, 06-00-00"
LCI,8.9,8.91,496771,"2019-11-27, 06-00-00"
LCI,8.85,8.82,216449,"2019-11-29, 06-00-00"
LCI,8.82,8.74,947752,"2019-12-02, 06-00-00"
LCI,8.61,8.86,984057,"2019-12-03, 06-00-00"
LCI,9.5,8.65,2699879,"2019-12-04, 06-00-00"
LCI,8.6,8.49,1263154,"2019-12-05, 06-00-00"
LCI,8.51,8.8,1090258,"2019-12-06, 06-00-00"
LCI,8.86,9.18,998223,"2019-12-09, 06-00-00"
LCI,9.18,8.86,1139313,"2019-12-10, 06-00-00"
LCI,8.88,8.77,596317,"2019-12-11, 06-00-00"
LCI,8.8,9.16,1179534,"2019-12-12, 06-00-00"
LCI,9.2,9.01,659479,"2019-12-13, 06-00-00"
LCI,9.08,9.16,527837,"2019-12-16, 06-00-00"
LCI,9.15,9.14,492341,"2019-12-17, 06-00-00"
LCI,9.14,9.11,476622,"2019-12-18, 06-00-00"
LCI,9.24,9.13,1151106,"2019-12-19, 06-00-00"
LCI,9.18,9.14,1063870,"2019-12-20, 06-00-00"
LCI,9.15,9.04,783297,"2019-12-23, 06-00-00"
LCI,9.05,9.08,315319,"2019-12-24, 06-00-00"
LCI,9.09,9.1,578556,"2019-12-26, 06-00-00"
LCI,9.1,8.62,835895,"2019-12-27, 06-00-00"
LCI,8.66,8.5,634318,"2019-12-30, 06-00-00"
LCI,8.47,8.82,1199820,"2019-12-31, 06-00-00"
LCI,8.87,8.73,798589,"2020-01-02, 06-00-00"
LCI,8.58,8.48,556078,"2020-01-03, 06-00-00"
LCI,8.41,8.17,1114729,"2020-01-06, 06-00-00"
LCI,8.14,7.94,746532,"2020-01-07, 06-00-00"
LCI,7.9,8.07,702747,"2020-01-08, 06-00-00"
LCI,8.13,8.21,770705,"2020-01-09, 06-00-00"
LCI,8.2,8.24,659002,"2020-01-10, 06-00-00"
LCI,8.49,8.41,1774298,"2020-01-13, 06-00-00"
LCI,8.4,9.14,1188782,"2020-01-14, 06-00-00"
LCI,9.14,9.39,997424,"2020-01-15, 06-00-00"
LCI,9.49,10.05,1129805,"2020-01-16, 06-00-00"
LCI,10.15,9.75,1294412,"2020-01-17, 06-00-00"
LCI,9.56,9.5,1012038,"2020-01-21, 06-00-00"
LCI,9.54,9.61,403587,"2020-01-22, 06-00-00"
LCI,9.58,9.8,444968,"2020-01-23, 06-00-00"
LCI,9.9,8.95,1613577,"2020-01-24, 06-00-00"
LCI,8.74,8.75,707024,"2020-01-27, 06-00-00"
LCI,8.85,8.8,881287,"2020-01-28, 06-00-00"
LCI,8.83,8.61,1082317,"2020-01-29, 06-00-00"
LCI,8.59,8.42,663037,"2020-01-30, 06-00-00"
LCI,8.37,8.14,768983,"2020-01-31, 06-00-00"
LCI,8.19,8.52,1000068,"2020-02-03, 06-00-00"
LCI,8.67,8.57,688387,"2020-02-04, 06-00-00"
LCI,8.66,8.92,1337550,"2020-02-05, 06-00-00"
LCI,8.14,8.65,1713392,"2020-02-06, 06-00-00"
LCI,8.58,9.06,1024940,"2020-02-07, 06-00-00"
LCI,9.04,9.02,627134,"2020-02-10, 06-00-00"
LCI,9.07,8.8,634179,"2020-02-11, 06-00-00"
LCI,8.8,8.98,558689,"2020-02-12, 06-00-00"
LCI,8.97,8.96,524029,"2020-02-13, 06-00-00"
LCI,8.93,9.1,432788,"2020-02-14, 06-00-00"
LCI,9.06,9.06,437715,"2020-02-18, 06-00-00"
LCI,9.11,9.28,586807,"2020-02-19, 06-00-00"
LCI,9.28,9.35,629110,"2020-02-20, 06-00-00"
LCI,9.34,9.14,598139,"2020-02-21, 06-00-00"
LCI,8.8,9.37,1210817,"2020-02-24, 06-00-00"
LCI,9.49,9.0,871856,"2020-02-25, 06-00-00"
LCI,9.03,9.0,851467,"2020-02-26, 06-00-00"
LCI,8.62,8.76,1485268,"2020-02-27, 06-00-00"
LCI,8.45,8.7,731116,"2020-02-28, 06-00-00"
LCI,8.8,8.48,751604,"2020-03-02, 06-00-00"
LCI,8.5,8.37,679680,"2020-03-03, 06-00-00"
LCI,8.45,8.71,378091,"2020-03-04, 06-00-00"
LCI,8.52,8.39,419318,"2020-03-05, 06-00-00"
LCI,8.17,7.81,769649,"2020-03-06, 06-00-00"
LCI,7.3,7.53,512358,"2020-03-09, 05-00-00"
LCI,7.66,7.72,602853,"2020-03-10, 05-00-00"
LCI,7.53,7.74,673153,"2020-03-11, 05-00-00"
LCI,7.01,6.36,771924,"2020-03-12, 05-00-00"
LCI,6.79,6.67,728288,"2020-03-13, 05-00-00"
LCI,6.17,7.21,1010760,"2020-03-16, 05-00-00"
LCI,7.39,7.99,1324759,"2020-03-17, 05-00-00"
LCI,7.64,7.18,687390,"2020-03-18, 05-00-00"
LCI,7.1,7.02,821158,"2020-03-19, 05-00-00"
LCI,7.13,7.33,996445,"2020-03-20, 05-00-00"
LCI,7.36,7.17,667128,"2020-03-23, 05-00-00"
LCI,7.5,7.39,814555,"2020-03-24, 05-00-00"
LCI,7.47,7.12,603096,"2020-03-25, 05-00-00"
LCI,7.13,7.22,523057,"2020-03-26, 05-00-00"
LCI,7.03,7.25,508603,"2020-03-27, 05-00-00"
LCI,7.25,7.53,632063,"2020-03-30, 05-00-00"
LCI,7.53,6.95,831246,"2020-03-31, 05-00-00"
LCI,6.78,6.43,595406,"2020-04-01, 05-00-00"
LCI,6.27,6.63,397962,"2020-04-02, 05-00-00"
LCI,6.63,7.06,495584,"2020-04-03, 05-00-00"
LCI,7.32,7.29,470886,"2020-04-06, 05-00-00"
LCI,7.47,7.16,490847,"2020-04-07, 05-00-00"
LCI,7.29,7.33,394315,"2020-04-08, 05-00-00"
LCI,7.54,8.04,549097,"2020-04-09, 05-00-00"
LCI,8.1,7.9,918980,"2020-04-13, 05-00-00"
LCI,8.11,7.91,401916,"2020-04-14, 05-00-00"
