symbol,open,close,high,low,volume,date
LDP,25.81,26.2,26.2,25.8,75133,"2019-11-18, 06-00-00"
LDP,26.2,26.37,26.467,26.06,85795,"2019-11-19, 06-00-00"
LDP,26.44,26.25,26.46,26.082,95226,"2019-11-20, 06-00-00"
LDP,26.28,25.87,26.37,25.8,50986,"2019-11-21, 06-00-00"
LDP,25.9,25.98,26.08,25.81,51072,"2019-11-22, 06-00-00"
LDP,26.07,26.19,26.23,26.0529,61805,"2019-11-25, 06-00-00"
LDP,26.19,26.2,26.49,26.17,74471,"2019-11-26, 06-00-00"
LDP,26.32,26.09,26.37,25.93,72179,"2019-11-27, 06-00-00"
LDP,26.09,26.32,26.3209,26.045,21674,"2019-11-29, 06-00-00"
LDP,26.35,26.39,26.4898,26.19,62402,"2019-12-02, 06-00-00"
LDP,26.33,26.48,26.63,26.24,117071,"2019-12-03, 06-00-00"
LDP,26.5,26.63,26.69,26.41,77789,"2019-12-04, 06-00-00"
LDP,26.59,26.65,26.81,26.23,88448,"2019-12-05, 06-00-00"
LDP,26.67,26.82,26.958,26.5707,64350,"2019-12-06, 06-00-00"
LDP,26.82,27.09,27.14,26.78,65200,"2019-12-09, 06-00-00"
LDP,27.02,26.67,27.07,26.61,61403,"2019-12-10, 06-00-00"
LDP,26.72,26.6,26.8016,26.51,46401,"2019-12-11, 06-00-00"
LDP,26.6,26.37,26.614,26.07,103967,"2019-12-12, 06-00-00"
LDP,26.22,26.31,26.4012,26.22,46631,"2019-12-13, 06-00-00"
LDP,26.51,26.61,26.65,26.4,40845,"2019-12-16, 06-00-00"
LDP,26.49,26.22,26.57,26.1701,70312,"2019-12-17, 06-00-00"
LDP,26.22,26.15,26.22,26.1,69318,"2019-12-18, 06-00-00"
LDP,26.25,26.27,26.75,26.16,105957,"2019-12-19, 06-00-00"
LDP,26.25,26.58,26.58,26.2483,62908,"2019-12-20, 06-00-00"
LDP,26.57,27.03,27.03,26.34,108606,"2019-12-23, 06-00-00"
