symbol,open,close,high,low,volume,date
MODN,31.33,31.33,31.48,30.94,270545,"2019-11-18, 06-00-00"
MODN,31.37,30.91,31.37,30.81,167133,"2019-11-19, 06-00-00"
MODN,30.84,31.0,31.23,30.5,227111,"2019-11-20, 06-00-00"
MODN,31.0,30.24,31.04,30.07,186122,"2019-11-21, 06-00-00"
MODN,30.36,29.54,30.47,29.44,212296,"2019-11-22, 06-00-00"
MODN,29.64,30.56,30.73,29.64,235124,"2019-11-25, 06-00-00"
MODN,30.44,30.89,30.94,30.44,186983,"2019-11-26, 06-00-00"
MODN,30.95,30.62,30.95,30.42,150639,"2019-11-27, 06-00-00"
MODN,30.4,30.42,30.77,30.14,84430,"2019-11-29, 06-00-00"
MODN,30.4,29.98,30.4,29.33,260052,"2019-12-02, 06-00-00"
MODN,29.56,29.55,29.81,29.29,364370,"2019-12-03, 06-00-00"
MODN,29.7,29.46,29.88,29.42,233563,"2019-12-04, 06-00-00"
MODN,29.55,29.93,30.04,29.55,172372,"2019-12-05, 06-00-00"
MODN,30.15,30.6,30.66,29.9811,210415,"2019-12-06, 06-00-00"
MODN,30.52,30.52,30.805,30.32,173662,"2019-12-09, 06-00-00"
MODN,30.43,30.23,30.62,30.06,214786,"2019-12-10, 06-00-00"
MODN,30.93,30.35,30.93,30.06,207068,"2019-12-11, 06-00-00"
MODN,30.96,32.73,32.9,30.75,660998,"2019-12-12, 06-00-00"
MODN,32.72,32.78,32.83,32.3,378527,"2019-12-13, 06-00-00"
MODN,32.96,34.25,34.26,32.82,667725,"2019-12-16, 06-00-00"
MODN,34.09,34.75,34.77,33.66,744770,"2019-12-17, 06-00-00"
MODN,34.86,35.0,35.05,34.48,737245,"2019-12-18, 06-00-00"
MODN,34.75,34.25,35.05,33.85,411990,"2019-12-19, 06-00-00"
MODN,34.67,35.23,35.365,34.43,556262,"2019-12-20, 06-00-00"
MODN,35.23,35.29,35.3,34.62,199323,"2019-12-23, 06-00-00"
MODN,35.39,35.36,35.45,35.06,119390,"2019-12-24, 06-00-00"
MODN,35.61,35.68,35.83,35.53,108915,"2019-12-26, 06-00-00"
MODN,35.84,35.48,35.84,35.35,147711,"2019-12-27, 06-00-00"
MODN,35.46,35.31,35.46,34.7,216937,"2019-12-30, 06-00-00"
MODN,35.2,35.07,35.675,34.92,269828,"2019-12-31, 06-00-00"
MODN,35.19,35.09,35.77,34.95,312050,"2020-01-02, 06-00-00"
MODN,34.66,35.0,35.25,34.65,299914,"2020-01-03, 06-00-00"
MODN,34.69,35.06,35.1981,34.69,264952,"2020-01-06, 06-00-00"
MODN,35.05,34.43,35.1,34.35,270625,"2020-01-07, 06-00-00"
MODN,34.47,33.98,34.6062,33.93,334260,"2020-01-08, 06-00-00"
MODN,34.26,34.31,34.6,34.08,426671,"2020-01-09, 06-00-00"
MODN,34.31,33.82,34.5,33.77,204081,"2020-01-10, 06-00-00"
MODN,33.91,34.2,34.38,33.7,331294,"2020-01-13, 06-00-00"
MODN,34.35,34.01,34.5,33.78,204414,"2020-01-14, 06-00-00"
MODN,33.96,34.01,34.15,33.81,196355,"2020-01-15, 06-00-00"
MODN,34.21,34.22,34.77,34.01,204586,"2020-01-16, 06-00-00"
MODN,34.47,33.78,34.47,33.76,158639,"2020-01-17, 06-00-00"
MODN,33.73,33.29,34.0,33.13,249406,"2020-01-21, 06-00-00"
MODN,33.3,33.05,33.6,33.02,210344,"2020-01-22, 06-00-00"
MODN,33.0,32.89,33.03,32.54,356987,"2020-01-23, 06-00-00"
MODN,33.04,32.83,33.7,32.7101,195190,"2020-01-24, 06-00-00"
MODN,32.22,31.63,32.59,31.57,231816,"2020-01-27, 06-00-00"
MODN,31.89,31.6,31.89,31.44,275896,"2020-01-28, 06-00-00"
MODN,31.68,31.14,31.84,31.13,171095,"2020-01-29, 06-00-00"
MODN,31.0,31.11,31.41,30.38,370230,"2020-01-30, 06-00-00"
MODN,31.0,31.19,31.32,30.98,514804,"2020-01-31, 06-00-00"
MODN,31.35,31.05,31.55,31.04,233692,"2020-02-03, 06-00-00"
MODN,31.33,31.84,32.1416,31.17,483760,"2020-02-04, 06-00-00"
MODN,32.89,31.42,34.21,31.31,676830,"2020-02-05, 06-00-00"
MODN,31.69,31.24,31.79,30.9439,443908,"2020-02-06, 06-00-00"
MODN,31.23,31.6,31.85,31.09,315393,"2020-02-07, 06-00-00"
MODN,31.44,32.15,32.17,31.44,231104,"2020-02-10, 06-00-00"
MODN,32.3,33.47,33.5,32.15,559728,"2020-02-11, 06-00-00"
MODN,33.55,33.75,33.76,33.1,477270,"2020-02-12, 06-00-00"
MODN,33.41,34.6,34.82,33.39,506843,"2020-02-13, 06-00-00"
MODN,34.63,34.64,35.7,34.51,545708,"2020-02-14, 06-00-00"
MODN,34.62,33.03,34.62,32.31,578489,"2020-02-18, 06-00-00"
MODN,33.41,34.26,34.63,33.41,545222,"2020-02-19, 06-00-00"
MODN,34.1,33.47,34.75,33.2,427491,"2020-02-20, 06-00-00"
MODN,33.4,32.26,33.4,32.22,217627,"2020-02-21, 06-00-00"
MODN,31.26,31.33,31.73,30.8,251541,"2020-02-24, 06-00-00"
MODN,31.49,30.09,31.59,30.02,443217,"2020-02-25, 06-00-00"
MODN,30.05,30.15,30.99,29.88,336302,"2020-02-26, 06-00-00"
MODN,29.3,29.09,29.83,28.4501,506409,"2020-02-27, 06-00-00"
MODN,28.09,29.0,29.09,27.63,506206,"2020-02-28, 06-00-00"
MODN,29.18,29.83,29.96,28.77,332411,"2020-03-02, 06-00-00"
MODN,29.87,28.9,30.03,28.5,286183,"2020-03-03, 06-00-00"
MODN,29.45,29.37,29.49,28.5,248157,"2020-03-04, 06-00-00"
MODN,28.65,27.93,29.05,27.41,333076,"2020-03-05, 06-00-00"
MODN,26.93,27.29,27.37,26.245,353630,"2020-03-06, 06-00-00"
MODN,26.29,24.77,26.29,24.55,343735,"2020-03-09, 05-00-00"
MODN,25.47,25.57,25.85,24.41,241717,"2020-03-10, 05-00-00"
MODN,24.91,23.28,25.15,22.6,345007,"2020-03-11, 05-00-00"
MODN,21.67,21.3,22.73,20.49,496833,"2020-03-12, 05-00-00"
MODN,22.3,21.95,22.6,20.46,618922,"2020-03-13, 05-00-00"
MODN,19.83,18.11,20.425,17.815,406789,"2020-03-16, 05-00-00"
MODN,18.49,19.02,19.1845,16.33,763810,"2020-03-17, 05-00-00"
MODN,17.11,16.14,17.96,15.0,731479,"2020-03-18, 05-00-00"
MODN,16.02,17.5,18.185,15.825,505824,"2020-03-19, 05-00-00"
MODN,18.0,18.38,18.75,17.15,694846,"2020-03-20, 05-00-00"
MODN,18.24,18.71,18.95,17.33,342761,"2020-03-23, 05-00-00"
MODN,19.21,21.06,21.06,18.71,421806,"2020-03-24, 05-00-00"
MODN,21.06,21.95,22.4497,20.72,478541,"2020-03-25, 05-00-00"
MODN,22.01,23.27,23.5,21.73,383769,"2020-03-26, 05-00-00"
MODN,22.47,22.92,23.43,21.83,389141,"2020-03-27, 05-00-00"
MODN,23.1,22.62,23.69,22.17,278141,"2020-03-30, 05-00-00"
MODN,22.55,22.21,22.64,21.57,409203,"2020-03-31, 05-00-00"
MODN,21.14,20.39,21.56,20.16,207023,"2020-04-01, 05-00-00"
MODN,20.32,20.49,20.6,19.92,259751,"2020-04-02, 05-00-00"
MODN,20.11,19.96,20.33,19.64,386795,"2020-04-03, 05-00-00"
MODN,20.96,21.16,21.73,20.61,390501,"2020-04-06, 05-00-00"
MODN,21.89,22.51,22.97,21.89,310515,"2020-04-07, 05-00-00"
MODN,22.93,22.89,23.455,22.54,257955,"2020-04-08, 05-00-00"
MODN,23.59,23.46,23.92,23.01,175460,"2020-04-09, 05-00-00"
MODN,23.11,23.29,23.39,22.38,247689,"2020-04-13, 05-00-00"
MODN,23.92,24.68,24.99,23.8,214528,"2020-04-14, 05-00-00"
MODN,23.82,24.35,24.55,23.2766,230757,"2020-04-15, 05-00-00"
MODN,24.3,24.9,25.04,24.24,263889,"2020-04-16, 05-00-00"
MODN,25.62,25.48,25.6499,25.02,169629,"2020-04-17, 05-00-00"
MODN,25.18,25.42,25.87,25.08,225717,"2020-04-20, 05-00-00"
MODN,24.8,24.76,25.41,24.39,256302,"2020-04-21, 05-00-00"
MODN,25.56,25.53,25.78,25.36,184966,"2020-04-22, 05-00-00"
MODN,25.56,25.41,26.01,25.39,154390,"2020-04-23, 05-00-00"
MODN,25.52,25.66,25.725,24.995,112616,"2020-04-24, 05-00-00"
MODN,25.88,26.41,26.72,25.78,224648,"2020-04-27, 05-00-00"
MODN,27.05,26.85,27.38,26.56,147391,"2020-04-28, 05-00-00"
MODN,29.29,29.35,29.3899,28.22,252240,"2020-04-29, 05-00-00"
MODN,29.35,28.86,29.46,28.6398,264255,"2020-04-30, 05-00-00"
MODN,28.14,28.05,28.39,27.17,377181,"2020-05-01, 05-00-00"
MODN,27.64,27.54,28.45,27.36,275083,"2020-05-04, 05-00-00"
MODN,27.89,27.48,29.045,27.33,301080,"2020-05-05, 05-00-00"
MODN,29.0,32.09,33.5987,28.8,718041,"2020-05-06, 05-00-00"
MODN,32.96,31.45,32.98,31.375,386591,"2020-05-07, 05-00-00"
MODN,31.9,31.84,32.335,31.12,303097,"2020-05-08, 05-00-00"
