symbol,open,close,volume,date
MSD,9.48,9.41,70191,"2019-11-18, 06-00-00"
MSD,9.44,9.46,77564,"2019-11-19, 06-00-00"
MSD,9.46,9.45,55138,"2019-11-20, 06-00-00"
MSD,9.44,9.45,34486,"2019-11-21, 06-00-00"
MSD,9.47,9.48,65748,"2019-11-22, 06-00-00"
MSD,9.48,9.52,60597,"2019-11-25, 06-00-00"
MSD,9.5,9.5,46422,"2019-11-26, 06-00-00"
MSD,9.52,9.51,34067,"2019-11-27, 06-00-00"
MSD,9.5,9.53,21588,"2019-11-29, 06-00-00"
MSD,9.54,9.41,69432,"2019-12-02, 06-00-00"
MSD,9.44,9.48,64630,"2019-12-03, 06-00-00"
MSD,9.46,9.52,50117,"2019-12-04, 06-00-00"
MSD,9.49,9.52,47964,"2019-12-05, 06-00-00"
MSD,9.49,9.54,58999,"2019-12-06, 06-00-00"
MSD,9.5,9.58,93656,"2019-12-09, 06-00-00"
MSD,9.6,9.61,74296,"2019-12-10, 06-00-00"
MSD,9.62,9.66,41281,"2019-12-11, 06-00-00"
MSD,9.66,9.69,70217,"2019-12-12, 06-00-00"
MSD,9.71,9.7,41929,"2019-12-13, 06-00-00"
MSD,9.82,9.77,92733,"2019-12-16, 06-00-00"
MSD,9.8,9.73,66832,"2019-12-17, 06-00-00"
MSD,9.76,9.72,52126,"2019-12-18, 06-00-00"
MSD,9.56,9.63,98845,"2019-12-19, 06-00-00"
MSD,9.61,9.65,37703,"2019-12-20, 06-00-00"
MSD,9.68,9.62,67647,"2019-12-23, 06-00-00"
MSD,9.65,9.67,21749,"2019-12-24, 06-00-00"
MSD,9.65,9.67,44911,"2019-12-26, 06-00-00"
MSD,9.68,9.67,43431,"2019-12-27, 06-00-00"
MSD,9.67,9.65,40024,"2019-12-30, 06-00-00"
MSD,9.61,9.68,107299,"2019-12-31, 06-00-00"
MSD,9.71,9.65,44089,"2020-01-02, 06-00-00"
MSD,9.65,9.72,101968,"2020-01-03, 06-00-00"
MSD,9.72,9.77,99689,"2020-01-06, 06-00-00"
MSD,9.79,9.76,83162,"2020-01-07, 06-00-00"
MSD,9.78,9.77,62580,"2020-01-08, 06-00-00"
MSD,9.78,9.71,126021,"2020-01-09, 06-00-00"
MSD,9.71,9.67,101653,"2020-01-10, 06-00-00"
MSD,9.68,9.67,116628,"2020-01-13, 06-00-00"
MSD,9.67,9.74,99112,"2020-01-14, 06-00-00"
MSD,9.74,9.78,101900,"2020-01-15, 06-00-00"
MSD,9.78,9.76,162976,"2020-01-16, 06-00-00"
MSD,9.76,9.73,60249,"2020-01-17, 06-00-00"
MSD,9.75,9.76,79048,"2020-01-21, 06-00-00"
MSD,9.8,9.77,99357,"2020-01-22, 06-00-00"
MSD,9.79,9.82,54600,"2020-01-23, 06-00-00"
MSD,9.85,9.84,183601,"2020-01-24, 06-00-00"
MSD,9.83,9.77,95654,"2020-01-27, 06-00-00"
MSD,9.76,9.79,45283,"2020-01-28, 06-00-00"
MSD,9.79,9.84,61110,"2020-01-29, 06-00-00"
MSD,9.84,9.84,43277,"2020-01-30, 06-00-00"
MSD,9.84,9.81,47411,"2020-01-31, 06-00-00"
MSD,9.8,9.81,54412,"2020-02-03, 06-00-00"
MSD,9.87,9.86,67349,"2020-02-04, 06-00-00"
MSD,9.89,9.88,45420,"2020-02-05, 06-00-00"
MSD,9.89,9.94,29762,"2020-02-06, 06-00-00"
MSD,9.94,9.94,69589,"2020-02-07, 06-00-00"
MSD,9.94,9.93,66173,"2020-02-10, 06-00-00"
MSD,9.92,9.9,55766,"2020-02-11, 06-00-00"
MSD,9.92,9.87,60230,"2020-02-12, 06-00-00"
MSD,9.87,9.8,77191,"2020-02-13, 06-00-00"
MSD,9.83,9.81,35806,"2020-02-14, 06-00-00"
MSD,9.84,9.86,52923,"2020-02-18, 06-00-00"
MSD,9.88,9.95,89584,"2020-02-19, 06-00-00"
MSD,9.96,10.0,96994,"2020-02-20, 06-00-00"
MSD,9.99,9.98,41919,"2020-02-21, 06-00-00"
MSD,9.95,9.85,97592,"2020-02-24, 06-00-00"
MSD,9.87,9.7,99682,"2020-02-25, 06-00-00"
MSD,9.7,9.67,118760,"2020-02-26, 06-00-00"
MSD,9.57,9.41,173557,"2020-02-27, 06-00-00"
MSD,9.25,9.3,218086,"2020-02-28, 06-00-00"
MSD,9.31,9.4,123292,"2020-03-02, 06-00-00"
MSD,9.44,9.57,125684,"2020-03-03, 06-00-00"
MSD,9.6,9.74,88427,"2020-03-04, 06-00-00"
MSD,9.69,9.64,138521,"2020-03-05, 06-00-00"
MSD,9.52,9.66,279685,"2020-03-06, 06-00-00"
MSD,9.32,8.78,234828,"2020-03-09, 05-00-00"
MSD,8.94,9.07,281171,"2020-03-10, 05-00-00"
MSD,8.89,8.66,134664,"2020-03-11, 05-00-00"
MSD,7.22,8.0998,385560,"2020-03-12, 05-00-00"
MSD,8.22,8.23,109348,"2020-03-13, 05-00-00"
MSD,7.9,7.5,176994,"2020-03-16, 05-00-00"
MSD,7.4,7.43,192712,"2020-03-17, 05-00-00"
MSD,6.99,6.25,586186,"2020-03-18, 05-00-00"
MSD,6.14,6.89,307036,"2020-03-19, 05-00-00"
MSD,6.97,7.33,205401,"2020-03-20, 05-00-00"
MSD,6.83,6.8,216001,"2020-03-23, 05-00-00"
MSD,6.95,7.12,215568,"2020-03-24, 05-00-00"
MSD,7.34,7.49,147393,"2020-03-25, 05-00-00"
MSD,7.63,7.9,372072,"2020-03-26, 05-00-00"
MSD,7.8,7.66,210194,"2020-03-27, 05-00-00"
MSD,7.5,7.49,150690,"2020-03-30, 05-00-00"
