symbol,open,close,high,low,volume,date
MS,25.52,25.57,26.16,25.49,11625778,2010-11-18
MS,25.48,25.62,25.84,25.45,10119579,2010-11-19
MS,25.37,25.06,25.39,24.69,16676954,2010-11-22
MS,24.76,24.66,24.99,24.65,12936467,2010-11-23
MS,24.89,25.15,25.17,24.77,10511449,2010-11-24
MS,24.83,24.7,24.88,24.68,4967713,2010-11-26
MS,24.57,24.92,25.0,24.42,9641748,2010-11-29
MS,24.55,24.46,24.77,24.37,11776241,2010-11-30
MS,24.82,24.92,25.11,24.73,13968970,2010-12-01
MS,25.07,25.61,26.05,25.0,18415280,2010-12-02
MS,25.35,25.64,25.73,25.2,10969769,2010-12-03
MS,25.52,25.54,25.8,25.42,6505107,2010-12-06
MS,25.91,25.66,26.26,25.64,15852163,2010-12-07
MS,25.68,26.47,26.66,25.655,15079942,2010-12-08
MS,26.53,26.71,26.71,26.18,14200506,2010-12-09
MS,26.7,26.95,27.035,26.52,11224441,2010-12-10
MS,27.15,26.94,27.19,26.9,9370640,2010-12-13
MS,26.83,26.63,27.05,26.55,10328621,2010-12-14
MS,26.5,26.2,26.7,26.07,12584140,2010-12-15
MS,26.19,26.01,26.38,25.89,13283599,2010-12-16
MS,25.87,26.24,26.52,25.56,20300582,2010-12-17
MS,26.27,26.26,26.395,26.15,8966073,2010-12-20
MS,26.39,26.86,26.9581,26.2,13912424,2010-12-21
MS,26.95,27.4,27.43,26.82,14121763,2010-12-22
MS,27.36,27.41,27.49,27.212,7213521,2010-12-23
MS,27.25,27.51,27.54,27.14,5368261,2010-12-27
MS,27.6,27.66,27.77,27.47,6794756,2010-12-28
MS,27.46,27.28,27.58,27.23,6921408,2010-12-29
MS,27.27,27.33,27.45,27.08,6618485,2010-12-30
MS,27.22,27.21,27.34,27.12,6643202,2010-12-31
MS,27.63,28.23,28.57,27.48,21180634,2011-01-03
MS,28.46,28.47,28.495,28.0,12860595,2011-01-04
MS,28.36,28.83,28.83,28.3,15101028,2011-01-05
MS,28.85,28.8,28.98,28.58,13208240,2011-01-06
MS,28.84,28.2,28.89,28.0,17522257,2011-01-07
MS,28.13,28.05,28.15,27.63,15193115,2011-01-10
MS,28.31,27.96,28.47,27.8,11189830,2011-01-11
MS,28.22,28.71,28.72,28.13,13444527,2011-01-12
MS,28.67,28.3,28.75,28.25,13361237,2011-01-13
MS,28.21,28.98,29.17,28.21,14751975,2011-01-14
MS,28.95,28.75,28.98,28.5,12169754,2011-01-18
MS,28.49,27.75,28.5,27.57,21726049,2011-01-19
MS,28.33,29.02,29.18,27.59,34556513,2011-01-20
MS,29.35,30.01,30.25,29.31,35955843,2011-01-21
MS,29.44,29.75,29.99,29.4,16702570,2011-01-24
MS,29.46,29.34,29.62,28.8601,14148038,2011-01-25
MS,29.15,29.01,29.4,28.79,15477065,2011-01-26
MS,28.95,29.85,29.88,28.8395,16615785,2011-01-27
MS,29.7,29.04,30.0,28.96,16790422,2011-01-28
MS,29.0,29.4,29.46,28.75,13164121,2011-01-31
MS,29.54,29.92,30.07,29.47,11630076,2011-02-01
MS,29.8,29.66,30.01,29.58,9230246,2011-02-02
MS,29.67,29.81,29.87,29.1,8569243,2011-02-03
MS,29.75,29.85,29.86,29.5,9134717,2011-02-04
MS,29.99,30.42,30.61,29.89,11387710,2011-02-07
MS,30.4,30.64,30.87,30.28,13042695,2011-02-08
MS,30.39,30.08,30.44,29.65,16429302,2011-02-09
MS,29.92,29.73,30.2,29.5,12861573,2011-02-10
MS,29.64,30.16,30.24,29.54,10008038,2011-02-11
MS,29.99,29.98,30.15,29.88,7959389,2011-02-14
MS,29.83,30.32,30.45,29.83,10198266,2011-02-15
MS,30.41,30.71,30.84,30.4,9820758,2011-02-16
MS,30.28,30.69,30.75,30.28,6817190,2011-02-17
MS,30.7,30.99,31.04,30.69,10898695,2011-02-18
MS,30.18,29.52,30.3,29.42,12649764,2011-02-22
MS,29.62,29.65,29.96,29.11,10941712,2011-02-23
MS,29.54,29.49,29.57,28.865,13455104,2011-02-24
MS,29.68,29.87,30.02,29.57,8521364,2011-02-25
MS,29.97,29.68,30.04,29.4,12199408,2011-02-28
MS,29.69,28.82,29.78,28.82,12572391,2011-03-01
MS,28.82,28.97,29.25,28.66,9040248,2011-03-02
MS,29.29,29.31,29.56,29.18,9746424,2011-03-03
MS,29.05,28.44,29.08,28.12,18898067,2011-03-04
MS,28.52,28.32,28.67,28.05,12370373,2011-03-07
MS,28.43,28.8,28.97,28.32,10984332,2011-03-08
MS,28.73,28.72,28.915,28.48,8497173,2011-03-09
MS,28.33,28.07,28.43,27.95,11353411,2011-03-10
MS,28.04,28.34,28.4,28.0,7066623,2011-03-11
MS,28.04,27.91,28.16,27.67,10285129,2011-03-14
MS,27.28,27.65,27.86,26.98,14818140,2011-03-15
MS,27.68,27.11,27.76,26.7,18546737,2011-03-16
MS,27.48,27.45,27.59,27.05,12814354,2011-03-17
MS,27.47,27.43,27.865,27.26,17699883,2011-03-18
MS,27.82,27.79,27.975,27.67,7915412,2011-03-21
MS,27.82,27.76,28.2,27.74,8114267,2011-03-22
MS,27.51,27.57,27.64,27.1,12976762,2011-03-23
MS,27.65,27.61,27.72,27.37,10205086,2011-03-24
MS,27.67,27.13,27.7,27.08,12695403,2011-03-25
MS,27.15,27.18,27.46,27.13,6424724,2011-03-28
