symbol,open,close,volume,date
MUC,13.95,13.93,63106,"2019-11-18, 06-00-00"
MUC,13.91,13.98,32515,"2019-11-19, 06-00-00"
MUC,14.01,14.07,44881,"2019-11-20, 06-00-00"
MUC,14.1,13.94,69182,"2019-11-21, 06-00-00"
MUC,13.96,13.92,64009,"2019-11-22, 06-00-00"
MUC,13.92,14.04,103125,"2019-11-25, 06-00-00"
MUC,14.03,14.0,72246,"2019-11-26, 06-00-00"
MUC,13.97,13.93,52229,"2019-11-27, 06-00-00"
MUC,13.91,13.94,27638,"2019-11-29, 06-00-00"
MUC,13.92,13.88,74683,"2019-12-02, 06-00-00"
MUC,13.89,13.91,116655,"2019-12-03, 06-00-00"
MUC,13.9,13.92,99251,"2019-12-04, 06-00-00"
MUC,13.92,13.98,57935,"2019-12-05, 06-00-00"
MUC,13.98,14.02,102577,"2019-12-06, 06-00-00"
MUC,14.04,14.05,77277,"2019-12-09, 06-00-00"
MUC,14.04,14.09,69243,"2019-12-10, 06-00-00"
MUC,14.06,14.03,101223,"2019-12-11, 06-00-00"
MUC,14.04,13.98,56777,"2019-12-12, 06-00-00"
MUC,13.97,13.93,109083,"2019-12-13, 06-00-00"
MUC,13.91,13.88,59092,"2019-12-16, 06-00-00"
MUC,13.91,13.86,162195,"2019-12-17, 06-00-00"
MUC,13.82,13.84,187461,"2019-12-18, 06-00-00"
MUC,13.84,13.87,157447,"2019-12-19, 06-00-00"
MUC,13.87,13.95,106433,"2019-12-20, 06-00-00"
MUC,13.96,13.95,105267,"2019-12-23, 06-00-00"
MUC,13.96,13.93,30275,"2019-12-24, 06-00-00"
MUC,13.98,13.92,103348,"2019-12-26, 06-00-00"
MUC,13.93,13.98,84535,"2019-12-27, 06-00-00"
MUC,13.93,13.92,241166,"2019-12-30, 06-00-00"
MUC,13.92,13.99,91200,"2019-12-31, 06-00-00"
MUC,13.99,14.06,110640,"2020-01-02, 06-00-00"
MUC,14.08,14.14,84507,"2020-01-03, 06-00-00"
MUC,14.16,14.17,61802,"2020-01-06, 06-00-00"
MUC,14.18,14.22,60130,"2020-01-07, 06-00-00"
MUC,14.23,14.26,151056,"2020-01-08, 06-00-00"
MUC,14.23,14.21,137932,"2020-01-09, 06-00-00"
MUC,14.22,14.23,30524,"2020-01-10, 06-00-00"
