symbol,open,close,volume,date
NEU,500.06,498.16,29968,"2019-11-18, 06-00-00"
NEU,498.28,497.6,36594,"2019-11-19, 06-00-00"
NEU,497.12,498.67,61461,"2019-11-20, 06-00-00"
NEU,498.15,490.75,27737,"2019-11-21, 06-00-00"
NEU,490.5,489.89,26584,"2019-11-22, 06-00-00"
NEU,490.0,489.1,26947,"2019-11-25, 06-00-00"
NEU,489.96,490.0,37978,"2019-11-26, 06-00-00"
NEU,493.21,490.0,39901,"2019-11-27, 06-00-00"
NEU,493.34,493.97,14318,"2019-11-29, 06-00-00"
NEU,490.0,486.52,34378,"2019-12-02, 06-00-00"
NEU,482.92,487.23,33127,"2019-12-03, 06-00-00"
NEU,488.86,485.03,38273,"2019-12-04, 06-00-00"
NEU,486.34,487.05,25740,"2019-12-05, 06-00-00"
NEU,490.0,485.55,35389,"2019-12-06, 06-00-00"
NEU,484.76,488.74,29629,"2019-12-09, 06-00-00"
NEU,489.77,485.13,73436,"2019-12-10, 06-00-00"
NEU,486.59,487.81,21087,"2019-12-11, 06-00-00"
NEU,487.33,486.13,50435,"2019-12-12, 06-00-00"
NEU,484.48,479.9,60918,"2019-12-13, 06-00-00"
NEU,482.2,485.95,49693,"2019-12-16, 06-00-00"
NEU,486.21,488.01,68516,"2019-12-17, 06-00-00"
NEU,487.72,481.39,96563,"2019-12-18, 06-00-00"
NEU,481.87,484.91,65927,"2019-12-19, 06-00-00"
NEU,487.63,484.32,83201,"2019-12-20, 06-00-00"
NEU,484.69,484.48,29178,"2019-12-23, 06-00-00"
NEU,484.25,482.13,12806,"2019-12-24, 06-00-00"
NEU,483.805,482.01,25398,"2019-12-26, 06-00-00"
NEU,482.27,483.59,40271,"2019-12-27, 06-00-00"
NEU,483.89,487.93,29528,"2019-12-30, 06-00-00"
NEU,486.9,486.52,34866,"2019-12-31, 06-00-00"
NEU,488.81,480.79,44666,"2020-01-02, 06-00-00"
NEU,477.46,475.23,39996,"2020-01-03, 06-00-00"
NEU,473.07,473.29,50538,"2020-01-06, 06-00-00"
NEU,472.28,467.57,42703,"2020-01-07, 06-00-00"
NEU,467.05,462.22,43692,"2020-01-08, 06-00-00"
NEU,462.37,460.74,34728,"2020-01-09, 06-00-00"
NEU,461.59,458.81,38249,"2020-01-10, 06-00-00"
NEU,460.3,465.82,81723,"2020-01-13, 06-00-00"
NEU,466.0,464.46,49383,"2020-01-14, 06-00-00"
NEU,465.49,467.81,51297,"2020-01-15, 06-00-00"
NEU,469.34,470.21,32416,"2020-01-16, 06-00-00"
NEU,471.36,471.22,33435,"2020-01-17, 06-00-00"
NEU,469.78,464.14,40322,"2020-01-21, 06-00-00"
NEU,465.74,464.5,30209,"2020-01-22, 06-00-00"
NEU,464.39,462.93,37739,"2020-01-23, 06-00-00"
NEU,463.3,452.52,29835,"2020-01-24, 06-00-00"
NEU,448.53,448.98,42119,"2020-01-27, 06-00-00"
NEU,450.91,448.21,48515,"2020-01-28, 06-00-00"
NEU,450.05,445.89,45155,"2020-01-29, 06-00-00"
NEU,444.44,447.85,32506,"2020-01-30, 06-00-00"
NEU,445.8,439.62,36493,"2020-01-31, 06-00-00"
NEU,440.73,445.92,45941,"2020-02-03, 06-00-00"
NEU,430.0,427.36,80417,"2020-02-04, 06-00-00"
NEU,430.6,428.79,55206,"2020-02-05, 06-00-00"
NEU,429.68,431.71,37288,"2020-02-06, 06-00-00"
NEU,430.14,425.74,27322,"2020-02-07, 06-00-00"
NEU,427.1,418.88,52451,"2020-02-10, 06-00-00"
NEU,419.75,419.0,43992,"2020-02-11, 06-00-00"
NEU,419.87,416.66,45727,"2020-02-12, 06-00-00"
NEU,415.03,418.68,41416,"2020-02-13, 06-00-00"
NEU,429.921,421.94,48509,"2020-02-14, 06-00-00"
NEU,420.66,425.59,45181,"2020-02-18, 06-00-00"
NEU,426.08,428.26,69508,"2020-02-19, 06-00-00"
NEU,428.95,431.25,59106,"2020-02-20, 06-00-00"
NEU,430.66,424.34,55388,"2020-02-21, 06-00-00"
NEU,419.34,422.1,81419,"2020-02-24, 06-00-00"
NEU,424.17,416.01,99707,"2020-02-25, 06-00-00"
NEU,418.07,404.41,249618,"2020-02-26, 06-00-00"
NEU,399.41,398.9,98528,"2020-02-27, 06-00-00"
NEU,390.29,388.59,96244,"2020-02-28, 06-00-00"
NEU,389.7,399.94,58311,"2020-03-02, 06-00-00"
NEU,399.48,400.86,53178,"2020-03-03, 06-00-00"
NEU,405.06,418.29,50127,"2020-03-04, 06-00-00"
NEU,411.78,406.82,39676,"2020-03-05, 06-00-00"
NEU,398.54,416.64,81421,"2020-03-06, 06-00-00"
NEU,395.54,405.28,80695,"2020-03-09, 05-00-00"
NEU,409.56,417.96,80792,"2020-03-10, 05-00-00"
NEU,408.55,397.22,39778,"2020-03-11, 05-00-00"
NEU,375.69,363.89,69429,"2020-03-12, 05-00-00"
NEU,377.07,371.41,89309,"2020-03-13, 05-00-00"
NEU,354.83,372.24,81779,"2020-03-16, 05-00-00"
NEU,378.03,403.61,81399,"2020-03-17, 05-00-00"
NEU,388.24,410.8,127382,"2020-03-18, 05-00-00"
NEU,408.65,389.83,63376,"2020-03-19, 05-00-00"
NEU,390.0,372.13,109117,"2020-03-20, 05-00-00"
NEU,370.06,342.82,105228,"2020-03-23, 05-00-00"
NEU,356.7,342.76,129060,"2020-03-24, 05-00-00"
NEU,340.1,328.89,283718,"2020-03-25, 05-00-00"
