symbol,open,close,high,low,volume,date
NLY,9.11,9.21,9.24,9.08,12589565,"2019-11-18, 06-00-00"
NLY,9.2,9.18,9.225,9.15,10645149,"2019-11-19, 06-00-00"
NLY,9.2,9.21,9.22,9.15,11794444,"2019-11-20, 06-00-00"
NLY,9.16,9.13,9.17,9.065,10340375,"2019-11-21, 06-00-00"
NLY,9.14,9.2,9.245,9.1,11050740,"2019-11-22, 06-00-00"
NLY,9.18,9.25,9.27,9.12,13193873,"2019-11-25, 06-00-00"
NLY,9.24,9.25,9.25,9.16,13757021,"2019-11-26, 06-00-00"
NLY,9.29,9.28,9.3,9.22,8627549,"2019-11-27, 06-00-00"
NLY,9.29,9.33,9.35,9.25,4765813,"2019-11-29, 06-00-00"
NLY,9.35,9.33,9.4,9.3,9521011,"2019-12-02, 06-00-00"
NLY,9.28,9.33,9.36,9.26,11186145,"2019-12-03, 06-00-00"
NLY,9.33,9.36,9.4,9.32,9600910,"2019-12-04, 06-00-00"
NLY,9.37,9.35,9.37,9.285,7674767,"2019-12-05, 06-00-00"
NLY,9.37,9.4,9.435,9.33,6945786,"2019-12-06, 06-00-00"
NLY,9.43,9.43,9.445,9.395,7560943,"2019-12-09, 06-00-00"
NLY,9.43,9.38,9.44,9.35,8739500,"2019-12-10, 06-00-00"
NLY,9.36,9.38,9.4,9.34,7312827,"2019-12-11, 06-00-00"
NLY,9.36,9.35,9.42,9.35,9136422,"2019-12-12, 06-00-00"
NLY,9.37,9.49,9.49,9.36,8576283,"2019-12-13, 06-00-00"
NLY,9.5,9.44,9.52,9.43,13402280,"2019-12-16, 06-00-00"
NLY,9.46,9.55,9.6,9.44,15353215,"2019-12-17, 06-00-00"
NLY,9.55,9.52,9.57,9.51,11434902,"2019-12-18, 06-00-00"
NLY,9.51,9.53,9.64,9.505,15657792,"2019-12-19, 06-00-00"
NLY,9.56,9.53,9.59,9.53,18212602,"2019-12-20, 06-00-00"
NLY,9.55,9.57,9.575,9.52,8537946,"2019-12-23, 06-00-00"
NLY,9.57,9.67,9.67,9.545,5438837,"2019-12-24, 06-00-00"
NLY,9.67,9.77,9.77,9.665,8235499,"2019-12-26, 06-00-00"
NLY,9.77,9.75,9.8,9.74,13129885,"2019-12-27, 06-00-00"
NLY,9.52,9.42,9.5403,9.38,13336598,"2019-12-30, 06-00-00"
NLY,9.38,9.42,9.46,9.38,10796186,"2019-12-31, 06-00-00"
NLY,9.43,9.48,9.48,9.37,10589602,"2020-01-02, 06-00-00"
NLY,9.41,9.43,9.49,9.41,9443194,"2020-01-03, 06-00-00"
NLY,9.44,9.46,9.48,9.42,8350089,"2020-01-06, 06-00-00"
NLY,9.48,9.52,9.535,9.45,8974347,"2020-01-07, 06-00-00"
NLY,9.52,9.45,9.56,9.45,10078035,"2020-01-08, 06-00-00"
NLY,9.49,9.5,9.56,9.47,11177680,"2020-01-09, 06-00-00"
NLY,9.5,9.54,9.56,9.5,6660440,"2020-01-10, 06-00-00"
NLY,9.56,9.57,9.6,9.55,8399814,"2020-01-13, 06-00-00"
NLY,9.58,9.6,9.6,9.56,7374539,"2020-01-14, 06-00-00"
NLY,9.6,9.62,9.67,9.595,7074418,"2020-01-15, 06-00-00"
NLY,9.63,9.65,9.65,9.6,6616862,"2020-01-16, 06-00-00"
NLY,9.66,9.7,9.7,9.62,11152787,"2020-01-17, 06-00-00"
NLY,9.7,9.74,9.775,9.66,11736856,"2020-01-21, 06-00-00"
NLY,9.76,9.69,9.78,9.68,8837384,"2020-01-22, 06-00-00"
NLY,9.68,9.7,9.73,9.675,9027417,"2020-01-23, 06-00-00"
NLY,9.72,9.66,9.7397,9.63,6145353,"2020-01-24, 06-00-00"
NLY,9.55,9.6,9.62,9.52,9714437,"2020-01-27, 06-00-00"
NLY,9.62,9.68,9.72,9.6,7261789,"2020-01-28, 06-00-00"
NLY,9.73,9.76,9.78,9.675,7714202,"2020-01-29, 06-00-00"
