symbol,open,close,volume,date
OAC,9.92,9.9,521300,"2019-11-18, 06-00-00"
OAC,9.9,9.9,111899,"2019-11-19, 06-00-00"
OAC,9.92,9.92,20220,"2019-11-20, 06-00-00"
OAC,9.81,9.91,3400,"2019-11-22, 06-00-00"
OAC,9.8741,9.92,200,"2019-11-26, 06-00-00"
OAC,9.92,9.92,400,"2019-12-03, 06-00-00"
OAC,9.91,9.85,293202,"2019-12-04, 06-00-00"
OAC,9.91,9.9,11014,"2019-12-05, 06-00-00"
OAC,9.9,9.9,100,"2019-12-06, 06-00-00"
OAC,9.91,9.81,40837,"2019-12-09, 06-00-00"
OAC,9.87,9.86,177415,"2019-12-13, 06-00-00"
OAC,9.9,9.9,103,"2019-12-16, 06-00-00"
OAC,9.88,9.86,89986,"2019-12-18, 06-00-00"
OAC,9.895,9.895,540,"2019-12-20, 06-00-00"
OAC,9.9,9.9,200,"2019-12-30, 06-00-00"
OAC,9.9,9.9,275,"2020-01-02, 06-00-00"
OAC,9.92,9.92,105000,"2020-01-07, 06-00-00"
OAC,9.92,9.93,100275,"2020-01-08, 06-00-00"
OAC,9.941,9.95,209074,"2020-01-09, 06-00-00"
OAC,9.9942,9.9942,100,"2020-01-15, 06-00-00"
OAC,10.05,10.05,25997,"2020-01-17, 06-00-00"
OAC,10.0717,10.0717,1000,"2020-01-21, 06-00-00"
OAC,10.1,10.0722,1739,"2020-01-22, 06-00-00"
OAC,10.07,10.07,2453,"2020-01-23, 06-00-00"
OAC,10.05,10.05,40020,"2020-01-24, 06-00-00"
OAC,10.06,10.053,4430,"2020-01-27, 06-00-00"
OAC,10.05,10.07,10400,"2020-01-29, 06-00-00"
OAC,10.19,10.01,3800,"2020-01-30, 06-00-00"
OAC,10.05,10.05,16389,"2020-01-31, 06-00-00"
OAC,10.05,10.05,141,"2020-02-04, 06-00-00"
OAC,10.05,10.05,13386,"2020-02-05, 06-00-00"
OAC,10.01,10.05,1324,"2020-02-06, 06-00-00"
OAC,10.03,10.051,28093,"2020-02-07, 06-00-00"
OAC,10.0777,10.03,261,"2020-02-10, 06-00-00"
OAC,10.052,10.01,401,"2020-02-11, 06-00-00"
OAC,10.15,10.15,2506,"2020-02-12, 06-00-00"
OAC,10.06,10.1,30200,"2020-02-14, 06-00-00"
OAC,10.1,10.1,223,"2020-02-20, 06-00-00"
OAC,10.02,10.1,71101,"2020-02-27, 06-00-00"
OAC,10.0378,10.0378,600,"2020-02-28, 06-00-00"
OAC,10.11,10.11,100,"2020-03-04, 06-00-00"
OAC,10.11,10.09,1400,"2020-03-05, 06-00-00"
OAC,10.0,10.009,1256,"2020-03-09, 05-00-00"
OAC,9.96,9.97,54993,"2020-03-10, 05-00-00"
OAC,9.97,9.94,534501,"2020-03-11, 05-00-00"
OAC,9.9,9.84,510201,"2020-03-12, 05-00-00"
OAC,9.7,9.65,32608,"2020-03-16, 05-00-00"
OAC,9.66,9.56,1677,"2020-03-17, 05-00-00"
OAC,9.5,9.44,9183,"2020-03-18, 05-00-00"
OAC,9.4,9.4656,1981,"2020-03-19, 05-00-00"
OAC,9.91,9.4,207169,"2020-03-23, 05-00-00"
OAC,9.605,9.57,782149,"2020-03-24, 05-00-00"
OAC,9.75,9.76,683439,"2020-03-26, 05-00-00"
OAC,9.79,9.76,165527,"2020-03-27, 05-00-00"
OAC,9.79,9.9,16000,"2020-03-30, 05-00-00"
OAC,9.98,10.0,706,"2020-03-31, 05-00-00"
OAC,10.11,9.965,11820,"2020-04-01, 05-00-00"
OAC,9.99,9.91,1150,"2020-04-02, 05-00-00"
OAC,9.93,9.84,6806,"2020-04-03, 05-00-00"
OAC,9.91,9.83,3194,"2020-04-06, 05-00-00"
OAC,9.82,9.8,12200,"2020-04-07, 05-00-00"
OAC,9.93,9.85,103864,"2020-04-08, 05-00-00"
OAC,10.0,9.85,1459,"2020-04-13, 05-00-00"
OAC,10.0,9.86,12908,"2020-04-14, 05-00-00"
OAC,9.91,9.87,13749,"2020-04-15, 05-00-00"
OAC,10.0,9.94,1194,"2020-04-16, 05-00-00"
OAC,10.0,9.85,636871,"2020-04-17, 05-00-00"
OAC,10.0,9.85,6322,"2020-04-20, 05-00-00"
OAC,10.0,9.899,545,"2020-04-22, 05-00-00"
OAC,10.0,9.88,400,"2020-04-23, 05-00-00"
OAC,10.0,9.97,4238,"2020-04-24, 05-00-00"
OAC,9.92,9.92,1561,"2020-04-27, 05-00-00"
OAC,10.0,9.97,1462,"2020-04-28, 05-00-00"
OAC,10.1,9.98,400,"2020-05-01, 05-00-00"
OAC,10.0,9.98,1562,"2020-05-04, 05-00-00"
OAC,10.1,10.0,300,"2020-05-05, 05-00-00"
OAC,10.03,9.99,644,"2020-05-06, 05-00-00"
OAC,9.95,9.99,610,"2020-05-08, 05-00-00"
OAC,9.91,9.9,10580,"2020-05-11, 05-00-00"
OAC,9.92,9.97,14436,"2020-05-12, 05-00-00"
OAC,10.0,10.0,100,"2020-05-13, 05-00-00"
OAC,9.91,10.0196,1710,"2020-05-14, 05-00-00"
OAC,9.93,9.93,356,"2020-05-15, 05-00-00"
OAC,10.03,9.975,1321,"2020-05-18, 05-00-00"
OAC,9.98,9.95,2495,"2020-05-19, 05-00-00"
OAC,9.94,9.94,156,"2020-05-20, 05-00-00"
OAC,9.94,9.94,108,"2020-05-21, 05-00-00"
OAC,9.9,9.99,1369,"2020-05-22, 05-00-00"
OAC,10.03,10.03,362,"2020-05-26, 05-00-00"
OAC,9.9,9.9,100,"2020-05-27, 05-00-00"
OAC,9.9,9.9,158,"2020-05-28, 05-00-00"
OAC,9.9,9.9333,1378,"2020-05-29, 05-00-00"
OAC,10.01,9.95,1179,"2020-06-01, 05-00-00"
OAC,9.93,9.98,403,"2020-06-02, 05-00-00"
OAC,9.99,9.99,378,"2020-06-03, 05-00-00"
OAC,9.99,10.02,15214,"2020-06-04, 05-00-00"
OAC,10.02,10.0199,1185,"2020-06-05, 05-00-00"
OAC,10.0,10.02,515,"2020-06-08, 05-00-00"
OAC,9.9995,10.01,2881,"2020-06-09, 05-00-00"
OAC,10.0,10.0498,24573,"2020-06-10, 05-00-00"
OAC,10.0127,10.02,805,"2020-06-11, 05-00-00"
OAC,10.03,10.0057,416,"2020-06-12, 05-00-00"
OAC,10.02,10.05,168138,"2020-06-15, 05-00-00"
OAC,10.01,10.0452,317263,"2020-06-16, 05-00-00"
OAC,10.01,10.05,31168,"2020-06-17, 05-00-00"
OAC,9.99,10.09,124140,"2020-06-18, 05-00-00"
OAC,10.05,10.105,35853,"2020-06-19, 05-00-00"
OAC,10.14,10.14,10709,"2020-06-22, 05-00-00"
OAC,10.14,10.14,1506,"2020-06-23, 05-00-00"
OAC,10.15,10.16,203002,"2020-06-24, 05-00-00"
OAC,10.15,10.16,3592,"2020-06-25, 05-00-00"
OAC,10.18,10.18,16693,"2020-06-26, 05-00-00"
OAC,10.17,10.2001,40464,"2020-06-29, 05-00-00"
OAC,10.2,10.17,31349,"2020-06-30, 05-00-00"
OAC,10.16,10.2,74721,"2020-07-01, 05-00-00"
OAC,10.18,10.37,89737,"2020-07-02, 05-00-00"
OAC,10.47,10.42,3077,"2020-07-06, 05-00-00"
OAC,10.43,10.44,28925,"2020-07-07, 05-00-00"
OAC,10.41,10.29,55126,"2020-07-08, 05-00-00"
OAC,10.27,10.285,2495,"2020-07-09, 05-00-00"
OAC,10.46,10.45,20138,"2020-07-10, 05-00-00"
OAC,10.5,10.3616,31036,"2020-07-13, 05-00-00"
OAC,10.2501,10.385,732,"2020-07-14, 05-00-00"
OAC,10.37,10.455,48715,"2020-07-15, 05-00-00"
OAC,10.43,10.46,369406,"2020-07-17, 05-00-00"
OAC,10.5,10.45,71504,"2020-07-20, 05-00-00"
OAC,10.54,10.59,7951,"2020-07-21, 05-00-00"
OAC,10.58,10.55,260099,"2020-07-22, 05-00-00"
OAC,10.5,10.46,90972,"2020-07-23, 05-00-00"
OAC,10.42,10.6,159829,"2020-07-24, 05-00-00"
OAC,10.58,10.5201,862,"2020-07-27, 05-00-00"
OAC,10.4389,10.43,1746,"2020-07-28, 05-00-00"
OAC,10.31,10.32,197923,"2020-07-29, 05-00-00"
OAC,10.3,10.32,3777,"2020-07-30, 05-00-00"
OAC,10.32,10.3,28757,"2020-07-31, 05-00-00"
OAC,10.39,10.4,21661,"2020-08-03, 05-00-00"
OAC,10.3929,10.27,17349,"2020-08-04, 05-00-00"
OAC,10.2,10.27,13664,"2020-08-07, 05-00-00"
OAC,10.6,10.59,1770593,"2020-08-10, 05-00-00"
OAC,10.58,10.6,409460,"2020-08-11, 05-00-00"
OAC,10.65,10.62,390021,"2020-08-12, 05-00-00"
OAC,10.72,10.69,489063,"2020-08-13, 05-00-00"
OAC,10.65,10.75,138703,"2020-08-14, 05-00-00"
