symbol,open,close,high,low,volume,date
OII,34.865,34.925,35.29,34.78,1230522,2010-11-18
OII,34.875,35.49,35.545,34.37,1005582,2010-11-19
OII,35.31,35.495,35.73,34.845,1276168,2010-11-22
OII,35.03,34.7,35.04,33.985,1068544,2010-11-23
OII,34.95,35.465,35.555,34.8,585446,2010-11-24
OII,35.075,34.555,35.25,34.54,299374,2010-11-26
OII,34.415,34.865,34.955,34.125,786118,2010-11-29
OII,34.32,34.55,35.21495,34.28,902010,2010-11-30
OII,35.27,36.525,36.985,35.005,1701834,2010-12-01
OII,36.53,36.62,36.65,36.19,1163200,2010-12-02
OII,36.38,36.435,36.615,35.74,1246970,2010-12-03
OII,36.245,36.43,36.68,36.135,1323960,2010-12-06
OII,36.8,36.435,37.085,36.32,1188838,2010-12-07
OII,36.765,36.575,38.43,36.365,2868050,2010-12-08
OII,37.175,36.45,37.545,35.95,1379538,2010-12-09
OII,36.235,35.855,36.235,35.525,1195710,2010-12-10
OII,36.28,36.4,36.69,36.1,714670,2010-12-13
OII,36.55,36.91,38.0,36.5,1983732,2010-12-14
OII,36.865,36.52,37.18,36.36,1125146,2010-12-15
OII,36.55,36.9,36.94,36.145,787700,2010-12-16
OII,36.96,37.06,37.515,36.84,1372458,2010-12-17
OII,37.15,37.045,37.395,36.43,426134,2010-12-20
OII,37.175,37.08,37.38,36.695,802810,2010-12-21
OII,37.11,37.635,37.8345,37.11,1000014,2010-12-22
OII,37.64,37.315,37.64,37.275,334358,2010-12-23
OII,37.245,36.775,37.245,36.53,550716,2010-12-27
OII,36.825,36.59,36.995,36.53,373364,2010-12-28
OII,36.575,36.965,37.155,36.575,293908,2010-12-29
OII,37.02,36.885,37.535,36.815,456080,2010-12-30
OII,36.875,36.815,37.315,36.7075,520670,2010-12-31
OII,36.935,37.12,37.485,36.935,638644,2011-01-03
OII,37.145,36.115,37.145,35.77,1314490,2011-01-04
OII,35.99,36.37,36.5815,35.62,700320,2011-01-05
OII,36.51,37.005,37.005,35.965,2032202,2011-01-06
OII,37.345,36.61,37.345,36.215,1125226,2011-01-07
OII,36.51,35.885,36.51,35.6,1086056,2011-01-10
OII,36.0,36.26,36.415,35.78,1768464,2011-01-11
OII,36.635,36.795,37.438,36.394,703378,2011-01-12
OII,36.89,36.475,37.12,36.3106,767248,2011-01-13
OII,36.475,37.445,37.46,36.295,656482,2011-01-14
OII,37.4,37.855,37.865,37.02,1012126,2011-01-18
OII,37.79,37.595,38.3395,37.33,1155070,2011-01-19
OII,37.28,37.15,37.38,36.2,1094726,2011-01-20
OII,37.46,36.15,37.595,35.76,1790826,2011-01-21
OII,36.1,35.485,36.19,35.255,1254518,2011-01-24
OII,35.41,35.42,36.07,34.72,1360474,2011-01-25
OII,35.555,37.05,37.19965,35.545,1410070,2011-01-26
OII,37.085,36.98,37.34,36.37,1191016,2011-01-27
OII,36.965,37.435,37.77,36.685,1343186,2011-01-28
OII,37.325,38.615,38.665,37.32,1086006,2011-01-31
OII,38.775,39.34,39.525,38.64,1166030,2011-02-01
OII,39.1,38.97,39.595,38.72,705720,2011-02-02
OII,39.01,38.885,39.07495,38.5159,874518,2011-02-03
OII,38.915,39.095,39.14,38.43,690132,2011-02-04
OII,39.205,39.265,39.62495,38.925,691060,2011-02-07
OII,39.185,38.995,39.215,38.4,687004,2011-02-08
OII,38.81,37.37,38.965,36.91,2054300,2011-02-09
OII,37.315,38.285,38.45,37.13,1379282,2011-02-10
OII,38.245,38.135,38.42,37.865,683090,2011-02-11
OII,38.295,39.89,40.11,38.205,1562874,2011-02-14
OII,39.72,39.395,40.005,38.85,932074,2011-02-15
OII,39.625,40.575,40.73,39.49,1395192,2011-02-16
OII,39.72,41.115,41.825,39.5,1980870,2011-02-17
OII,41.22,40.965,41.22,40.25,1355052,2011-02-18
OII,40.89,39.625,41.5545,39.3305,1060362,2011-02-22
OII,39.75,39.505,40.1475,39.275,1444664,2011-02-23
OII,39.63,38.935,39.675,38.785,1486350,2011-02-24
OII,39.215,41.255,41.33,39.11,1907394,2011-02-25
OII,40.925,41.815,42.15,40.685,1193294,2011-02-28
OII,41.885,40.705,42.23,40.65,1209188,2011-03-01
OII,40.595,41.405,41.555,40.16,633304,2011-03-02
OII,41.675,42.0,42.115,41.265,533654,2011-03-03
OII,41.975,41.495,41.975,41.06,531058,2011-03-04
OII,41.935,41.25,42.32,40.91,701478,2011-03-07
OII,41.335,41.84,42.29,40.945,931008,2011-03-08
OII,41.82,41.155,42.22,41.035,637294,2011-03-09
OII,40.6375,39.26,40.6375,39.23,707464,2011-03-10
OII,39.14,40.285,40.585,38.625,737158,2011-03-11
OII,39.945,39.935,40.01,39.06,740876,2011-03-14
OII,38.58,39.83,40.245,38.11,714102,2011-03-15
OII,40.03,38.23,40.335,38.185,1062332,2011-03-16
OII,38.685,39.905,40.725,38.685,1320142,2011-03-17
OII,40.455,40.895,41.185,40.29,1867514,2011-03-18
OII,41.5,43.51,43.595,41.255,1591584,2011-03-21
OII,43.6,42.55,43.6,42.28,1351958,2011-03-22
OII,42.395,42.555,42.66,41.758,596532,2011-03-23
OII,42.69,42.905,43.385,42.13675,815632,2011-03-24
OII,42.97,43.445,43.945,42.685,758312,2011-03-25
OII,43.5,43.34,44.305,43.05005,788588,2011-03-28
OII,43.3,43.66,44.0,43.2,537278,2011-03-29
OII,44.07,44.35,44.665,43.775,645566,2011-03-30
OII,44.415,44.725,45.545,44.175,2023190,2011-03-31
OII,45.39,45.535,45.97495,44.905,862868,2011-04-01
OII,45.855,45.755,46.19,45.565,673714,2011-04-04
OII,45.795,44.71,46.06,44.635,1111026,2011-04-05
OII,45.125,44.18,45.42,44.025,630184,2011-04-06
OII,44.115,43.965,44.3,43.635,739942,2011-04-07
OII,44.57,43.77,44.675,43.555,721558,2011-04-08
OII,43.94,42.78,44.19,42.615,651910,2011-04-11
OII,42.31,42.54,42.79,41.41,1186492,2011-04-12
OII,42.8,43.01,43.19,42.48,969500,2011-04-13
OII,42.56,42.83,42.94895,42.14,1044444,2011-04-14
OII,42.615,42.785,43.415,42.4,1003224,2011-04-15
OII,42.055,42.28,42.53,41.49,1166188,2011-04-18
OII,42.345,42.52,42.905,42.335,703212,2011-04-19
OII,43.19,43.01,43.295,42.65,979062,2011-04-20
OII,43.225,44.035,44.16,43.17,742728,2011-04-21
OII,44.26,43.77,44.345,43.25,540298,2011-04-25
