symbol,open,close,volume,date
PAG,51.57,51.13,304792,"2019-11-18, 06-00-00"
PAG,51.15,51.22,259487,"2019-11-19, 06-00-00"
PAG,51.04,50.75,401044,"2019-11-20, 06-00-00"
PAG,51.06,50.67,356230,"2019-11-21, 06-00-00"
PAG,50.76,51.09,262463,"2019-11-22, 06-00-00"
PAG,51.2,51.6,283088,"2019-11-25, 06-00-00"
PAG,51.64,50.64,318020,"2019-11-26, 06-00-00"
PAG,50.66,51.4,174062,"2019-11-27, 06-00-00"
PAG,51.15,50.49,96566,"2019-11-29, 06-00-00"
PAG,50.62,50.61,271020,"2019-12-02, 06-00-00"
PAG,50.06,50.26,320587,"2019-12-03, 06-00-00"
PAG,50.43,50.26,167990,"2019-12-04, 06-00-00"
PAG,50.4,50.5,173644,"2019-12-05, 06-00-00"
PAG,51.04,51.1,152625,"2019-12-06, 06-00-00"
PAG,51.08,50.93,213726,"2019-12-09, 06-00-00"
PAG,50.83,51.45,251300,"2019-12-10, 06-00-00"
PAG,51.6,52.22,194184,"2019-12-11, 06-00-00"
PAG,52.06,53.7,276178,"2019-12-12, 06-00-00"
PAG,53.44,51.96,598476,"2019-12-13, 06-00-00"
PAG,52.48,51.93,568371,"2019-12-16, 06-00-00"
PAG,51.93,52.2,351751,"2019-12-17, 06-00-00"
PAG,52.29,52.05,903231,"2019-12-18, 06-00-00"
PAG,52.22,52.34,344836,"2019-12-19, 06-00-00"
PAG,52.28,52.21,527806,"2019-12-20, 06-00-00"
PAG,51.69,50.68,254103,"2019-12-23, 06-00-00"
PAG,50.61,50.68,139012,"2019-12-24, 06-00-00"
PAG,50.78,50.3,210743,"2019-12-26, 06-00-00"
PAG,50.44,50.66,470782,"2019-12-27, 06-00-00"
PAG,50.61,50.27,183629,"2019-12-30, 06-00-00"
PAG,50.16,50.22,238586,"2019-12-31, 06-00-00"
PAG,50.58,50.13,341219,"2020-01-02, 06-00-00"
PAG,49.38,49.75,269135,"2020-01-03, 06-00-00"
PAG,49.19,49.18,264853,"2020-01-06, 06-00-00"
PAG,49.38,48.65,445944,"2020-01-07, 06-00-00"
PAG,48.7,48.32,298125,"2020-01-08, 06-00-00"
PAG,48.26,47.63,309799,"2020-01-09, 06-00-00"
PAG,47.89,47.81,226631,"2020-01-10, 06-00-00"
PAG,47.8,48.0,294144,"2020-01-13, 06-00-00"
PAG,47.83,48.25,464307,"2020-01-14, 06-00-00"
PAG,48.23,48.01,308836,"2020-01-15, 06-00-00"
PAG,48.3,48.54,289957,"2020-01-16, 06-00-00"
PAG,48.66,48.21,240911,"2020-01-17, 06-00-00"
PAG,48.04,47.92,141048,"2020-01-21, 06-00-00"
PAG,48.07,48.12,223158,"2020-01-22, 06-00-00"
