symbol,open,close,volume,date
PFD,15.79,15.94,14925,"2019-11-18, 06-00-00"
PFD,15.91,15.97,15299,"2019-11-19, 06-00-00"
PFD,16.0,16.335,50869,"2019-11-20, 06-00-00"
PFD,16.64,16.06,27217,"2019-11-21, 06-00-00"
PFD,16.05,16.03,23477,"2019-11-22, 06-00-00"
PFD,16.02,15.9056,14266,"2019-11-25, 06-00-00"
PFD,16.02,16.25,33602,"2019-11-26, 06-00-00"
PFD,16.2,16.19,22103,"2019-11-27, 06-00-00"
PFD,16.13,16.29,15336,"2019-11-29, 06-00-00"
PFD,16.31,16.16,32260,"2019-12-02, 06-00-00"
PFD,15.86,15.81,34933,"2019-12-03, 06-00-00"
PFD,15.93,15.76,24438,"2019-12-04, 06-00-00"
PFD,15.812,15.77,11337,"2019-12-05, 06-00-00"
PFD,15.88,15.745,13789,"2019-12-06, 06-00-00"
PFD,15.75,15.42,16404,"2019-12-09, 06-00-00"
PFD,15.4,15.43,40808,"2019-12-10, 06-00-00"
PFD,15.41,15.5,9773,"2019-12-11, 06-00-00"
PFD,15.5,15.4,23633,"2019-12-12, 06-00-00"
PFD,15.38,15.49,23446,"2019-12-13, 06-00-00"
PFD,15.52,15.34,43112,"2019-12-16, 06-00-00"
PFD,15.3,15.35,16070,"2019-12-17, 06-00-00"
PFD,15.64,15.52,17264,"2019-12-18, 06-00-00"
PFD,15.46,15.376,49342,"2019-12-19, 06-00-00"
PFD,15.22,15.41,33868,"2019-12-20, 06-00-00"
PFD,15.52,15.35,16648,"2019-12-23, 06-00-00"
PFD,15.32,15.365,6442,"2019-12-24, 06-00-00"
PFD,15.3,15.39,8398,"2019-12-26, 06-00-00"
PFD,15.42,15.34,10175,"2019-12-27, 06-00-00"
PFD,15.26,15.36,61705,"2019-12-30, 06-00-00"
PFD,15.45,15.56,34524,"2019-12-31, 06-00-00"
PFD,15.41,15.48,23675,"2020-01-02, 06-00-00"
PFD,15.55,15.51,13650,"2020-01-03, 06-00-00"
PFD,15.55,15.62,30384,"2020-01-06, 06-00-00"
PFD,15.56,15.68,23163,"2020-01-07, 06-00-00"
PFD,15.58,15.65,19938,"2020-01-08, 06-00-00"
PFD,15.6,15.62,22254,"2020-01-09, 06-00-00"
PFD,15.61,15.58,33461,"2020-01-10, 06-00-00"
PFD,15.62,15.5601,9977,"2020-01-13, 06-00-00"
PFD,15.53,15.64,16485,"2020-01-14, 06-00-00"
PFD,15.58,15.68,16337,"2020-01-15, 06-00-00"
PFD,15.79,15.8,32073,"2020-01-16, 06-00-00"
PFD,15.78,15.93,12576,"2020-01-17, 06-00-00"
PFD,16.05,16.01,19531,"2020-01-21, 06-00-00"
PFD,16.2,16.03,20428,"2020-01-22, 06-00-00"
PFD,15.95,16.218,22374,"2020-01-23, 06-00-00"
PFD,16.18,16.18,14460,"2020-01-24, 06-00-00"
PFD,16.15,16.04,19512,"2020-01-27, 06-00-00"
PFD,16.2,16.37,53123,"2020-01-28, 06-00-00"
PFD,16.47,16.4,25655,"2020-01-29, 06-00-00"
PFD,16.33,16.36,12063,"2020-01-30, 06-00-00"
PFD,16.38,15.92,71693,"2020-01-31, 06-00-00"
PFD,16.0,16.0,15314,"2020-02-03, 06-00-00"
PFD,16.23,16.33,12362,"2020-02-04, 06-00-00"
PFD,16.37,16.35,23242,"2020-02-05, 06-00-00"
PFD,16.42,16.27,20582,"2020-02-06, 06-00-00"
PFD,16.4,16.45,11176,"2020-02-07, 06-00-00"
PFD,16.45,16.42,26044,"2020-02-10, 06-00-00"
PFD,16.48,16.66,39267,"2020-02-11, 06-00-00"
PFD,16.75,16.7,27257,"2020-02-12, 06-00-00"
PFD,16.68,16.8068,11672,"2020-02-13, 06-00-00"
PFD,16.68,17.12,29845,"2020-02-14, 06-00-00"
PFD,17.0,17.12,25347,"2020-02-18, 06-00-00"
PFD,17.06,17.3569,40339,"2020-02-19, 06-00-00"
PFD,17.19,17.4,19343,"2020-02-20, 06-00-00"
PFD,17.4,17.38,25483,"2020-02-21, 06-00-00"
PFD,16.88,16.6,68156,"2020-02-24, 06-00-00"
PFD,16.8,15.21,143816,"2020-02-25, 06-00-00"
PFD,15.22,15.2,145963,"2020-02-26, 06-00-00"
PFD,15.02,14.67,174212,"2020-02-27, 06-00-00"
PFD,14.44,14.17,117034,"2020-02-28, 06-00-00"
PFD,14.29,14.95,64376,"2020-03-02, 06-00-00"
PFD,15.03,15.35,91836,"2020-03-03, 06-00-00"
PFD,15.46,15.93,30697,"2020-03-04, 06-00-00"
PFD,15.75,15.55,36048,"2020-03-05, 06-00-00"
PFD,15.08,14.8,68147,"2020-03-06, 06-00-00"
PFD,14.19,14.15,117516,"2020-03-09, 05-00-00"
PFD,14.28,14.25,36158,"2020-03-10, 05-00-00"
PFD,14.38,13.82,51265,"2020-03-11, 05-00-00"
PFD,13.32,12.12,198401,"2020-03-12, 05-00-00"
PFD,12.62,13.23,61659,"2020-03-13, 05-00-00"
PFD,12.23,11.7,50644,"2020-03-16, 05-00-00"
PFD,11.61,10.91,148777,"2020-03-17, 05-00-00"
PFD,10.5,8.11,159674,"2020-03-18, 05-00-00"
PFD,7.61,9.02,189872,"2020-03-19, 05-00-00"
PFD,9.5,9.93,101528,"2020-03-20, 05-00-00"
PFD,9.54,8.35,172408,"2020-03-23, 05-00-00"
PFD,8.68,10.05,119810,"2020-03-24, 05-00-00"
PFD,10.3,11.5,68487,"2020-03-25, 05-00-00"
PFD,11.86,12.39,64547,"2020-03-26, 05-00-00"
PFD,12.13,11.98,51115,"2020-03-27, 05-00-00"
PFD,11.83,11.87,44569,"2020-03-30, 05-00-00"
PFD,12.11,12.07,34919,"2020-03-31, 05-00-00"
PFD,11.7,11.35,55950,"2020-04-01, 05-00-00"
PFD,11.0,11.4,20845,"2020-04-02, 05-00-00"
PFD,11.32,11.14,20852,"2020-04-03, 05-00-00"
PFD,11.21,11.26,57401,"2020-04-06, 05-00-00"
PFD,11.5,11.85,38323,"2020-04-07, 05-00-00"
PFD,12.17,12.85,55017,"2020-04-08, 05-00-00"
PFD,12.87,13.35,47263,"2020-04-09, 05-00-00"
PFD,13.12,12.6,46284,"2020-04-13, 05-00-00"
PFD,12.96,13.24,61745,"2020-04-14, 05-00-00"
PFD,13.02,13.04,16638,"2020-04-15, 05-00-00"
PFD,13.24,13.1074,20992,"2020-04-16, 05-00-00"
PFD,13.18,13.0472,27877,"2020-04-17, 05-00-00"
PFD,12.8,13.1646,46983,"2020-04-20, 05-00-00"
PFD,12.96,12.735,46924,"2020-04-21, 05-00-00"
PFD,12.73,13.0291,16361,"2020-04-22, 05-00-00"
PFD,13.51,13.0356,20341,"2020-04-23, 05-00-00"
PFD,13.44,13.29,20532,"2020-04-24, 05-00-00"
PFD,13.45,13.53,48176,"2020-04-27, 05-00-00"
PFD,13.74,13.56,25555,"2020-04-28, 05-00-00"
PFD,13.89,14.31,32523,"2020-04-29, 05-00-00"
PFD,14.25,14.1,31285,"2020-04-30, 05-00-00"
PFD,14.09,13.91,23136,"2020-05-01, 05-00-00"
PFD,13.66,13.86,7972,"2020-05-04, 05-00-00"
PFD,13.87,14.02,15596,"2020-05-05, 05-00-00"
PFD,14.12,14.07,54275,"2020-05-06, 05-00-00"
PFD,14.3,14.02,12180,"2020-05-07, 05-00-00"
PFD,14.2,14.14,41164,"2020-05-08, 05-00-00"
PFD,14.12,14.108,27625,"2020-05-11, 05-00-00"
PFD,14.06,14.0503,23683,"2020-05-12, 05-00-00"
PFD,14.13,13.835,21713,"2020-05-13, 05-00-00"
PFD,13.81,13.41,60542,"2020-05-14, 05-00-00"
PFD,13.85,13.4,14946,"2020-05-15, 05-00-00"
PFD,13.5,13.8,33443,"2020-05-18, 05-00-00"
PFD,13.78,13.9681,18617,"2020-05-19, 05-00-00"
PFD,14.05,14.75,49589,"2020-05-20, 05-00-00"
PFD,14.77,14.95,34064,"2020-05-21, 05-00-00"
PFD,14.89,14.58,58501,"2020-05-22, 05-00-00"
PFD,14.71,14.75,26876,"2020-05-26, 05-00-00"
PFD,14.91,14.83,16730,"2020-05-27, 05-00-00"
