symbol,open,close,high,low,volume,date
PQG,13.77,13.73,13.86,13.14,121567,"2019-11-18, 06-00-00"
PQG,13.74,13.66,13.79,13.55,62167,"2019-11-19, 06-00-00"
PQG,13.64,13.65,13.93,13.6,125527,"2019-11-20, 06-00-00"
PQG,13.67,13.42,13.68,13.41,61587,"2019-11-21, 06-00-00"
PQG,13.53,13.48,13.72,13.43,66043,"2019-11-22, 06-00-00"
PQG,13.58,13.67,13.82,13.54,106918,"2019-11-25, 06-00-00"
PQG,13.62,13.68,13.83,13.4958,180069,"2019-11-26, 06-00-00"
PQG,13.77,13.88,13.94,13.66,99163,"2019-11-27, 06-00-00"
PQG,13.78,14.06,14.12,13.7,77161,"2019-11-29, 06-00-00"
PQG,14.09,13.94,14.17,13.89,96697,"2019-12-02, 06-00-00"
PQG,13.82,13.74,13.84,13.6527,91725,"2019-12-03, 06-00-00"
PQG,13.92,13.7,14.08,13.68,59089,"2019-12-04, 06-00-00"
PQG,13.75,13.81,13.88,13.64,49614,"2019-12-05, 06-00-00"
PQG,14.02,13.83,14.19,13.82,101783,"2019-12-06, 06-00-00"
PQG,13.83,13.84,14.0,13.73,55195,"2019-12-09, 06-00-00"
PQG,13.79,13.79,13.95,13.71,64470,"2019-12-10, 06-00-00"
PQG,13.85,13.94,14.07,13.78,63659,"2019-12-11, 06-00-00"
PQG,13.99,14.21,14.42,13.99,93411,"2019-12-12, 06-00-00"
PQG,14.19,14.2,14.37,14.02,81069,"2019-12-13, 06-00-00"
PQG,14.46,14.49,14.57,14.375,105402,"2019-12-16, 06-00-00"
PQG,14.49,14.36,14.59,14.31,326029,"2019-12-17, 06-00-00"
PQG,14.59,14.84,14.85,14.43,151736,"2019-12-18, 06-00-00"
PQG,14.93,15.21,15.24,14.71,132277,"2019-12-19, 06-00-00"
PQG,15.24,15.22,15.35,15.16,375729,"2019-12-20, 06-00-00"
PQG,15.3,15.19,15.3,15.095,81860,"2019-12-23, 06-00-00"
PQG,15.17,15.27,15.35,15.16,66502,"2019-12-24, 06-00-00"
PQG,15.3,15.23,15.3,15.07,62685,"2019-12-26, 06-00-00"
PQG,15.21,15.21,15.3,15.12,74803,"2019-12-27, 06-00-00"
PQG,15.23,15.38,15.4,15.02,340482,"2019-12-30, 06-00-00"
PQG,15.35,15.38,15.45,15.23,86432,"2019-12-31, 06-00-00"
PQG,15.46,15.04,15.46,14.94,82355,"2020-01-02, 06-00-00"
PQG,14.83,14.87,14.91,14.7,77387,"2020-01-03, 06-00-00"
PQG,14.86,14.86,14.9,14.75,90272,"2020-01-06, 06-00-00"
PQG,14.76,14.72,14.91,14.66,38006,"2020-01-07, 06-00-00"
PQG,14.32,14.57,14.68,13.42,170003,"2020-01-08, 06-00-00"
PQG,14.61,14.45,14.71,14.38,192919,"2020-01-09, 06-00-00"
PQG,14.49,14.36,14.62,14.25,84555,"2020-01-10, 06-00-00"
PQG,14.33,14.75,14.79,14.31,42329,"2020-01-13, 06-00-00"
PQG,14.68,14.8,14.94,14.68,46395,"2020-01-14, 06-00-00"
PQG,14.77,14.76,14.95,14.66,61130,"2020-01-15, 06-00-00"
PQG,14.88,14.85,14.95,14.74,54809,"2020-01-16, 06-00-00"
PQG,14.95,14.89,14.95,14.76,50120,"2020-01-17, 06-00-00"
PQG,14.75,14.5,14.84,14.48,57000,"2020-01-21, 06-00-00"
PQG,14.55,14.3,14.55,14.25,45183,"2020-01-22, 06-00-00"
PQG,14.28,14.35,14.43,14.03,71392,"2020-01-23, 06-00-00"
PQG,14.43,14.22,14.43,14.11,69351,"2020-01-24, 06-00-00"
PQG,13.98,14.06,14.14,13.86,50970,"2020-01-27, 06-00-00"
PQG,14.18,13.96,14.18,13.78,65152,"2020-01-28, 06-00-00"
PQG,14.01,13.73,14.09,13.66,90724,"2020-01-29, 06-00-00"
PQG,13.57,13.74,13.75,13.38,55984,"2020-01-30, 06-00-00"
