symbol,open,close,volume,date
PTA,25.01,25.0,2398568,"2020-10-28, 05-00-00"
PTA,25.03,25.08,341799,"2020-10-29, 05-00-00"
PTA,25.08,25.0,166665,"2020-10-30, 05-00-00"
PTA,25.05,25.0,232756,"2020-11-02, 06-00-00"
PTA,25.01,25.0,360749,"2020-11-03, 06-00-00"
PTA,25.02,25.05,257621,"2020-11-04, 06-00-00"
PTA,25.06,25.03,72876,"2020-11-05, 06-00-00"
PTA,25.03,25.03,70492,"2020-11-06, 06-00-00"
PTA,25.09,25.12,980759,"2020-11-09, 06-00-00"
PTA,25.13,25.06,54851,"2020-11-10, 06-00-00"
PTA,25.12,25.11,42419,"2020-11-11, 06-00-00"
PTA,25.06,25.08,48125,"2020-11-12, 06-00-00"
PTA,25.08,25.09,44523,"2020-11-13, 06-00-00"
PTA,25.14,25.1,46967,"2020-11-16, 06-00-00"
PTA,25.22,25.1,104081,"2020-11-17, 06-00-00"
PTA,25.15,25.15,63267,"2020-11-18, 06-00-00"
