symbol,open,close,high,low,volume,date
RGA,164.32,163.31,164.95,162.926,334692,"2019-11-18, 06-00-00"
RGA,164.09,163.9,165.63,163.56,255323,"2019-11-19, 06-00-00"
RGA,163.35,163.55,164.06,162.21,330997,"2019-11-20, 06-00-00"
RGA,164.01,163.93,164.315,162.38,258739,"2019-11-21, 06-00-00"
RGA,164.0,165.03,165.54,163.03,322805,"2019-11-22, 06-00-00"
RGA,164.45,164.44,166.07,164.06,303871,"2019-11-25, 06-00-00"
RGA,164.34,165.26,165.33,163.67,384507,"2019-11-26, 06-00-00"
RGA,165.98,167.3,168.13,165.04,234029,"2019-11-27, 06-00-00"
RGA,167.12,165.46,167.63,165.41,104822,"2019-11-29, 06-00-00"
RGA,165.91,164.15,166.89,163.985,334556,"2019-12-02, 06-00-00"
RGA,162.84,161.21,163.13,160.44,236598,"2019-12-03, 06-00-00"
RGA,161.49,161.98,163.3,160.56,414367,"2019-12-04, 06-00-00"
RGA,162.5,163.44,163.88,162.5,249233,"2019-12-05, 06-00-00"
RGA,164.77,163.94,165.43,163.56,240755,"2019-12-06, 06-00-00"
RGA,163.66,164.42,164.71,163.47,174115,"2019-12-09, 06-00-00"
RGA,164.64,163.93,164.64,163.43,160192,"2019-12-10, 06-00-00"
RGA,163.44,163.89,164.41,162.55,196573,"2019-12-11, 06-00-00"
RGA,163.9,165.29,165.76,163.32,290475,"2019-12-12, 06-00-00"
RGA,164.8,164.68,166.11,163.79,256127,"2019-12-13, 06-00-00"
RGA,165.39,165.22,165.98,164.56,324194,"2019-12-16, 06-00-00"
RGA,165.63,167.42,167.46,164.8,326692,"2019-12-17, 06-00-00"
RGA,167.74,165.57,167.74,165.41,413685,"2019-12-18, 06-00-00"
RGA,165.47,164.18,165.63,163.81,234560,"2019-12-19, 06-00-00"
RGA,165.28,164.21,166.225,163.91,654101,"2019-12-20, 06-00-00"
RGA,164.77,162.88,164.77,161.87,284868,"2019-12-23, 06-00-00"
RGA,162.94,161.81,162.96,161.77,79324,"2019-12-24, 06-00-00"
RGA,161.91,162.25,163.04,161.44,179095,"2019-12-26, 06-00-00"
RGA,162.43,162.0,162.54,161.495,178481,"2019-12-27, 06-00-00"
RGA,162.35,162.15,162.57,161.62,187396,"2019-12-30, 06-00-00"
RGA,161.98,163.06,163.74,161.98,346292,"2019-12-31, 06-00-00"
RGA,164.26,164.65,164.68,162.23,245823,"2020-01-02, 06-00-00"
RGA,162.92,162.71,163.54,161.92,207308,"2020-01-03, 06-00-00"
RGA,161.57,161.01,163.03,160.55,280957,"2020-01-06, 06-00-00"
RGA,160.12,159.15,160.435,158.32,402503,"2020-01-07, 06-00-00"
RGA,159.38,157.9,159.86,157.695,380664,"2020-01-08, 06-00-00"
RGA,158.44,157.89,158.82,157.21,273401,"2020-01-09, 06-00-00"
RGA,157.78,156.16,158.16,155.8375,243476,"2020-01-10, 06-00-00"
RGA,156.34,157.33,157.5,156.005,254557,"2020-01-13, 06-00-00"
RGA,156.88,157.3,158.51,156.0,308921,"2020-01-14, 06-00-00"
RGA,156.49,157.32,159.105,156.49,386317,"2020-01-15, 06-00-00"
RGA,158.2,159.61,159.94,158.02,412130,"2020-01-16, 06-00-00"
RGA,159.88,160.59,160.78,159.625,266824,"2020-01-17, 06-00-00"
RGA,159.3,157.53,160.44,157.38,588560,"2020-01-21, 06-00-00"
RGA,158.18,156.9,158.42,156.34,327001,"2020-01-22, 06-00-00"
RGA,155.72,156.28,157.08,152.97,539159,"2020-01-23, 06-00-00"
RGA,156.22,155.21,156.3226,154.49,334346,"2020-01-24, 06-00-00"
RGA,152.5,152.09,153.23,150.75,534809,"2020-01-27, 06-00-00"
RGA,154.65,154.55,156.14,152.77,565572,"2020-01-28, 06-00-00"
RGA,143.65,146.21,150.5,143.65,1398412,"2020-01-29, 06-00-00"
RGA,144.98,146.81,147.12,144.49,680061,"2020-01-30, 06-00-00"
RGA,145.99,144.05,147.03,143.76,789912,"2020-01-31, 06-00-00"
RGA,144.74,145.87,147.17,144.455,608587,"2020-02-03, 06-00-00"
RGA,148.7,149.07,150.42,147.61,881756,"2020-02-04, 06-00-00"
RGA,149.44,153.02,154.06,149.44,582301,"2020-02-05, 06-00-00"
RGA,153.55,153.44,154.76,152.775,650935,"2020-02-06, 06-00-00"
RGA,152.59,153.58,154.45,152.18,443435,"2020-02-07, 06-00-00"
RGA,152.91,152.62,153.54,152.1903,234155,"2020-02-10, 06-00-00"
RGA,153.49,154.58,155.44,153.26,228757,"2020-02-11, 06-00-00"
RGA,155.74,152.85,155.95,152.665,209361,"2020-02-12, 06-00-00"
RGA,152.29,153.56,153.79,151.32,296354,"2020-02-13, 06-00-00"
RGA,153.75,154.22,154.26,152.8225,250994,"2020-02-14, 06-00-00"
RGA,153.97,152.33,154.29,150.49,201705,"2020-02-18, 06-00-00"
RGA,152.89,151.8,153.17,151.53,201579,"2020-02-19, 06-00-00"
RGA,151.04,153.2,153.29,150.81,290611,"2020-02-20, 06-00-00"
RGA,152.61,151.67,153.55,151.16,393544,"2020-02-21, 06-00-00"
RGA,147.74,146.87,148.88,145.81,437466,"2020-02-24, 06-00-00"
RGA,147.0,140.39,147.78,140.39,662729,"2020-02-25, 06-00-00"
RGA,141.54,136.04,142.765,136.03,673528,"2020-02-26, 06-00-00"
RGA,133.79,128.55,135.03,128.53,928613,"2020-02-27, 06-00-00"
RGA,124.49,122.03,126.22,121.15,1410684,"2020-02-28, 06-00-00"
RGA,122.47,129.97,130.43,122.385,1081989,"2020-03-02, 06-00-00"
RGA,130.06,125.68,133.095,124.76,1066954,"2020-03-03, 06-00-00"
RGA,128.06,128.95,129.38,124.76,646863,"2020-03-04, 06-00-00"
RGA,124.92,121.57,124.92,120.93,684940,"2020-03-05, 06-00-00"
RGA,115.48,117.85,120.13,115.48,612582,"2020-03-06, 06-00-00"
RGA,108.74,99.54,111.9339,98.56,813701,"2020-03-09, 05-00-00"
RGA,103.74,103.85,103.85,96.7333,1223449,"2020-03-10, 05-00-00"
RGA,100.33,96.77,100.95,95.04,859643,"2020-03-11, 05-00-00"
RGA,87.99,83.05,93.15,82.5201,1082205,"2020-03-12, 05-00-00"
RGA,90.66,96.25,96.29,82.87,940656,"2020-03-13, 05-00-00"
RGA,82.78,80.33,85.95,80.32,1185940,"2020-03-16, 05-00-00"
RGA,81.95,83.01,84.89,76.56,1267857,"2020-03-17, 05-00-00"
RGA,78.46,72.14,80.31,65.29,1355424,"2020-03-18, 05-00-00"
RGA,70.89,70.52,71.44,65.09,695068,"2020-03-19, 05-00-00"
RGA,70.43,60.66,71.3,57.87,1576164,"2020-03-20, 05-00-00"
RGA,59.85,57.29,63.65,55.39,1424866,"2020-03-23, 05-00-00"
RGA,61.82,63.98,66.51,59.79,1643923,"2020-03-24, 05-00-00"
RGA,65.4,75.76,80.06,63.28,2021926,"2020-03-25, 05-00-00"
RGA,77.28,79.09,80.38,74.105,1742973,"2020-03-26, 05-00-00"
RGA,75.0,78.85,80.95,74.43,825265,"2020-03-27, 05-00-00"
RGA,78.03,86.92,87.45,76.1452,969138,"2020-03-30, 05-00-00"
RGA,85.92,84.14,87.58,82.25,1187571,"2020-03-31, 05-00-00"
RGA,79.46,81.03,82.63,78.02,688483,"2020-04-01, 05-00-00"
RGA,79.74,81.48,84.34,78.16,752709,"2020-04-02, 05-00-00"
RGA,80.25,78.49,81.74,77.37,995711,"2020-04-03, 05-00-00"
RGA,83.32,89.21,89.72,82.83,1290065,"2020-04-06, 05-00-00"
RGA,94.5,98.74,103.47,93.74,1623550,"2020-04-07, 05-00-00"
RGA,99.4,104.09,105.365,98.87,942021,"2020-04-08, 05-00-00"
RGA,106.84,112.0,114.62,106.84,905812,"2020-04-09, 05-00-00"
RGA,111.73,108.92,111.73,105.0201,1014548,"2020-04-13, 05-00-00"
RGA,112.28,107.02,112.28,103.91,553446,"2020-04-14, 05-00-00"
RGA,102.35,97.78,102.77,97.63,714642,"2020-04-15, 05-00-00"
RGA,97.57,95.99,98.78,93.78,559942,"2020-04-16, 05-00-00"
RGA,101.05,99.9,102.36,98.49,643944,"2020-04-17, 05-00-00"
RGA,96.93,98.23,99.19,95.56,785091,"2020-04-20, 05-00-00"
RGA,94.86,96.24,97.91,93.32,1007494,"2020-04-21, 05-00-00"
RGA,98.39,98.91,99.77,96.62,669727,"2020-04-22, 05-00-00"
RGA,100.32,97.61,101.46,97.4,628423,"2020-04-23, 05-00-00"
RGA,99.05,101.29,101.75,97.36,532475,"2020-04-24, 05-00-00"
RGA,102.29,105.38,106.05,102.29,419352,"2020-04-27, 05-00-00"
RGA,109.34,107.44,111.17,106.64,393147,"2020-04-28, 05-00-00"
RGA,111.74,111.02,113.02,109.28,461268,"2020-04-29, 05-00-00"
RGA,108.3,104.68,109.26,104.6,463918,"2020-04-30, 05-00-00"
RGA,101.66,100.04,102.88,98.82,435543,"2020-05-01, 05-00-00"
RGA,98.05,100.97,101.27,96.2747,439576,"2020-05-04, 05-00-00"
RGA,103.21,100.0,104.54,99.87,480638,"2020-05-05, 05-00-00"
RGA,94.62,87.28,94.86,87.25,1017547,"2020-05-06, 05-00-00"
RGA,88.15,92.08,95.68,88.15,705536,"2020-05-07, 05-00-00"
RGA,94.54,95.01,95.17,91.67,481799,"2020-05-08, 05-00-00"
RGA,93.69,92.01,94.38,91.015,651018,"2020-05-11, 05-00-00"
RGA,92.29,88.66,92.9154,88.43,499192,"2020-05-12, 05-00-00"
RGA,87.87,81.8,87.985,81.4,591466,"2020-05-13, 05-00-00"
RGA,79.79,85.44,85.88,77.01,813175,"2020-05-14, 05-00-00"
RGA,84.34,82.91,86.71,82.35,1364828,"2020-05-15, 05-00-00"
RGA,86.45,90.29,91.59,86.45,528362,"2020-05-18, 05-00-00"
RGA,89.93,85.87,90.91,85.75,519617,"2020-05-19, 05-00-00"
