symbol,open,close,high,low,volume,date
RIV,16.08,16.05,16.09,16.026,82611,"2019-11-18, 06-00-00"
RIV,16.1455,16.06,16.15,16.03,42693,"2019-11-19, 06-00-00"
RIV,16.04,16.02,16.1,16.02,30485,"2019-11-20, 06-00-00"
RIV,16.04,16.0,16.1099,15.99,34880,"2019-11-21, 06-00-00"
RIV,16.01,15.99,16.055,15.99,22599,"2019-11-22, 06-00-00"
RIV,15.99,16.0,16.018,15.98,61528,"2019-11-25, 06-00-00"
RIV,16.02,16.09,16.11,16.0,87920,"2019-11-26, 06-00-00"
RIV,16.04,16.1,16.1535,16.04,37052,"2019-11-27, 06-00-00"
RIV,16.11,16.09,16.1999,16.07,24557,"2019-11-29, 06-00-00"
RIV,16.07,16.07,16.1228,16.04,40231,"2019-12-02, 06-00-00"
RIV,16.07,16.08,16.15,16.0,55719,"2019-12-03, 06-00-00"
RIV,16.12,16.12,16.15,16.06,29294,"2019-12-04, 06-00-00"
RIV,16.12,16.13,16.17,16.08,33036,"2019-12-05, 06-00-00"
RIV,16.08,16.27,16.27,16.08,65852,"2019-12-06, 06-00-00"
RIV,16.17,16.3,16.3,16.17,48662,"2019-12-09, 06-00-00"
RIV,16.3,16.19,16.3,16.12,39791,"2019-12-10, 06-00-00"
RIV,16.15,16.29,16.3,16.15,30908,"2019-12-11, 06-00-00"
RIV,16.35,16.28,16.39,16.23,32736,"2019-12-12, 06-00-00"
RIV,16.3,16.24,16.3,16.24,31655,"2019-12-13, 06-00-00"
RIV,15.97,16.01,16.13,15.85,91598,"2019-12-16, 06-00-00"
RIV,16.07,16.06,16.09,15.94,65837,"2019-12-17, 06-00-00"
RIV,16.1,16.15,16.16,16.04,105467,"2019-12-18, 06-00-00"
RIV,16.11,16.09,16.15,16.06,87947,"2019-12-19, 06-00-00"
RIV,16.05,16.12,16.2,16.01,74061,"2019-12-20, 06-00-00"
RIV,16.12,16.18,16.21,16.098,73288,"2019-12-23, 06-00-00"
RIV,16.19,16.19,16.25,16.1627,36360,"2019-12-24, 06-00-00"
RIV,16.15,16.25,16.3,16.15,50361,"2019-12-26, 06-00-00"
RIV,16.29,16.3,16.38,16.209,60267,"2019-12-27, 06-00-00"
