symbol,open,close,volume,date
SAP,134.2,135.18,739494,"2019-11-18, 06-00-00"
SAP,137.01,135.74,431073,"2019-11-19, 06-00-00"
SAP,135.29,135.0,303766,"2019-11-20, 06-00-00"
SAP,135.44,135.43,280889,"2019-11-21, 06-00-00"
SAP,136.23,135.41,225765,"2019-11-22, 06-00-00"
SAP,135.79,135.74,287611,"2019-11-25, 06-00-00"
SAP,135.41,135.34,664026,"2019-11-26, 06-00-00"
SAP,134.93,135.41,443890,"2019-11-27, 06-00-00"
SAP,135.46,135.95,227733,"2019-11-29, 06-00-00"
SAP,134.93,133.45,628177,"2019-12-02, 06-00-00"
SAP,132.86,134.22,659337,"2019-12-03, 06-00-00"
SAP,135.24,135.54,354593,"2019-12-04, 06-00-00"
SAP,135.53,134.85,486711,"2019-12-05, 06-00-00"
SAP,135.51,135.0,347095,"2019-12-06, 06-00-00"
SAP,135.12,134.86,233338,"2019-12-09, 06-00-00"
SAP,134.25,134.7,300593,"2019-12-10, 06-00-00"
SAP,134.25,134.91,262369,"2019-12-11, 06-00-00"
SAP,135.08,136.7,680024,"2019-12-12, 06-00-00"
SAP,137.03,138.5,745375,"2019-12-13, 06-00-00"
SAP,138.63,139.39,497109,"2019-12-16, 06-00-00"
SAP,135.8,134.04,1439203,"2019-12-17, 06-00-00"
SAP,133.32,133.39,663689,"2019-12-18, 06-00-00"
SAP,133.03,133.08,454109,"2019-12-19, 06-00-00"
SAP,133.93,134.41,474287,"2019-12-20, 06-00-00"
SAP,133.16,133.77,296775,"2019-12-23, 06-00-00"
SAP,134.12,133.6,117911,"2019-12-24, 06-00-00"
SAP,133.92,134.58,169998,"2019-12-26, 06-00-00"
SAP,135.88,134.98,357194,"2019-12-27, 06-00-00"
SAP,134.66,133.39,257203,"2019-12-30, 06-00-00"
SAP,133.17,133.99,299298,"2019-12-31, 06-00-00"
SAP,135.42,136.81,2967539,"2020-01-02, 06-00-00"
SAP,133.3,133.98,507797,"2020-01-03, 06-00-00"
SAP,133.16,134.2,442872,"2020-01-06, 06-00-00"
SAP,134.08,133.62,622393,"2020-01-07, 06-00-00"
SAP,133.9,135.08,513264,"2020-01-08, 06-00-00"
SAP,136.49,137.13,457811,"2020-01-09, 06-00-00"
SAP,137.55,136.98,464042,"2020-01-10, 06-00-00"
SAP,137.65,138.33,555487,"2020-01-13, 06-00-00"
SAP,137.5,137.25,342153,"2020-01-14, 06-00-00"
SAP,137.33,136.4,491726,"2020-01-15, 06-00-00"
SAP,136.67,137.29,1074927,"2020-01-16, 06-00-00"
SAP,139.04,139.96,507490,"2020-01-17, 06-00-00"
SAP,138.9,139.54,579509,"2020-01-21, 06-00-00"
SAP,140.35,139.58,473145,"2020-01-22, 06-00-00"
SAP,138.41,138.14,622115,"2020-01-23, 06-00-00"
