symbol,open,close,volume,date
SB,1.63,1.59,288052,"2019-11-18, 06-00-00"
SB,1.6,1.63,229424,"2019-11-19, 06-00-00"
SB,1.66,1.67,339194,"2019-11-20, 06-00-00"
SB,1.67,1.78,368554,"2019-11-21, 06-00-00"
SB,1.8,1.67,278020,"2019-11-22, 06-00-00"
SB,1.67,1.71,214608,"2019-11-25, 06-00-00"
SB,1.7,1.69,108131,"2019-11-26, 06-00-00"
SB,1.68,1.68,117225,"2019-11-27, 06-00-00"
SB,1.69,1.75,185214,"2019-11-29, 06-00-00"
SB,1.77,1.75,340172,"2019-12-02, 06-00-00"
SB,1.72,1.68,253416,"2019-12-03, 06-00-00"
SB,1.68,1.65,148061,"2019-12-04, 06-00-00"
SB,1.65,1.69,93511,"2019-12-05, 06-00-00"
SB,1.78,1.7,116460,"2019-12-06, 06-00-00"
SB,1.7,1.68,85456,"2019-12-09, 06-00-00"
SB,1.69,1.74,131871,"2019-12-10, 06-00-00"
SB,1.73,1.8,339085,"2019-12-11, 06-00-00"
SB,1.8,1.73,166545,"2019-12-12, 06-00-00"
SB,1.72,1.72,147373,"2019-12-13, 06-00-00"
SB,1.72,1.66,289001,"2019-12-16, 06-00-00"
SB,1.68,1.7,115292,"2019-12-17, 06-00-00"
SB,1.7,1.7,84038,"2019-12-18, 06-00-00"
SB,1.68,1.75,224442,"2019-12-19, 06-00-00"
SB,1.75,1.7,484811,"2019-12-20, 06-00-00"
SB,1.74,1.73,182360,"2019-12-23, 06-00-00"
SB,1.76,1.75,59171,"2019-12-24, 06-00-00"
SB,1.74,1.76,136764,"2019-12-26, 06-00-00"
SB,1.78,1.75,136283,"2019-12-27, 06-00-00"
SB,1.75,1.7,300035,"2019-12-30, 06-00-00"
SB,1.69,1.7,190549,"2019-12-31, 06-00-00"
SB,1.7,1.7,298828,"2020-01-02, 06-00-00"
SB,1.68,1.63,563837,"2020-01-03, 06-00-00"
SB,1.61,1.66,267143,"2020-01-06, 06-00-00"
SB,1.66,1.67,183456,"2020-01-07, 06-00-00"
SB,1.68,1.63,151217,"2020-01-08, 06-00-00"
SB,1.63,1.61,221985,"2020-01-09, 06-00-00"
SB,1.61,1.59,170908,"2020-01-10, 06-00-00"
SB,1.62,1.63,277938,"2020-01-13, 06-00-00"
SB,1.62,1.74,392046,"2020-01-14, 06-00-00"
SB,1.75,1.66,179525,"2020-01-15, 06-00-00"
SB,1.64,1.61,242946,"2020-01-16, 06-00-00"
SB,1.61,1.6,189543,"2020-01-17, 06-00-00"
SB,1.62,1.53,321193,"2020-01-21, 06-00-00"
SB,1.54,1.52,256444,"2020-01-22, 06-00-00"
SB,1.53,1.49,240495,"2020-01-23, 06-00-00"
SB,1.49,1.47,177344,"2020-01-24, 06-00-00"
SB,1.47,1.41,299119,"2020-01-27, 06-00-00"
SB,1.42,1.4,342741,"2020-01-28, 06-00-00"
SB,1.42,1.37,385159,"2020-01-29, 06-00-00"
SB,1.35,1.32,309551,"2020-01-30, 06-00-00"
SB,1.37,1.3,301226,"2020-01-31, 06-00-00"
SB,1.29,1.28,320721,"2020-02-03, 06-00-00"
SB,1.31,1.3,369117,"2020-02-04, 06-00-00"
SB,1.34,1.3,541624,"2020-02-05, 06-00-00"
SB,1.31,1.31,396510,"2020-02-06, 06-00-00"
SB,1.31,1.27,354015,"2020-02-07, 06-00-00"
SB,1.28,1.27,300934,"2020-02-10, 06-00-00"
SB,1.3,1.35,527584,"2020-02-11, 06-00-00"
SB,1.38,1.39,275504,"2020-02-12, 06-00-00"
SB,1.4,1.4,276149,"2020-02-13, 06-00-00"
SB,1.41,1.37,465980,"2020-02-14, 06-00-00"
SB,1.38,1.39,258364,"2020-02-18, 06-00-00"
SB,1.39,1.4,180095,"2020-02-19, 06-00-00"
SB,1.4,1.41,266555,"2020-02-20, 06-00-00"
SB,1.41,1.41,247091,"2020-02-21, 06-00-00"
SB,1.35,1.33,475316,"2020-02-24, 06-00-00"
SB,1.36,1.25,495643,"2020-02-25, 06-00-00"
SB,1.25,1.25,373984,"2020-02-26, 06-00-00"
SB,1.23,1.27,690601,"2020-02-27, 06-00-00"
SB,1.24,1.32,457366,"2020-02-28, 06-00-00"
SB,1.29,1.35,363176,"2020-03-02, 06-00-00"
SB,1.35,1.35,223689,"2020-03-03, 06-00-00"
SB,1.36,1.36,237489,"2020-03-04, 06-00-00"
SB,1.32,1.27,146280,"2020-03-05, 06-00-00"
SB,1.25,1.27,231647,"2020-03-06, 06-00-00"
SB,1.21,1.21,334294,"2020-03-09, 05-00-00"
SB,1.25,1.25,291450,"2020-03-10, 05-00-00"
SB,1.23,1.17,240427,"2020-03-11, 05-00-00"
SB,1.1,1.13,425074,"2020-03-12, 05-00-00"
SB,1.18,1.05,824572,"2020-03-13, 05-00-00"
SB,0.99,0.8601,479005,"2020-03-16, 05-00-00"
SB,0.8212,1.12,912705,"2020-03-17, 05-00-00"
SB,1.05,0.9901,415492,"2020-03-18, 05-00-00"
SB,1.03,1.08,385972,"2020-03-19, 05-00-00"
SB,1.09,1.01,449143,"2020-03-20, 05-00-00"
SB,0.99,1.04,207385,"2020-03-23, 05-00-00"
SB,1.06,1.15,340673,"2020-03-24, 05-00-00"
SB,1.13,1.12,260396,"2020-03-25, 05-00-00"
SB,1.08,1.22,382864,"2020-03-26, 05-00-00"
SB,1.17,1.08,289054,"2020-03-27, 05-00-00"
SB,1.08,1.14,299347,"2020-03-30, 05-00-00"
SB,1.18,1.19,274281,"2020-03-31, 05-00-00"
