symbol,open,close,high,low,volume,date
SD,5.33,5.33,5.46,5.3,5872481,2010-11-18
SD,5.33,5.26,5.35,5.23,13584789,2010-11-19
SD,5.26,5.32,5.36,5.22,5959545,2010-11-22
SD,5.25,5.23,5.34,5.21,6992071,2010-11-23
SD,5.29,5.35,5.36,5.23,7374374,2010-11-24
SD,5.29,5.3,5.34,5.25,1203213,2010-11-26
SD,5.28,5.29,5.37,5.23,7816871,2010-11-29
SD,5.24,5.16,5.29,5.14,6918489,2010-11-30
SD,5.23,5.18,5.25,5.16,6809211,2010-12-01
SD,5.21,5.43,5.46,5.2,9343527,2010-12-02
SD,5.38,5.63,5.64,5.36,5564108,2010-12-03
SD,5.8,5.95,6.0,5.78,17160617,2010-12-06
SD,6.05,5.96,6.16,5.85,14228773,2010-12-07
SD,6.01,6.07,6.07,5.85,9926358,2010-12-08
SD,6.13,6.08,6.15,6.0,8016304,2010-12-09
SD,6.12,6.35,6.42,6.09,13662781,2010-12-10
SD,6.45,6.48,6.6,6.41,12110106,2010-12-13
SD,6.56,6.6,6.75,6.5,12094597,2010-12-14
SD,6.59,6.56,6.73,6.53,8606877,2010-12-15
SD,6.56,6.55,6.61,6.42,6390939,2010-12-16
SD,6.52,6.65,6.65,6.47,9298407,2010-12-17
SD,6.66,6.82,6.89,6.63,10514425,2010-12-20
SD,6.84,7.09,7.22,6.84,12165575,2010-12-21
SD,7.17,7.28,7.42,7.11,13190571,2010-12-22
SD,7.31,7.26,7.35,7.21,5405550,2010-12-23
SD,7.28,7.22,7.31,7.1704,4795248,2010-12-27
SD,7.21,7.17,7.25,7.15,4874262,2010-12-28
SD,7.16,7.4,7.46,7.11,6351412,2010-12-29
SD,7.48,7.35,7.49,7.26,4194630,2010-12-30
SD,7.33,7.32,7.35,7.22,3916334,2010-12-31
SD,7.41,7.44,7.59,7.34,10173344,2011-01-03
SD,7.52,7.35,7.59,7.17,8527345,2011-01-04
SD,7.3,7.54,7.54,7.17,9224785,2011-01-05
SD,7.88,7.85,8.05,7.665,17110353,2011-01-06
SD,7.82,7.81,7.92,7.68,8276189,2011-01-07
SD,7.73,7.85,7.87,7.68,6002091,2011-01-10
SD,7.89,7.8,7.95,7.76,9036468,2011-01-11
SD,7.85,7.82,7.87,7.76,7114952,2011-01-12
SD,7.84,7.83,7.95,7.79,7647299,2011-01-13
SD,7.84,7.86,7.9,7.76,5953080,2011-01-14
SD,7.84,7.88,7.91,7.77,4358842,2011-01-18
SD,7.92,7.51,7.95,7.49,11068100,2011-01-19
SD,7.33,7.37,7.48,7.09,13312433,2011-01-20
SD,7.39,7.28,7.53,7.25,6756921,2011-01-21
SD,7.31,7.38,7.445,7.25,7902237,2011-01-24
SD,7.39,7.15,7.39,7.09,6826747,2011-01-25
SD,7.16,7.28,7.3,7.08,6037446,2011-01-26
SD,7.25,7.16,7.25,7.11,5330017,2011-01-27
SD,7.13,7.27,7.315,6.95,14026791,2011-01-28
SD,7.34,7.44,7.5,7.25,6651204,2011-01-31
SD,7.5,7.63,7.86,7.29,12156504,2011-02-01
SD,7.63,7.53,7.695,7.53,5764498,2011-02-02
SD,7.55,7.62,7.62,7.4,5479609,2011-02-03
SD,7.63,7.79,7.8,7.47,12299446,2011-02-04
SD,7.88,8.09,8.17,7.72,13045424,2011-02-07
SD,8.09,8.31,8.36,7.89,14207268,2011-02-08
SD,8.26,8.2,8.31,8.15,7784792,2011-02-09
SD,8.1,8.27,8.31,8.1,7147835,2011-02-10
SD,8.23,8.53,8.66,8.225,12068043,2011-02-11
SD,8.49,8.72,8.8,8.49,10049753,2011-02-14
SD,8.82,8.76,8.83,8.7,8048404,2011-02-15
SD,8.79,8.97,9.01,8.745,11777523,2011-02-16
SD,9.05,9.28,9.385,8.97,15660056,2011-02-17
SD,9.31,8.92,9.37,8.8,12744165,2011-02-18
SD,9.17,8.61,9.21,8.51,11223995,2011-02-22
SD,8.67,9.05,9.17,8.66,11072315,2011-02-23
SD,9.24,9.18,9.27,8.86,14813228,2011-02-24
SD,10.19,10.53,10.54,9.83,43496625,2011-02-25
SD,10.76,10.81,10.9,10.4,27711247,2011-02-28
SD,11.14,10.66,11.14,10.61,20982891,2011-03-01
SD,10.75,10.25,10.94,10.21,21500321,2011-03-02
SD,10.43,10.4,10.74,10.35,21327353,2011-03-03
SD,10.46,11.11,11.12,10.35,20303877,2011-03-04
SD,11.36,11.26,11.47,10.94,17407952,2011-03-07
SD,11.28,10.81,11.29,10.67,13739649,2011-03-08
SD,10.64,10.79,10.94,10.63,10654028,2011-03-09
SD,10.39,10.05,10.47,9.81,17921003,2011-03-10
SD,9.83,10.49,10.63,9.71,12513478,2011-03-11
SD,10.37,10.49,10.6,10.18,8053238,2011-03-14
SD,10.07,10.41,10.5699,9.83,9652227,2011-03-15
SD,10.46,10.42,10.87,10.23,15919659,2011-03-16
SD,10.61,10.62,10.82,10.48,12692240,2011-03-17
SD,10.84,10.63,10.85,10.63,14134591,2011-03-18
SD,10.9,11.12,11.1725,10.8,10101382,2011-03-21
SD,11.15,11.27,11.32,11.01,8114036,2011-03-22
SD,11.32,11.48,11.5,11.2,8525828,2011-03-23
SD,11.57,11.7,11.98,11.54,16493161,2011-03-24
