symbol,open,close,volume,date
TGNA,15.29,15.31,1101166,"2019-11-18, 06-00-00"
TGNA,15.45,15.39,852361,"2019-11-19, 06-00-00"
TGNA,15.33,15.05,1435990,"2019-11-20, 06-00-00"
TGNA,15.11,14.83,1365845,"2019-11-21, 06-00-00"
TGNA,14.96,15.19,1102234,"2019-11-22, 06-00-00"
TGNA,15.28,15.62,2147147,"2019-11-25, 06-00-00"
TGNA,15.55,15.4,917781,"2019-11-26, 06-00-00"
TGNA,15.47,15.5,631940,"2019-11-27, 06-00-00"
TGNA,15.49,15.35,406182,"2019-11-29, 06-00-00"
TGNA,15.35,15.1,1805146,"2019-12-02, 06-00-00"
TGNA,14.91,15.01,2189577,"2019-12-03, 06-00-00"
TGNA,15.11,15.35,2129135,"2019-12-04, 06-00-00"
TGNA,15.35,15.45,2613110,"2019-12-05, 06-00-00"
TGNA,15.61,15.63,1640013,"2019-12-06, 06-00-00"
TGNA,15.57,15.87,1942273,"2019-12-09, 06-00-00"
TGNA,15.8,15.77,2180155,"2019-12-10, 06-00-00"
TGNA,15.82,15.86,1147218,"2019-12-11, 06-00-00"
TGNA,15.83,16.16,1942541,"2019-12-12, 06-00-00"
TGNA,16.08,16.18,1886421,"2019-12-13, 06-00-00"
TGNA,16.25,16.3,1615586,"2019-12-16, 06-00-00"
TGNA,16.3,16.38,1728678,"2019-12-17, 06-00-00"
TGNA,16.41,16.4,1911041,"2019-12-18, 06-00-00"
TGNA,16.45,16.6,1510211,"2019-12-19, 06-00-00"
TGNA,16.83,16.94,5368158,"2019-12-20, 06-00-00"
TGNA,16.92,16.91,1435902,"2019-12-23, 06-00-00"
TGNA,16.91,16.77,312830,"2019-12-24, 06-00-00"
TGNA,16.79,16.85,601486,"2019-12-26, 06-00-00"
TGNA,16.93,16.71,880662,"2019-12-27, 06-00-00"
TGNA,16.74,16.57,623603,"2019-12-30, 06-00-00"
TGNA,16.58,16.69,1424937,"2019-12-31, 06-00-00"
TGNA,16.85,16.36,1090178,"2020-01-02, 06-00-00"
