symbol,open,close,high,low,volume,date
VICI,24.66,24.56,24.7525,24.48,2872495,"2019-11-18, 06-00-00"
VICI,24.5,24.48,24.535,24.27,6405175,"2019-11-19, 06-00-00"
VICI,24.41,24.7,24.72,24.41,5815456,"2019-11-20, 06-00-00"
VICI,24.7,24.35,24.74,24.315,3966482,"2019-11-21, 06-00-00"
VICI,24.41,24.32,24.53,24.16,3494148,"2019-11-22, 06-00-00"
VICI,24.42,24.48,24.75,24.33,5428966,"2019-11-25, 06-00-00"
VICI,24.5,24.6,24.63,24.415,22601946,"2019-11-26, 06-00-00"
VICI,24.54,24.89,24.895,24.51,2503798,"2019-11-27, 06-00-00"
VICI,24.81,24.73,24.94,24.7,1070613,"2019-11-29, 06-00-00"
VICI,24.67,24.47,24.72,24.32,4423942,"2019-12-02, 06-00-00"
VICI,24.36,24.66,24.73,24.35,3248782,"2019-12-03, 06-00-00"
VICI,24.57,24.48,24.83,24.48,3653104,"2019-12-04, 06-00-00"
VICI,24.52,24.7,24.775,24.5,5776470,"2019-12-05, 06-00-00"
VICI,24.74,24.94,24.97,24.61,3396904,"2019-12-06, 06-00-00"
VICI,24.94,24.92,25.01,24.84,2710203,"2019-12-09, 06-00-00"
VICI,24.88,24.9,25.02,24.765,5947632,"2019-12-10, 06-00-00"
VICI,24.9,24.69,25.05,24.58,2700320,"2019-12-11, 06-00-00"
VICI,24.78,24.65,24.95,24.485,2824152,"2019-12-12, 06-00-00"
VICI,24.63,24.33,24.76,24.27,6139553,"2019-12-13, 06-00-00"
VICI,24.35,24.61,24.67,24.14,6800285,"2019-12-16, 06-00-00"
VICI,24.65,24.85,24.99,24.575,3242163,"2019-12-17, 06-00-00"
VICI,24.87,25.03,25.12,24.79,4195192,"2019-12-18, 06-00-00"
VICI,25.1,25.32,25.32,24.99,3944172,"2019-12-19, 06-00-00"
VICI,25.54,25.36,25.54,25.275,3467033,"2019-12-20, 06-00-00"
VICI,25.46,25.34,25.48,25.245,2799266,"2019-12-23, 06-00-00"
VICI,25.3,25.2,25.37,25.14,1061207,"2019-12-24, 06-00-00"
VICI,25.0,25.03,25.14,24.935,1940078,"2019-12-26, 06-00-00"
VICI,25.14,25.24,25.24,25.035,1176029,"2019-12-27, 06-00-00"
VICI,25.22,25.28,25.3,25.1,2036861,"2019-12-30, 06-00-00"
VICI,25.32,25.55,25.55,25.285,1732650,"2019-12-31, 06-00-00"
VICI,25.62,25.28,25.66,25.035,2070426,"2020-01-02, 06-00-00"
VICI,25.16,25.3,25.38,25.07,1944019,"2020-01-03, 06-00-00"
VICI,25.21,25.04,25.34,24.97,4170490,"2020-01-06, 06-00-00"
VICI,24.93,24.94,25.08,24.71,3175972,"2020-01-07, 06-00-00"
VICI,24.99,25.1,25.15,24.74,4319989,"2020-01-08, 06-00-00"
VICI,25.05,25.35,25.37,25.025,3412803,"2020-01-09, 06-00-00"
VICI,25.43,25.37,25.49,25.29,4035401,"2020-01-10, 06-00-00"
VICI,25.4,25.35,25.43,25.23,4080811,"2020-01-13, 06-00-00"
VICI,25.36,25.47,25.585,25.26,6286248,"2020-01-14, 06-00-00"
VICI,25.65,25.98,26.14,25.5,6235125,"2020-01-15, 06-00-00"
VICI,26.13,26.19,26.245,26.05,2938449,"2020-01-16, 06-00-00"
VICI,26.19,26.27,26.42,26.13,2536119,"2020-01-17, 06-00-00"
VICI,26.29,26.37,26.57,26.28,3232401,"2020-01-21, 06-00-00"
VICI,26.44,26.55,26.68,26.43,2841201,"2020-01-22, 06-00-00"
VICI,26.55,26.61,26.755,26.4662,2861870,"2020-01-23, 06-00-00"
VICI,26.65,26.65,26.86,26.55,2351633,"2020-01-24, 06-00-00"
VICI,26.52,26.37,26.52,26.205,3371692,"2020-01-27, 06-00-00"
VICI,26.42,26.31,26.47,26.275,2001022,"2020-01-28, 06-00-00"
VICI,26.4,26.73,26.74,26.3,1930910,"2020-01-29, 06-00-00"
VICI,26.6,26.83,27.13,26.56,5231852,"2020-01-30, 06-00-00"
VICI,26.81,26.8,26.94,26.605,3314011,"2020-01-31, 06-00-00"
VICI,26.78,26.85,27.02,26.72,2569830,"2020-02-03, 06-00-00"
VICI,26.97,27.03,27.16,26.95,2528200,"2020-02-04, 06-00-00"
VICI,27.06,26.96,27.17,26.8,7014853,"2020-02-05, 06-00-00"
VICI,27.03,27.15,27.31,26.88,4119187,"2020-02-06, 06-00-00"
VICI,27.21,27.12,27.21,27.01,1926385,"2020-02-07, 06-00-00"
VICI,27.24,27.48,27.48,27.05,2392582,"2020-02-10, 06-00-00"
VICI,27.49,27.69,27.7,27.44,3112124,"2020-02-11, 06-00-00"
VICI,27.67,27.72,27.87,27.4936,3088473,"2020-02-12, 06-00-00"
VICI,27.65,27.89,27.89,27.63,4303064,"2020-02-13, 06-00-00"
VICI,27.93,28.11,28.11,27.83,4269492,"2020-02-14, 06-00-00"
VICI,28.09,27.88,28.14,27.755,3292171,"2020-02-18, 06-00-00"
VICI,27.87,27.47,27.92,27.37,4052621,"2020-02-19, 06-00-00"
VICI,27.51,28.13,28.16,27.48,4465493,"2020-02-20, 06-00-00"
VICI,28.38,28.15,28.75,27.79,4698746,"2020-02-21, 06-00-00"
VICI,27.81,27.5,27.94,27.47,4663348,"2020-02-24, 06-00-00"
VICI,27.56,26.69,27.69,26.61,7014264,"2020-02-25, 06-00-00"
VICI,26.69,25.64,27.105,25.61,9770668,"2020-02-26, 06-00-00"
VICI,25.26,24.8,25.595,24.23,12384458,"2020-02-27, 06-00-00"
VICI,24.08,25.06,25.06,23.61,10429659,"2020-02-28, 06-00-00"
VICI,25.17,24.66,25.32,24.06,6889897,"2020-03-02, 06-00-00"
VICI,25.02,24.72,25.52,24.6,6748015,"2020-03-03, 06-00-00"
VICI,25.0,25.65,25.655,24.8,4536558,"2020-03-04, 06-00-00"
VICI,25.19,24.9,25.27,24.5,5566944,"2020-03-05, 06-00-00"
VICI,24.36,24.22,24.585,23.725,4989534,"2020-03-06, 06-00-00"
VICI,22.9,21.67,23.04,21.5501,4455291,"2020-03-09, 05-00-00"
VICI,22.28,23.02,23.03,21.54,3999476,"2020-03-10, 05-00-00"
VICI,22.45,20.62,22.48,20.5801,4945934,"2020-03-11, 05-00-00"
VICI,19.29,16.23,19.57,16.09,11594686,"2020-03-12, 05-00-00"
VICI,17.74,17.6,18.28,15.8,13095379,"2020-03-13, 05-00-00"
VICI,15.41,12.56,15.41,11.61,14389385,"2020-03-16, 05-00-00"
VICI,12.73,13.02,13.145,10.37,13183091,"2020-03-17, 05-00-00"
VICI,11.85,11.2,12.12,9.85,12937177,"2020-03-18, 05-00-00"
VICI,11.01,11.49,12.8,9.85,9753564,"2020-03-19, 05-00-00"
VICI,11.5,12.31,13.42,11.5,13213235,"2020-03-20, 05-00-00"
VICI,12.17,11.74,12.31,11.26,9180025,"2020-03-23, 05-00-00"
VICI,12.6,13.11,13.43,12.065,7614414,"2020-03-24, 05-00-00"
VICI,13.61,15.43,16.46,13.61,8514464,"2020-03-25, 05-00-00"
VICI,15.81,16.15,16.65,15.51,6194146,"2020-03-26, 05-00-00"
VICI,15.36,16.11,16.55,15.13,6137498,"2020-03-27, 05-00-00"
