symbol,open,close,high,low,volume,date
WBT,19.06,19.27,19.75,18.91,385846,2017-03-06
WBT,19.2,19.1,19.2599,18.95,342067,2017-03-07
WBT,18.8,19.05,19.25,18.8,460791,2017-03-08
WBT,19.09,19.04,19.19,18.8,738402,2017-03-09
WBT,19.07,18.94,19.23,18.81,522205,2017-03-10
WBT,18.92,19.02,19.11,18.81,680594,2017-03-13
WBT,18.97,19.08,19.19,18.8289,876620,2017-03-14
WBT,19.25,19.33,19.43,19.0,970202,2017-03-15
WBT,19.5,19.25,19.72,19.09,592027,2017-03-16
WBT,19.2,19.25,19.39,19.05,710656,2017-03-17
WBT,19.48,19.41,19.69,19.28,681747,2017-03-20
WBT,19.57,19.18,19.65,19.01,670347,2017-03-21
WBT,19.18,19.06,19.22,18.81,554463,2017-03-22
WBT,19.1,19.24,19.46,19.03,360002,2017-03-23
WBT,19.33,19.05,19.42,18.98,438300,2017-03-24
WBT,18.91,19.11,19.125,18.75,402767,2017-03-27
WBT,19.12,19.22,19.31,18.8,335719,2017-03-28
WBT,19.18,19.45,19.515,19.11,383639,2017-03-29
WBT,19.53,19.59,19.69,19.44,386796,2017-03-30
WBT,19.58,19.63,19.84,19.46,811869,2017-03-31
WBT,19.63,19.08,19.72,19.03,632578,2017-04-03
WBT,19.07,19.05,19.29,18.99,624958,2017-04-04
WBT,19.25,19.02,19.39,18.88,1459754,2017-04-05
WBT,19.04,19.16,19.38,18.91,507139,2017-04-06
WBT,19.12,19.32,19.37,19.05,615670,2017-04-07
WBT,19.32,19.39,19.68,19.25,511262,2017-04-10
WBT,19.31,19.15,19.49,18.95,486275,2017-04-11
WBT,19.1,19.0,19.13,18.66,724151,2017-04-12
WBT,18.98,18.79,19.15,18.66,417571,2017-04-13
WBT,18.74,19.05,19.07,18.72,548834,2017-04-17
WBT,18.97,19.14,19.19,18.94,484547,2017-04-18
WBT,19.21,19.23,19.34,19.04,406791,2017-04-19
WBT,19.34,19.75,19.75,19.29,478204,2017-04-20
WBT,19.73,19.88,19.9,19.56,347656,2017-04-21
WBT,20.0,20.33,20.345,19.98,747608,2017-04-24
WBT,20.45,20.68,20.83,20.45,983299,2017-04-25
WBT,20.67,20.89,21.1,20.57,1416966,2017-04-26
WBT,20.88,20.67,21.03,20.57,388001,2017-04-27
WBT,20.8,20.5,20.81,20.4,444795,2017-04-28
WBT,20.53,20.44,20.69,20.385,268623,2017-05-01
WBT,20.52,20.72,20.72,20.46,507181,2017-05-02
WBT,20.59,20.52,20.67,20.33,250858,2017-05-03
WBT,20.56,20.67,20.81,20.35,494860,2017-05-04
WBT,20.75,21.02,21.095,20.61,784083,2017-05-05
WBT,20.04,20.26,21.13,19.89,1305495,2017-05-08
WBT,20.25,20.06,20.25,19.69,1392080,2017-05-09
WBT,20.05,20.24,20.28,19.85,553671,2017-05-10
WBT,20.19,19.98,20.19,19.77,347407,2017-05-11
WBT,19.93,19.77,19.94,19.74,279146,2017-05-12
WBT,19.83,19.91,19.98,19.77,306701,2017-05-15
WBT,19.93,19.77,19.93,19.62,390008,2017-05-16
WBT,19.62,18.83,19.67,18.79,473537,2017-05-17
WBT,18.74,19.06,19.16,18.52,499743,2017-05-18
WBT,19.17,19.54,19.62,19.06,618249,2017-05-19
WBT,19.64,19.95,19.985,19.46,642525,2017-05-22
WBT,20.0,19.83,20.0,19.64,598172,2017-05-23
WBT,19.92,19.89,19.98,19.72,819758,2017-05-24
WBT,19.89,19.8,19.9,19.66,265593,2017-05-25
WBT,19.8,19.79,19.85,19.65,257045,2017-05-26
WBT,19.61,19.6,19.79,19.35,867863,2017-05-30
WBT,19.59,19.34,19.59,19.04,1061608,2017-05-31
WBT,19.32,19.14,19.34,18.89,744209,2017-06-01
WBT,19.14,19.46,19.55,19.07,787210,2017-06-02
WBT,19.39,19.38,19.5,19.09,964859,2017-06-05
WBT,19.28,19.25,19.37,19.01,722124,2017-06-06
WBT,19.19,19.36,19.45,19.14,630251,2017-06-07
WBT,19.35,19.54,19.66,19.29,342658,2017-06-08
WBT,19.66,19.56,19.69,19.48,554109,2017-06-09
WBT,19.56,19.34,19.67,19.19,344845,2017-06-12
WBT,19.38,19.37,19.5,19.21,436977,2017-06-13
WBT,19.31,19.24,19.38,19.14,307403,2017-06-14
WBT,19.07,19.11,19.16,18.97,305095,2017-06-15
WBT,19.12,18.89,19.12,18.7,846143,2017-06-16
WBT,18.95,19.14,19.17,18.92,420380,2017-06-19
WBT,19.1,18.91,19.14,18.745,530494,2017-06-20
WBT,18.98,18.78,19.02,18.72,764969,2017-06-21
WBT,18.74,18.88,18.96,18.615,761494,2017-06-22
WBT,18.87,18.81,18.95,18.75,2019191,2017-06-23
WBT,18.84,18.9,18.9655,18.71,756547,2017-06-26
WBT,18.86,18.55,18.93,18.55,561982,2017-06-27
WBT,18.68,18.93,19.14,18.57,654310,2017-06-28
WBT,18.92,18.64,19.01,18.55,1527015,2017-06-29
WBT,18.65,18.85,18.98,18.61,901624,2017-06-30
WBT,18.79,18.68,18.85,18.5134,652007,2017-07-03
WBT,18.67,19.23,19.28,18.545,1236769,2017-07-05
WBT,19.12,19.02,19.29,18.915,2182365,2017-07-06
WBT,19.01,19.15,19.225,18.93,380895,2017-07-07
WBT,19.13,19.3,19.36,18.98,1353658,2017-07-10
WBT,19.34,19.34,19.52,19.26,1705286,2017-07-11
WBT,19.53,19.31,19.53,18.96,584389,2017-07-12
WBT,19.29,19.23,19.42,19.16,422971,2017-07-13
WBT,19.25,19.39,19.4,19.11,340226,2017-07-14
WBT,19.32,19.51,19.55,19.205,1821722,2017-07-17
WBT,19.51,19.49,19.63,19.35,919979,2017-07-18
WBT,19.47,19.54,19.59,19.41,1318754,2017-07-19
WBT,19.59,19.43,19.67,19.3045,363232,2017-07-20
WBT,19.31,19.51,19.52,19.24,372932,2017-07-21
WBT,19.47,19.4,19.54,19.28,612397,2017-07-24
WBT,19.51,19.44,19.55,19.35,721143,2017-07-25
WBT,19.49,19.48,19.57,19.28,613432,2017-07-26
WBT,19.53,19.47,19.59,19.44,600507,2017-07-27
WBT,19.47,19.48,19.59,19.11,1366197,2017-07-28
WBT,19.47,19.49,19.5075,19.31,516403,2017-07-31
WBT,19.025,19.25,19.54,19.025,590649,2017-08-01
WBT,19.17,19.43,19.505,19.17,466149,2017-08-02
WBT,19.45,19.45,19.58,19.37,351166,2017-08-03
WBT,19.52,19.4,19.65,19.13,953339,2017-08-04
WBT,19.35,19.49,19.53,19.35,421183,2017-08-07
WBT,19.48,19.37,19.6,19.25,524182,2017-08-08
WBT,19.7,19.51,19.96,19.44,1151906,2017-08-09
WBT,19.57,19.41,19.5723,19.36,602929,2017-08-10
WBT,19.09,19.54,19.63,19.09,4013370,2017-08-11
WBT,19.69,20.1,20.15,19.69,2536500,2017-08-14
WBT,20.1,19.64,20.18,19.59,559885,2017-08-15
