symbol,open,close,date
BRX,22.43,22.71,"2019-11-18, 06-00-00"
BRX,22.7,22.5,"2019-11-19, 06-00-00"
BRX,22.15,21.97,"2019-11-20, 06-00-00"
BRX,21.96,21.58,"2019-11-21, 06-00-00"
BRX,21.58,21.6,"2019-11-22, 06-00-00"
BRX,21.61,21.8,"2019-11-25, 06-00-00"
BRX,21.81,21.93,"2019-11-26, 06-00-00"
BRX,21.92,22.05,"2019-11-27, 06-00-00"
BRX,22.04,21.94,"2019-11-29, 06-00-00"
BRX,21.93,21.4,"2019-12-02, 06-00-00"
BRX,21.38,21.69,"2019-12-03, 06-00-00"
BRX,21.68,21.91,"2019-12-04, 06-00-00"
BRX,21.87,21.76,"2019-12-05, 06-00-00"
BRX,21.83,21.83,"2019-12-06, 06-00-00"
BRX,21.84,21.88,"2019-12-09, 06-00-00"
BRX,21.88,21.77,"2019-12-10, 06-00-00"
BRX,21.81,21.43,"2019-12-11, 06-00-00"
BRX,21.37,20.98,"2019-12-12, 06-00-00"
BRX,20.97,20.87,"2019-12-13, 06-00-00"
BRX,20.89,20.97,"2019-12-16, 06-00-00"
BRX,20.98,20.95,"2019-12-17, 06-00-00"
BRX,21.05,21.45,"2019-12-18, 06-00-00"
BRX,21.36,21.5,"2019-12-19, 06-00-00"
BRX,21.57,21.45,"2019-12-20, 06-00-00"
BRX,21.43,21.17,"2019-12-23, 06-00-00"
BRX,21.23,21.21,"2019-12-24, 06-00-00"
BRX,21.29,21.33,"2019-12-26, 06-00-00"
BRX,21.4,21.5,"2019-12-27, 06-00-00"
BRX,21.44,21.51,"2019-12-30, 06-00-00"
BRX,21.52,21.61,"2019-12-31, 06-00-00"
BRX,21.68,20.77,"2020-01-02, 06-00-00"
BRX,20.36,20.65,"2020-01-03, 06-00-00"
BRX,20.58,20.84,"2020-01-06, 06-00-00"
BRX,20.65,20.54,"2020-01-07, 06-00-00"
BRX,20.49,20.46,"2020-01-08, 06-00-00"
BRX,20.44,19.99,"2020-01-09, 06-00-00"
BRX,20.06,20.22,"2020-01-10, 06-00-00"
BRX,20.26,20.52,"2020-01-13, 06-00-00"
BRX,20.56,20.59,"2020-01-14, 06-00-00"
