symbol,open,close,date
CHT,37.41,37.46,"2019-11-18, 06-00-00"
CHT,37.32,37.24,"2019-11-19, 06-00-00"
CHT,37.51,37.39,"2019-11-20, 06-00-00"
CHT,37.17,37.3,"2019-11-21, 06-00-00"
CHT,37.5,37.36,"2019-11-22, 06-00-00"
CHT,37.3,37.39,"2019-11-25, 06-00-00"
CHT,36.99,37.07,"2019-11-26, 06-00-00"
CHT,37.31,37.25,"2019-11-27, 06-00-00"
CHT,37.26,37.22,"2019-11-29, 06-00-00"
CHT,37.28,37.13,"2019-12-02, 06-00-00"
CHT,37.11,37.24,"2019-12-03, 06-00-00"
CHT,37.32,37.31,"2019-12-04, 06-00-00"
CHT,37.25,37.27,"2019-12-05, 06-00-00"
CHT,37.15,37.11,"2019-12-06, 06-00-00"
CHT,36.98,36.84,"2019-12-09, 06-00-00"
CHT,36.55,36.85,"2019-12-10, 06-00-00"
CHT,36.57,36.79,"2019-12-11, 06-00-00"
CHT,36.98,37.06,"2019-12-12, 06-00-00"
CHT,37.1,37.22,"2019-12-13, 06-00-00"
CHT,36.92,36.73,"2019-12-16, 06-00-00"
CHT,36.68,36.67,"2019-12-17, 06-00-00"
CHT,36.61,36.72,"2019-12-18, 06-00-00"
CHT,36.7,36.71,"2019-12-19, 06-00-00"
CHT,36.6,36.76,"2019-12-20, 06-00-00"
CHT,36.7,36.98,"2019-12-23, 06-00-00"
CHT,36.89,36.87,"2019-12-24, 06-00-00"
CHT,36.91,37.12,"2019-12-26, 06-00-00"
CHT,37.06,37.15,"2019-12-27, 06-00-00"
CHT,37.02,36.97,"2019-12-30, 06-00-00"
CHT,36.76,36.9,"2019-12-31, 06-00-00"
CHT,36.8,36.79,"2020-01-02, 06-00-00"
CHT,36.7,36.82,"2020-01-03, 06-00-00"
CHT,36.61,36.84,"2020-01-06, 06-00-00"
CHT,36.65,36.56,"2020-01-07, 06-00-00"
CHT,36.48,36.65,"2020-01-08, 06-00-00"
CHT,36.85,36.73,"2020-01-09, 06-00-00"
CHT,36.46,36.21,"2020-01-10, 06-00-00"
CHT,36.4,36.71,"2020-01-13, 06-00-00"
CHT,36.57,36.53,"2020-01-14, 06-00-00"
CHT,36.5,36.35,"2020-01-15, 06-00-00"
CHT,36.5,36.49,"2020-01-16, 06-00-00"
CHT,36.48,36.52,"2020-01-17, 06-00-00"
CHT,36.48,36.48,"2020-01-21, 06-00-00"
CHT,36.6,36.44,"2020-01-22, 06-00-00"
CHT,36.6,36.17,"2020-01-23, 06-00-00"
CHT,36.11,36.14,"2020-01-24, 06-00-00"
CHT,35.83,35.84,"2020-01-27, 06-00-00"
CHT,35.79,36.06,"2020-01-28, 06-00-00"
CHT,36.1,35.87,"2020-01-29, 06-00-00"
CHT,35.72,35.97,"2020-01-30, 06-00-00"
CHT,35.89,35.76,"2020-01-31, 06-00-00"
CHT,35.68,35.7,"2020-02-03, 06-00-00"
CHT,35.9,35.92,"2020-02-04, 06-00-00"
CHT,36.06,35.95,"2020-02-05, 06-00-00"
CHT,36.07,35.95,"2020-02-06, 06-00-00"
CHT,35.96,36.0,"2020-02-07, 06-00-00"
CHT,36.01,36.17,"2020-02-10, 06-00-00"
CHT,36.19,36.03,"2020-02-11, 06-00-00"
CHT,36.05,36.02,"2020-02-12, 06-00-00"
CHT,36.07,36.35,"2020-02-13, 06-00-00"
CHT,36.32,36.1,"2020-02-14, 06-00-00"
CHT,36.18,36.33,"2020-02-18, 06-00-00"
CHT,36.4,36.62,"2020-02-19, 06-00-00"
CHT,36.28,36.05,"2020-02-20, 06-00-00"
CHT,35.96,35.95,"2020-02-21, 06-00-00"
CHT,35.65,35.43,"2020-02-24, 06-00-00"
CHT,35.75,35.4,"2020-02-25, 06-00-00"
CHT,35.66,35.57,"2020-02-26, 06-00-00"
CHT,35.47,35.42,"2020-02-27, 06-00-00"
CHT,35.03,35.16,"2020-02-28, 06-00-00"
CHT,35.67,36.31,"2020-03-02, 06-00-00"
CHT,36.41,36.28,"2020-03-03, 06-00-00"
CHT,36.33,36.82,"2020-03-04, 06-00-00"
CHT,36.54,36.72,"2020-03-05, 06-00-00"
CHT,36.3,36.53,"2020-03-06, 06-00-00"
CHT,35.06,35.91,"2020-03-09, 05-00-00"
CHT,36.2,36.52,"2020-03-10, 05-00-00"
CHT,36.02,36.13,"2020-03-11, 05-00-00"
CHT,35.43,35.34,"2020-03-12, 05-00-00"
CHT,35.82,36.0,"2020-03-13, 05-00-00"
CHT,35.06,35.19,"2020-03-16, 05-00-00"
CHT,35.4,36.38,"2020-03-17, 05-00-00"
CHT,35.14,34.89,"2020-03-18, 05-00-00"
CHT,34.95,35.23,"2020-03-19, 05-00-00"
CHT,35.45,35.3,"2020-03-20, 05-00-00"
CHT,35.12,34.81,"2020-03-23, 05-00-00"
CHT,35.65,36.06,"2020-03-24, 05-00-00"
CHT,35.94,35.7,"2020-03-25, 05-00-00"
CHT,35.75,36.05,"2020-03-26, 05-00-00"
CHT,35.36,35.43,"2020-03-27, 05-00-00"
CHT,35.21,35.46,"2020-03-30, 05-00-00"
CHT,35.46,35.57,"2020-03-31, 05-00-00"
CHT,35.33,35.39,"2020-04-01, 05-00-00"
CHT,35.01,35.63,"2020-04-02, 05-00-00"
CHT,35.34,35.52,"2020-04-03, 05-00-00"
CHT,35.92,35.84,"2020-04-06, 05-00-00"
CHT,35.78,35.99,"2020-04-07, 05-00-00"
CHT,35.73,35.63,"2020-04-08, 05-00-00"
CHT,35.86,35.9,"2020-04-09, 05-00-00"
CHT,36.06,36.12,"2020-04-13, 05-00-00"
CHT,36.38,36.26,"2020-04-14, 05-00-00"
CHT,36.17,36.13,"2020-04-15, 05-00-00"
CHT,36.02,35.44,"2020-04-16, 05-00-00"
CHT,35.95,35.8,"2020-04-17, 05-00-00"
CHT,35.86,35.91,"2020-04-20, 05-00-00"
CHT,35.85,36.05,"2020-04-21, 05-00-00"
CHT,36.25,36.29,"2020-04-22, 05-00-00"
CHT,36.33,36.4,"2020-04-23, 05-00-00"
CHT,36.35,36.37,"2020-04-24, 05-00-00"
CHT,36.63,36.66,"2020-04-27, 05-00-00"
CHT,36.8,36.71,"2020-04-28, 05-00-00"
CHT,36.94,37.24,"2020-04-29, 05-00-00"
CHT,37.19,36.81,"2020-04-30, 05-00-00"
CHT,36.5,36.49,"2020-05-01, 05-00-00"
CHT,36.7,36.75,"2020-05-04, 05-00-00"
CHT,36.75,36.75,"2020-05-05, 05-00-00"
CHT,36.7,36.65,"2020-05-06, 05-00-00"
CHT,36.69,36.52,"2020-05-07, 05-00-00"
CHT,36.71,37.1,"2020-05-08, 05-00-00"
CHT,37.07,36.36,"2020-05-11, 05-00-00"
CHT,36.6,36.75,"2020-05-12, 05-00-00"
CHT,36.7,36.56,"2020-05-13, 05-00-00"
CHT,36.42,36.94,"2020-05-14, 05-00-00"
CHT,37.1,36.99,"2020-05-15, 05-00-00"
CHT,37.32,37.35,"2020-05-18, 05-00-00"
CHT,37.32,37.03,"2020-05-19, 05-00-00"
CHT,37.17,37.28,"2020-05-20, 05-00-00"
CHT,37.34,37.22,"2020-05-21, 05-00-00"
CHT,37.1,37.27,"2020-05-22, 05-00-00"
CHT,37.3,37.04,"2020-05-26, 05-00-00"
CHT,36.96,36.85,"2020-05-27, 05-00-00"
CHT,37.02,36.72,"2020-05-28, 05-00-00"
CHT,36.58,37.03,"2020-05-29, 05-00-00"
CHT,37.24,37.43,"2020-06-01, 05-00-00"
CHT,37.55,37.5,"2020-06-02, 05-00-00"
CHT,37.62,37.9,"2020-06-03, 05-00-00"
CHT,37.93,37.88,"2020-06-04, 05-00-00"
CHT,38.01,38.04,"2020-06-05, 05-00-00"
CHT,38.2,38.07,"2020-06-08, 05-00-00"
CHT,38.05,37.94,"2020-06-09, 05-00-00"
CHT,38.08,38.27,"2020-06-10, 05-00-00"
CHT,37.93,37.46,"2020-06-11, 05-00-00"
CHT,38.0,37.93,"2020-06-12, 05-00-00"
CHT,37.5,37.65,"2020-06-15, 05-00-00"
CHT,37.93,37.67,"2020-06-16, 05-00-00"
CHT,37.9,37.83,"2020-06-17, 05-00-00"
CHT,37.53,37.81,"2020-06-18, 05-00-00"
CHT,37.91,37.78,"2020-06-19, 05-00-00"
CHT,37.98,37.82,"2020-06-22, 05-00-00"
CHT,38.24,37.95,"2020-06-23, 05-00-00"
CHT,38.3,38.28,"2020-06-24, 05-00-00"
CHT,38.24,38.33,"2020-06-25, 05-00-00"
CHT,38.07,38.25,"2020-06-26, 05-00-00"
CHT,38.7,38.67,"2020-06-29, 05-00-00"
CHT,39.2,39.37,"2020-06-30, 05-00-00"
CHT,38.27,38.18,"2020-07-01, 05-00-00"
CHT,38.32,38.4,"2020-07-02, 05-00-00"
CHT,38.24,38.36,"2020-07-06, 05-00-00"
CHT,38.06,37.97,"2020-07-07, 05-00-00"
CHT,38.17,38.14,"2020-07-08, 05-00-00"
CHT,37.72,37.92,"2020-07-09, 05-00-00"
CHT,37.94,37.81,"2020-07-10, 05-00-00"
CHT,37.74,37.68,"2020-07-13, 05-00-00"
CHT,37.53,37.6,"2020-07-14, 05-00-00"
CHT,37.6,37.43,"2020-07-15, 05-00-00"
CHT,37.39,37.34,"2020-07-16, 05-00-00"
CHT,37.35,37.41,"2020-07-17, 05-00-00"
CHT,37.53,37.54,"2020-07-20, 05-00-00"
CHT,37.53,36.95,"2020-07-21, 05-00-00"
CHT,36.93,36.83,"2020-07-22, 05-00-00"
CHT,36.66,36.65,"2020-07-23, 05-00-00"
CHT,36.77,36.72,"2020-07-24, 05-00-00"
CHT,36.74,36.71,"2020-07-27, 05-00-00"
CHT,36.83,36.64,"2020-07-28, 05-00-00"
CHT,36.72,36.65,"2020-07-29, 05-00-00"
CHT,36.68,36.83,"2020-07-30, 05-00-00"
CHT,36.98,36.88,"2020-07-31, 05-00-00"
CHT,36.56,36.43,"2020-08-03, 05-00-00"
CHT,36.69,36.63,"2020-08-04, 05-00-00"
CHT,36.55,36.59,"2020-08-05, 05-00-00"
CHT,36.7,36.59,"2020-08-06, 05-00-00"
CHT,36.51,36.85,"2020-08-07, 05-00-00"
CHT,36.72,36.59,"2020-08-10, 05-00-00"
CHT,36.67,36.62,"2020-08-11, 05-00-00"
CHT,36.86,36.88,"2020-08-12, 05-00-00"
CHT,36.99,36.94,"2020-08-13, 05-00-00"
CHT,36.92,36.87,"2020-08-14, 05-00-00"
CHT,36.89,36.96,"2020-08-17, 05-00-00"
CHT,36.92,36.78,"2020-08-18, 05-00-00"
CHT,36.85,36.68,"2020-08-19, 05-00-00"
CHT,36.67,36.77,"2020-08-20, 05-00-00"
CHT,36.87,36.97,"2020-08-21, 05-00-00"
CHT,36.93,37.03,"2020-08-24, 05-00-00"
CHT,37.08,37.14,"2020-08-25, 05-00-00"
CHT,37.1,37.32,"2020-08-26, 05-00-00"
CHT,37.4,37.22,"2020-08-27, 05-00-00"
CHT,37.09,37.11,"2020-08-28, 05-00-00"
CHT,36.9,36.92,"2020-08-31, 05-00-00"
CHT,37.02,36.58,"2020-09-01, 05-00-00"
CHT,36.56,36.65,"2020-09-02, 05-00-00"
CHT,36.72,36.42,"2020-09-03, 05-00-00"
CHT,36.5,36.51,"2020-09-04, 05-00-00"
CHT,36.6,36.76,"2020-09-08, 05-00-00"
CHT,36.76,36.63,"2020-09-09, 05-00-00"
CHT,36.77,36.61,"2020-09-10, 05-00-00"
CHT,36.85,36.83,"2020-09-11, 05-00-00"
CHT,37.04,37.0,"2020-09-14, 05-00-00"
CHT,37.08,37.08,"2020-09-15, 05-00-00"
CHT,37.15,36.94,"2020-09-16, 05-00-00"
CHT,36.86,37.06,"2020-09-17, 05-00-00"
CHT,37.15,36.95,"2020-09-18, 05-00-00"
CHT,37.02,36.97,"2020-09-21, 05-00-00"
CHT,36.82,36.98,"2020-09-22, 05-00-00"
CHT,37.08,36.57,"2020-09-23, 05-00-00"
CHT,36.45,36.22,"2020-09-24, 05-00-00"
CHT,36.41,36.49,"2020-09-25, 05-00-00"
CHT,36.69,36.77,"2020-09-28, 05-00-00"
CHT,36.92,36.94,"2020-09-29, 05-00-00"
CHT,36.79,36.23,"2020-09-30, 05-00-00"
CHT,36.3,36.41,"2020-10-01, 05-00-00"
CHT,36.27,36.4,"2020-10-02, 05-00-00"
CHT,36.8,36.85,"2020-10-05, 05-00-00"
CHT,36.95,36.96,"2020-10-06, 05-00-00"
CHT,36.68,36.82,"2020-10-07, 05-00-00"
CHT,36.97,36.85,"2020-10-08, 05-00-00"
CHT,36.98,37.01,"2020-10-09, 05-00-00"
CHT,37.03,37.06,"2020-10-12, 05-00-00"
CHT,36.99,37.02,"2020-10-13, 05-00-00"
CHT,37.0,36.99,"2020-10-14, 05-00-00"
CHT,36.75,36.7,"2020-10-15, 05-00-00"
CHT,36.75,36.75,"2020-10-16, 05-00-00"
CHT,36.87,36.77,"2020-10-19, 05-00-00"
CHT,36.84,36.86,"2020-10-20, 05-00-00"
CHT,36.94,37.03,"2020-10-21, 05-00-00"
CHT,37.1,37.27,"2020-10-22, 05-00-00"
CHT,37.37,37.51,"2020-10-23, 05-00-00"
CHT,37.54,37.64,"2020-10-26, 05-00-00"
CHT,37.87,37.96,"2020-10-27, 05-00-00"
CHT,37.6,37.5,"2020-10-28, 05-00-00"
CHT,37.36,37.46,"2020-10-29, 05-00-00"
CHT,37.27,37.78,"2020-10-30, 05-00-00"
CHT,38.19,38.25,"2020-11-02, 06-00-00"
CHT,38.3,38.31,"2020-11-03, 06-00-00"
CHT,38.37,38.2,"2020-11-04, 06-00-00"
CHT,38.45,38.62,"2020-11-05, 06-00-00"
CHT,38.56,38.62,"2020-11-06, 06-00-00"
CHT,38.66,38.66,"2020-11-09, 06-00-00"
CHT,38.73,38.36,"2020-11-10, 06-00-00"
CHT,38.55,38.55,"2020-11-11, 06-00-00"
CHT,38.53,38.24,"2020-11-12, 06-00-00"
CHT,38.42,38.41,"2020-11-13, 06-00-00"
CHT,38.21,38.03,"2020-11-16, 06-00-00"
CHT,38.2,38.12,"2020-11-17, 06-00-00"
CHT,38.51,38.14,"2020-11-18, 06-00-00"
