symbol,open,close,date
CLA,9.7,9.7,"2020-10-09, 05-00-00"
CLA,9.7,9.7,"2020-10-14, 05-00-00"
CLA,9.6676,9.6676,"2020-10-19, 05-00-00"
CLA,9.65,9.69,"2020-10-20, 05-00-00"
CLA,9.69,9.69,"2020-10-21, 05-00-00"
CLA,9.7,9.65,"2020-10-23, 05-00-00"
CLA,9.6721,9.6292,"2020-10-26, 05-00-00"
CLA,9.65,9.63,"2020-10-27, 05-00-00"
CLA,9.61,9.6,"2020-10-28, 05-00-00"
CLA,9.6213,9.65,"2020-10-29, 05-00-00"
CLA,9.635,9.6,"2020-10-30, 05-00-00"
CLA,9.95,9.6,"2020-11-02, 06-00-00"
CLA,9.59,9.62,"2020-11-03, 06-00-00"
CLA,9.62,9.67,"2020-11-04, 06-00-00"
CLA,9.585,9.67,"2020-11-05, 06-00-00"
CLA,9.665,9.62,"2020-11-06, 06-00-00"
CLA,9.63,9.61,"2020-11-09, 06-00-00"
CLA,9.689,9.65,"2020-11-10, 06-00-00"
CLA,9.6722,9.65,"2020-11-11, 06-00-00"
CLA,9.79,9.65,"2020-11-13, 06-00-00"
CLA,9.685,10.0,"2020-11-16, 06-00-00"
CLA,9.7,9.72,"2020-11-17, 06-00-00"
CLA,9.7,9.69,"2020-11-18, 06-00-00"
